#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-27T21:41:35 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea74b43617d	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+AS/124/75&tab:{J/A+AS/124/75/index}&key:source=J/A+AS/124/75/index&HTTPPRM:&
#-source=J/A+AS/124/75/index
#-order=I
#-out=IDS
#-out=COMP
#-out=WDS
#-out=HD
#-out=DM
#-out=HIP
#-out=HR
#-out=ADS
#-out.all=2
#

#RESOURCE=yCat_41240075
#Name: J/A+AS/124/75
#Title: Multiple star catalogue (MSC) (Tokovinin 1997-1999)
#Table	J_A_AS_124_75_index:
#Name: J/A+AS/124/75/index
#Title: IDS-WDS-HD-BD-HIP-HR-ADS cross-index
#Column	IDS	(a10)	IDS(1900)	[ucd=meta.id;meta.main]
#Column	COMP	(A2)	Component designation (* for primary comp.)	[ucd=meta.code.multip]
#Column	WDS	(a10)	WDS(2000) (Cat. <I/237>)	[ucd=meta.id]
#Column	HD	(I6)	? HD (Cat. <III/135>) number [NULL integer written as an empty string]	[ucd=meta.number]
#Column	DM	(a11)	BD (Cat. <I/122>), CD (Cat. <I/114>) or CPD (Cat. <I/108>) identifier	[ucd=meta.id]
#Column	HIP	(I6)	? HIPPARCOS (Cat. <I/239>) number [NULL integer written as an empty string]	[ucd=meta.id]
#Column	HR	(I5)	? HR (Cat. <V/50>) number [NULL integer written as an empty string]	[ucd=meta.id]
#Column	ADS	(I5)	? ADS number [NULL integer written as an empty string]	[ucd=meta.id]
IDS|COMP|WDS|HD|DM|HIP|HR|ADS
18224+5844|C |18240+5848|238865|BD+58 1810 |      |     |11336
18227+4842|* |18253+4846|170109|BD+48 2692 | 90284|     |11344
18251+0359|* |18301+0404|170580|BD+03 3727 | 90676| 6941|11399
18294+1739|* |18338+1744|171365|BD+17 3627 | 90996|     |11454
18316+5140|* |18339+5143|234677|BD+51 2402 | 91009|     |
18330+3323|* |18366+3328|172044|BD+33 3154 | 91235| 6997|11504
18351-5552|* |18434-5546|172447|CD-55 7861 | 91837|     |
18351-5552|C |18434-5546|      |CP-55 8806 |      |     |
18366+5215|* |18389+5221|172712|BD+52 2258 | 91436|     |11558
18366+5215|B |18389+5221|172713|           |      |     |11558
18370+2441|* |18411+2447|      |           |      |     |
18374+3012|* |18413+3018|172865|BD+30 3271 | 91636|     |11579
18374+3012|C |18413+3018|      |           | 91635|     |11579
18374-7306|* |18497-7300|172881|CP-73 1939 | 92394| 7027|
18385+3438|* |18422+3445|173087|BD+34 3285 | 91707| 7033|11593
18385+3438|B |18422+3445|      |BD+34 3286 | 91712|     |11593
18406+0524|* |18455+0530|173495|BD+05 3941 | 92027| 7048|11640
18410+3933|* |18443+3938|173582|BD+39 3509 | 91919| 7051|11635
18410+3933|C |18443+3938|173607|BD+39 3510 | 91926| 7053|11635
18410+3933|B |18443+3938|173583|BD+39 3509 |      | 7052|11635
18410+3933|D |18443+3938|173608|BD+39 3510 |      | 7054|11635
18413+3730|* |18448+3736|173648|BD+37 3222 | 91971| 7056|11639
18413+3730|D |18448+3736|173649|BD+37 3223 | 91973| 7057|11639
18413-0104|* |18465-0058|173654|BD-01 3559 | 92117| 7059|11667
18449+4919|* |18475+4926|174343|BD+49 2871 | 92204|     |11698
18464+3314|* |18501+3322|174638|BD+33 3223 | 92420| 7106|11745
18481-2252|* |18542-2245|174974|BD-22 4907 | 92761| 7116|11794
18512+3350|* |18548+3358|175635|BD+33 3257 | 92833| 7140|11834
18512+3350|C |18548+3358|175634|           | 92829|     |11834
18538+1713|* |18582+1722|176155|BD+17 3799 | 93124| 7165|11884
18549-3702|* |19017-3653|176386|CD-37 13023| 93425|     |
18549-3702|C |19017-3653|      |CD-37 13024|      |     |
18555+4032|* |18588+4041|176502|BD+40 3544 | 93177| 7179|11910
18598+5206|* |19021+5216|177483|BD+52 2326 | 93466| 7229|11979
19019+5718|* |19037+5727|178001|BD+57 1942 | 93595|     |12019
19019+5718|B |19037+5727|      |           | 93578|     |
19023+1055|* |19070+1104|178125|BD+10 3787 | 93867| 7248|
19023+3017|* |19062+3026|178091|BD+30 3413 | 93798|     |12040
19038-2111|* |19098-2101|178524|BD-21 5275 | 94141| 7264|
19044+3846|* |19078+3856|178661|BD+38 3441 | 93954|     |12705
19054+3426|* |19091+3436|178911|BD+34 3439 | 94076| 7272|12101
19054+3426|B |19091+3436|      |BD+34 3438 | 94075|     |12101
19063+5510|* |19083+5520|179142|BD+55 2152 | 94000|     |12104
19077+3837|* |19111+3847|179484|BD+38 3466 | 94252|     |12145
19094-2526|* |19155-2515|179950|CD-25 13866| 94643| 7292|12214
19119+1422|* |19164+1433|180555|BD+14 3852 | 94720| 7307|12248
19119+2717|* |19159+2727|180553|BD+27 3313 | 94679| 7305|12239
19168-0747|* |19222-0735|181782|BD-07 4933 |      |     |12348
19185+0919|* |19233+0931|182219|BD+09 4085 | 95301|     |12379
19219+5002|* |19245+5014|182917|BD+49 2999 | 95413|     |
19240-0714|* |19294-0703|183344|BD-07 4968 | 95820| 7402|12503
19260-0219|* |19313-0207|183794|BD-02 5024 | 96007|     |12538
19267+2744|* |19307+2758|183912|BD+27 3410 | 95947| 7417|12540
19267+2744|B |19307+2758|183914|BD+27 3411 | 95951| 7418|12540
19319+2803|* |19359+2817|      |BD+27 3441 |      |     |
19324+5024|* |19351+5038|185082|BD+50 2819 | 96321|     |12656
19350-1631|* |19407-1618|185644|BD-16 5399 | 96808| 7476|12767
19350-1631|C |19407-1618|185673|BD-16 5400 |      |     |12767
19365+1335|* |19411+1349|185936|BD+13 4098 | 96840| 7486|
19403-6204|* |19491-6149|186602|CP-62 6108 | 97508|     |
19426+3329|* |19465+3343|187013|BD+33 3587 | 97295| 7534|12913
19426+3329|PQ|19465+3343|186858|BD+33 3582 | 97922|     |12889
19426+3329|B |19465+3343|      |BD+33 3589 |      |     |12913
19445+1853|* |19490+1909|187362|BD+18 4254 | 97496| 7546|12973
19475-1451|* |19531-1436|187949|BD-14 5578 | 97849| 7571|
19499-0700|* |19553-0644|188405|BD-07 5102 | 98038| 7599|13104
19506+4410|* |19539+4424|      |           |      |     |
19516+4136|* |19550+4152|188753|BD+41 3535 | 98001|     |13125
19523-5539|* |20002-5522|188908|CD-55 8357 | 98457|     |
19546+4159|* |19579+4216|189377|BD+41 3549 | 98253| 7638|13186
19567+1028|* |20014+1045|189783|BD+10 4143 | 98578|     |13256
19597+3545|* |20035+3602|190429|BD+35 3930 | 98753|     |13312
20008+1512|* |20054+1530|190658|BD+15 4040 | 98954| 7680|13344
20029-6355|* |20118-6337|191056|CP-63 4566 | 99521|     |
20030+0907|* |20078+0924|191104|BD+08 4344 | 99158| 7693|13403
20030-5749|* |20111-5731|191095|CP-57 9622 | 99453| 7691|
20036+3526|* |20074+3543|191201|BD+35 3970 | 99122|     |13405
20052+1003|* |20100+1021|191515|BD+09 4425 |      |     |13438
20055+3511|* |20092+3529|191567|BD+35 3994 | 99283|     |13429
20055+3511|B |20092+3529|191566|           |      |     |13429
20109+4148|* |20144+4206|192659|BD+41 3668 | 99749|     |13572
20116+2730|* |20158+2749|192806|BD+27 3666 | 99874| 7744|
20143-2931|* |20205-2911|193281|CD-29 16981|100288| 7764|13702
20143-2931|C |20205-2911|193256|           |100286|     |13702
20146+4025|* |20181+4044|193322|BD+40 4103 |100069| 7767|13672
20147+1403|* |20194+1422|193350|BD+13 4356 |100192|     |13688
20154-1506|* |20210-1447|193495|BD-15 5629 |100345| 7776|
20154-1506|BC|20210-1447|193452|BD-15 5626 |100325| 7775|13717
20166+3905|* |20203+3924|193702|BD+38 4021 |100268| 7784|13728
20171+1911|* |20216+1930|193797|BD+19 4380 |100397|     |
20252-4541|* |20322-4521|195286|CD-45 13874|101319|     |
20268+3501|* |20307+3521|195530|BD+34 4056 |      |     |13939
20300+3454|* |20339+3514|196093|BD+34 4079 |101474| 7866|
20337-1518|* |20392-1457|196662|BD-15 5743 |101923| 7889|14099
20346+0437|* |20396+0458|196795|BD+04 4510 |101955|     |
20370+3157|* |20411+3218|197177|BD+31 4181 |102066| 7921|14158
20370+3157|B |20411+3218|197178|           |      |     |14158
20373+3844|* |20410+3905|197226|BD+38 4187 |102062| 7922|
20388+7514|* |20374+7536|197433|BD+75  752 |101750|     |
20402+1157|* |20449+1219|197684|BD+11 4368 |102390|     |14233
20435+3607|* |20475+3629|198183|BD+35 4267 |102589| 7963|14296
20442+3855|* |20480+3917|198287|BD+38 4235 |102648|     |14314
20490-7048|* |20587-7025|199005|CP-70 2812 |103542|     |
20541+0355|* |20591+0418|199766|BD+03 4473 |103569| 8034|14499
20541+0355|C |20591+0418|      |           |103571|     |
20556-4323|* |21022-4300|200011|CD-43 14325|103814| 8042|
20556-4323|B |21022-4300|200026|CD-43 14327|103819|     |
20562+3941|* |21001+4004|      |AC+39 1214 |103655|     |
20564+4707|* |20598+4731|200120|BD+46 3133 |103632| 8047|14526
20564+4707|B |20598+4731|      |BD+46 3134 |      |     |14526
20588-0613|* |21041-0549|200497|BD-06 5664 |103981| 8059|14592
20588-0613|B |21041-0549|200496|BD-06 5664 |      | 8058|14592
20588-7334|* |21094-7310|200525|CP-73 2192 |104440|     |
20597+0308|* |21048+0332|200660|BD+02 4298 |104047|     |14602
21002+1219|* |21050+1243|200757|BD+12 4541 |104067|     |14610
21002+1219|BC|21050+1243|      |           |104066|     |
21033+6145|* |21055+6210|201267|BD+61 2092 |104110|     |14634
21044+2948|* |21087+3012|201433|BD+29 4324 |104371| 8094|14682
21079-3859|* |21143-3835|201991|CD-39 14165|104835|     |
21079-3859|C |21143-3835|      |           |104833|     |
21085+0648|* |21135+0712|202073|BD+06 4776 |104767|     |14759
21085+0648|D |21135+0712|202093|BD+06 4777 |104772|     |14759
21093+5934|* |21118+5959|202214|BD+59 2334 |104642| 8119|14749
21095-0115|* |21147-0050|202260|BD-01 4131 |104878|     |14775
21108+3737|* |21148+3803|202444|BD+37 4240 |104887| 8130|14787
21138+1109|* |21186+1134|202908|BD+10 4514 |105200|     |14839
21140-2645|* |21198-2621|202940|CD-26 15541|105312| 8148|14847
21146+5810|* |21173+5837|203025|BD+57 2309 |105091| 8153|14832
21165+0955|* |21214+1020|203345|BD+09 4786 |105431|     |14893
21165+5814|* |21193+5838|203338|BD+58 2249 |105259| 8164|14864
21165+5814|B |21193+5838|203339|           |      |     |14864
21175+1922|* |21221+1949|203504|BD+19 4691 |105502| 8173|14909
21175+1922|B |21221+1949|      |BD+19 4690 |      |     |14909
21194+5708|* |21223+5734|203802|BD+56 2564 |105522|     |14926
21194+5708|P |21223+5734|239643|BD+57 2562 |      |     |14926
21202+0857|* |21251+0923|203944|BD+08 4671 |105747|     |14954
21202+0857|C |21251+0923|      |BD+08 4670 |105743|     |14954
21204+0137|* |21255+0203|203993|BD+01 4477 |105792|     |14960
21219+1315|* |21267+1341|204215|BD+13 4708 |105882|     |14977
21274+7007|* |21287+7034|205021|BD+69 1173 |106032| 8238|15032
21344-0030|* |21395-0003|206058|BD-00 4245 |106942|     |15176
21351+0844|* |21400+0911|206155|BD+08 4714 |106981|     |
21359+5702|* |21390+5729|206267|BD+56 2617 |106886| 8281|15184
21359+5702|D |21390+5729|      |           |106884|     |
21359+5702|C |21390+5729|      |           |106890|     |
21384+4037|* |21424+4105|206644|BD+40 4615 |107162| 8300|
21384+4037|PQ|21424+4105|206656|BD+40 4617 |107177|     |15251
21401+2511|* |21446+2539|206901|BD+24 4463 |107354| 8315|15281
21415-5514|* |21484-5445|      |CP-55 9690 |      |     |
21420-1335|* |21475-1307|207171|BD-13 6018 |107588|     |15322
21468+6619|* |21491+6648|207826|BD+66 1441 |107710|     |15366
21482-2029|* |21538-2000|208011|BD-20 6313 |108072|     |15419
21496+1915|* |21543+1943|208202|BD+19 4814 |108119| 8364|15431
21496+1915|BC|21543+1943|      |           |108121|     |
21519+5203|* |21555+5232|208546|BD+51 3187 |108230|     |15460
21519+5203|C |21555+5232|      |           |108227|     |
21562+6332|* |21591+6400|209178|BD+63 1794 |108519|     |15227
21570-1726|* |22024-1658|209278|BD-17 6422 |108797| 8396|15562
21587-3907|* |22047-3839|209497|CD-39 14556|108983|     |
22009+6408|* |22038+6437|209790|BD+63 1802 |108917| 8417|15600
22009+6408|B |22038+6437|209791|           |      |     |15600
22012-5136|* |22081-5113|      |CD-51 13182|109262|     |
22018+8223|* |21582+8252|209942|BD+82  673 |108456| 8423|15571
22018+8223|B |21582+8252|209943|BD+82  674 |108461|     |15571
22027+3536|* |22070+3606|210087|BD+35 4712 |109180|     |15645
22058-3457|* |22116-3428|210525|CD-35 15193|109561|     |
22096+3914|* |22139+3942|211073|BD+38 4711 |109754| 8485|15758
22150+5537|* |22188+5608|211853|BD+55 2721 |110154|     |
22237-0032|* |22288-0001|213052|BD-00 4365 |110960| 8559|15971
22237-0032|B |22288-0001|213051|BD-00 4365 |      | 8558|15971
22310-3831|* |22367-3800|214123|CD-38 15134|111618|     |
22314+3907|* |22358+3937|214168|BD+38 4808 |111546| 8603|16095
22314+3907|D |22358+3937|      |BD+38 4810 |      |     |
22327+2325|* |22375+2356|      |BD+23 4575 |111680|     |16116
22329-1552|* |22383-1517|      |           |      |     |
22333-2108|* |22388-2037|214479|BD-21 6267 |111802|     |
22336+7221|* |22362+7253|214511|BD+72 1050 |111570|     |16111
22336+7221|D |22362+7253|      |BD+72 1051 |111575|     |16111
22342-2850|* |22397-2820|214599|CD-28 17873|111879| 8619|16149
22342-2850|BC|22397-2820|214600|CD-28 17874|111882|     |16149
22343-1308|* |22395-1237|214615|BD-13 6235 |111870|     |16145
22344+4347|* |22388+4419|214608|BD+43 4260 |111805|     |16138
22346+3651|* |22391+3723|214652|BD+36 4898 |111828|     |16143
22359+1401|* |22409+1433|214850|BD+13 4971 |111974| 8631|16173
22370+2054|* |22419+2126|215013|BD+20 5208 |112063|     |16185
22388+4638|* |22431+4710|215242|BD+46 3803 |112170| 8652|16214
22396+3856|* |22441+3928|215359|BD+38 4855 |112241| 8654|16228
22399-0311|* |22451-0240|      |BD-03 5501 |112326|     |16235
22399-0311|BC|22451-0240|215415|           |112325|     |16235
22417+6736|* |22450+6808|215661|BD+67 1463 |112317|     |16252
22442+6432|* |22479+6504|216014|BD+64 1717 |112562|     |
22473+4047|* |22518+4119|216369|BD+40 4926 |112905|     |16321
22473+4047|C |22518+4119|216353|BD+40 4925 |112901|     |16321
22473+4047|E |22518+4119|      |BD+40 4924 |112888|     |16321
22475+6109|* |22514+6142|216380|BD+60 2450 |112864| 8696|16317
22482-1209|* |22535-1137|216494|BD-12 6371 |113031| 8704|
22491+3724|* |22537+3756|216598|BD+37 4717 |113052|     |
22492+4413|* |22537+4445|216608|BD+43 4331 |113048| 8708|16345
22518+4104|* |22564+4136|216916|BD+40 4949 |113281| 8725|16381
22524+2409|* |22570+2441|216963|BD+23 4640 |113323|     |
22573+4147|* |23019+4220|217675|BD+41 4664 |113726| 8762|
23012-4404|* |23068-4331|218227|CD-44 15149|114131| 8787|
23012-4404|C |23068-4331|218205|CD-44 15146|114112|     |
23047+7451|* |23078+7523|218658|BD+74 1006 |114222| 8819|16538
23053+4725|* |23100+4758|218739|BD+47 4059 |114385|     |16557
23053+4725|B |23100+4758|218738|BD+47 4058 |114379|     |16557
23075+0209|* |23126+0241|219018|BD+01 4694 |114576|     |16591
23106-0938|* |23159-0905|219449|BD-09 6156 |114855| 8841|16633
23106-0938|BC|23159-0905|219430|BD-9  6155 |      |     |16633
23119-1422|* |23171-1351|219617|BD-14 6437 |114962|     |16644
23125+1619|* |23175+1652|219669|BD+16 4896 |115002|     |16648
23139-1400|* |23191-1328|219834|BD-14 6448 |115126| 8866|16672
23139-1400|B |23191-1328|      |           |115125|     |
23152-5051|* |23208-5018|220003|CD-50 13948|115272| 8877|
23152-5051|C |23208-5018|220002|CD-50 13947|115269|     |
23241-2107|* |23299-2034|221183|BD-21 6428 |115981|     |16791
23241-2107|C |23299-2034|      |           |115983|     |
23254+5800|* |23300+5833|221253|BD+57 2748 |115990| 8926|16795
23254+5800|CD|23300+5833|221237|           |      |     |16795
23255+3017|* |23304+3050|221264|BD+30 4963 |116017|     |16800
23255+3017|C |23304+3050|      |           |116016|     |
23268+1923|* |23319+1956|      |BD+19 5116 |116132|     |
23275-1717|* |23328-1650|221503|BD-17 6769 |116215|     |
23275-1717|BC|23328-1650|      |BD-17 6768 |116191|     |
23344+4510|* |23393+4543|222326|BD+44 4464 |116726|     |16904
23411+4552|* |23461+4624|223047|BD+45 4321 |117221| 9003|
23475+7459|* |23526+7532|223778|BD+74 1047 |117712| 9038|17062
23478+3808|* |23528+3841|      |BD+37 4901 |117752|     |17078
23478+3808|C |23528+3841|      |           |117748|     |
23595+4132|* |00046+4206|225218|BD+41 4933 |   365| 9105|   30

