#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-27T21:18:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea74b405ee0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=23	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+AS/124/75&tab:{J/A+AS/124/75/orbits}&key:source=J/A+AS/124/75/orbits&HTTPPRM:&
#-source=J/A+AS/124/75/orbits
#-order=I
#-out=IDS
#-out=Level
#-out=Period
#-out=x_Period
#-out=T
#-out=e
#-out=a
#-out=x_a
#-out=Node
#-out=LongP
#-out=n_Node
#-out=Incl
#-out=K1
#-out=K2
#-out=V0
#-out=Comm
#-out.all=2
#

#RESOURCE=yCat_41240075
#Name: J/A+AS/124/75
#Title: Multiple star catalogue (MSC) (Tokovinin 1997-1999)
#Table	J_A_AS_124_75_orbits:
#Name: J/A+AS/124/75/orbits
#Title: Orbital parameters
#Column	IDS	(a10)	IDS(1900)	[ucd=meta.id;meta.main]
#Column	Level	(I4)	Level in hierarchy	[ucd=meta.code.multip]
#Column	Period	(F10.4)	Period (see X_period for the units)	[ucd=time.period]
#Column	x_Period	(A1)	[dy] Units of period (d,y)	[ucd=meta.unit]
#Column	T	(F10.3)	Periastron epoch (y or JD-2400000)	[ucd=time.epoch]
#Column	e	(F6.3)	Eccentricity	[ucd=src.orbital.eccentricity]
#Column	a	(F7.3)	Semi-major axis (see x_a fir the units)	[ucd=phys.angSize.smajAxis;src.orbital]
#Column	x_a	(A1)	["m] Units of axis (",m)	[ucd=meta.unit]
#Column	Node	(F6.1)	P.A. of the node	[ucd=src.orbital.node]
#Column	LongP	(F6.1)	Longitude of periastron	[ucd=src.orbital.periastron]
#Column	n_Node	(A1)	'A' if primary node, 'B' otherwise	[ucd=meta.note]
#Column	Incl	(F6.1)	Inclination	[ucd=src.orbital.inclination]
#Column	K1	(F6.1)	Primary semi-amplitude	[ucd=src.var.amplitude]
#Column	K2	(F6.1)	Secondary semi-amplitude	[ucd=src.var.amplitude]
#Column	V0	(F7.1)	Center of mass velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Comm	(a31)	Comment, reference	[ucd=meta.note]
IDS|Level|Period|x_Period|T|e|a|x_a|Node|LongP|n_Node|Incl|K1|K2|V0|Comm
10405-5928|  12|    5.9983|d| 42472.640| 0.000|  0.000| |   0.0|   0.0|A|   0.0| 260.0|   0.0|  -36.0|SB 635
10483-0143|  11| 1166.0000|d| 42901.500| 0.380|  8.750|m| 290.1| 301.0|A| 123.8|   4.4|   0.0|   25.1|SB 642 + Hipparcos
10576+6217|  11|   44.4000|y|  1956.800| 0.400|  0.603|"| 320.3| 180.0|A| 152.0|   2.0|   0.0|   -8.7|VBO + SB 648
10576+6217|  12|    6.0353|d| 36615.540| 0.090|  0.000| |   0.0| 150.5|A|   0.0|  32.7|   0.0|  -10.5|SB 647
10596-0341|  12|   23.5600|y|  1971.300| 0.075|  0.280|"|  72.3|  95.0|B|  60.0|   0.0|   0.0|    0.0|A&AS 64 1 1986 Heintz
11119-0635|  11|    5.9051|d| 41847.780| 0.170|  0.000| |   0.0| 316.9|A|   0.0|  74.7|  98.5|   -8.1|SB 666
11128+3205|   1|   59.8400|y|  1995.050| 0.412|  2.533|"| 280.9| 306.8|A| 121.2|   4.9|   4.3|  -15.0|AJ 111 408 1996 Heintz  OSCUL.
11128+3205|  11|    1.8340|y|  1992.290| 0.610|  0.054|"| 318.0| 324.0|A|  91.0|   8.0|   0.0|  -15.0|SB 668 +AJ 111 408 1996
11128+3205|  12|    3.9805|d| 25000.000| 0.000|  0.000| |   0.0|   0.0|A|   0.0|   5.0|   0.0|  -15.9|SB 667
11137+3844|  11|    5.1270|y|  1992.503| 0.126| 91.300|m| 130.0| 223.9|A|  64.8|   8.4|  20.2|   -3.1|ApJ 485 350 1997 Lui et al.
11137+3844| 111|    2.5538|d| 49602.368| 0.323|  0.000| |   0.0| 116.8|A|   0.0|  77.7|  91.9|    1.7|ApJ 485 350 1997 Liu et (SB669)
11171-2414|   1|  345.5000|y|  2023.000| 0.500|  1.471|"| 184.8|  42.9|B|  88.3|   6.5|   0.0|    0.0|Tokovinin 1999 (K1=K1+2)
11171-2414|  11|  262.1500|d| 48737.600| 0.484|  0.000| |   0.0|  64.4|A|   0.0|   6.8|   0.0|   12.8|ApJ 452 870 1995 Torres+
11171-2414|  12|  315.1500|d| 48709.980| 0.781|  0.000| |   0.0| 109.5|A|   0.0|  22.5|  27.0|    5.7|ApJ 452 870 1995 Torres+
11179+0441|  11|   68.0000|y|  1978.500| 0.670|  0.238|"|  93.3| 286.5|B|  77.5|   0.0|   0.0|    0.0|AJ 111 412 1996 Heintz
11248+3031|  11|    0.4387|d| 43974.198| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  29.0| 423.0|  -17.0|SB 673
11254+4150|   1|   86.4400|y|  1967.140| 0.370|  0.410|"| 337.1|  26.3|B|  56.7|   0.0|   0.0|    0.0|VBO
11254+4150|  11|    7.3990|d| 33716.669| 0.380|  0.000| |   0.0|  71.6|A|  72.7|  76.2|  84.5|   -3.0|SB 675
11295+1720| 111|    3.8209|d| 44181.800| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  24.0|   0.0|    6.4|ApJS 74 551 1990
11311+5642|  12| 1690.1500|d| 49005.390| 0.648|  0.000| |   0.0|  45.1|A|   0.0|  11.1|  15.7|  -13.9|A&AS 136 373 1999 Tokovinin
11319+4801|  11|    1.0338|d| 42199.950| 0.080|  0.000| |   0.0|  30.0|A|   0.0|  56.7|   0.0|  -33.6|SB 677
11335+4539|  12|   23.5409|d| 46974.580| 0.408|  0.000| |   0.0| 352.8|A|   0.0|  24.3|   0.0|  -18.9|A&A 248 485 1991 DM (SB 680)
11348-6451|  11|   61.3600|d|     0.000| 0.000|  0.000| |   0.0|   0.0| |   0.0|  12.2|   0.0|    9.1|South Afr. Astr.C 11 1 1987
11428+2046|  11|   71.6900|d| 47642.600| 0.000|  7.500|m| 138.0|   0.0|A|  50.1|  29.7|  33.8|    0.4|SB 690 + AJ 110 376 1995 MkIII
11459-0446|  11|  486.7000|d| 42352.700| 0.310|  7.730|m| 107.6| 125.1|A|  87.1|  13.9|   0.0|   13.4|SB 693 + Hipparcos
11499+4701| 111|  115.1000|y|  1988.800| 0.560|  0.226|"| 174.3|  38.0|B|  50.9|   0.0|   0.0|    0.0|A&AS 87 49 1991 Baize
11499+4701| 111|  136.5380|y|  1987.943| 0.531|  0.225|"| 169.7|  26.9|B|  39.7|   0.0|   0.0|    0.0|Aristidi et al., A&A 1998 subm.
11499+4701|1111|    1.7304|d| 44275.640| 0.000|  0.000| |   0.0|   0.0|A|   0.0| 138.3| 130.8|   -3.9|SB 694
12010+6915|  11|  122.4000|y|  1981.600| 0.490|  0.298|"| 103.9| 122.5|B| 139.5|   0.0|   0.0|    0.0|AJ 111 412 1996 Heintz
12010+6915|  11|  122.3000|y|  1981.490| 0.486|  0.296|"| 284.8| 303.8|B| 143.2|   0.0|   0.0|    0.0|AJ 111 370 1996 Hartkopf et al.
12021+6938|   1| 2378.8000|d| 46615.300| 0.766|  0.000| |   0.0| 349.3|A|   0.0|   5.9|   0.0|   -2.7|AAS 76 459 1988 Imbert
12021+6938|  11|    3.8735|d| 46094.460| 0.015|  0.000| |   0.0| 348.0|A|   0.0|  39.3|  53.8|   -2.7|AAS 76 459 1988 Imbert
12091+3320| 121|  100.2600|d| 44490.220| 0.450|  0.000| |   0.0| 257.7|A|   0.0|  20.3|   0.0|   -9.9|SB 712
12093+1223|  11|    0.4075|d| 25003.393| 0.000|  0.000| |   0.0|   0.0|A|   0.0| 105.0| 250.0|   10.0|SB 713
12148-0007|   1|   13.1200|y|  1963.800| 0.079|  0.136|"| 173.0|   1.4|A|  51.1|   4.8|   0.0|    5.2|AJ 103 1976 1992 Hartkopf et al
12148-0007|  11|   71.7919|d| 47583.980| 0.272|  0.000| |   0.0| 200.9|A|  54.9|  26.3|  35.6|    5.3|AJ 103 1976 1992 Hartkopf et al
12210-6233|  12|    1.2251|d| 38903.314| 0.024|  0.000| |   0.0| 314.0|A|   0.0|  43.1|   0.0|    8.4|RMAA 4 297 1979 Hernandez
12210-6233| 111|   75.7690|d| 17641.100| 0.480|  0.000| |   0.0|  18.1|.|   0.0|  32.8|   0.0|    7.5|MNRAS 168 55 1974 (SB 725)
12257+6945|   1| 1703.0000|d| 42868.500| 0.300|  0.000| |   0.0| 244.0|A|   0.0|   3.7|   0.0|  -14.4|A&A 193 180 1988 Reimers et al
12301+1855|  12|    7.3366|d| 28423.039| 0.210|  0.000| |   0.0| 287.6|A|   0.0|  66.3|  77.4|    4.1|SB 730
12361-1228|  11|   44.4137|d| 29089.062| 0.250|  0.000| |   0.0| 238.8|A|   0.0|  25.9|   0.0|  -11.6|SB 735
12361-1228|  12|    1.4605|d| 28707.080| 0.090|  0.000| |   0.0|  86.8|A|  45.7|  88.2| 100.0|  -14.6|SB 734
12484+2147|  11|  510.0000|y|  1931.000| 0.150|  1.420|"| 230.1| 243.0|B|  35.0|   0.0|   0.0|    0.0|VBO
12484+2147| 111| 2914.0000|d| 22302.400| 0.670|  0.000| |   0.0| 350.0|A|   0.0|   6.0|   0.0|   -6.0|PASP 100 358 1988 Griffin et al
12484+8357|  12|    3.2866|d| 24226.669| 0.040|  0.000| |   0.0| 211.1|A|   0.0| 108.3| 128.9|   -0.1|SB 743
12519+5438|  11|    5.1259|d| 44639.712| 0.000|  0.000| |   0.0|   0.0| |   0.0|  65.8|  69.7|    0.7|PASP 98 238 1986 Worek et al
13011-4922|  11|    7.6497|d| 18077.493| 0.350|  0.000| |   0.0| 308.6|A|   0.0|  38.8|   0.0|   14.3|SB 750
13017-6446|  11|   18.3410|d| 40663.193| 0.000|  0.000| |   0.0|   0.0|A|   0.0| 173.0|   6.0|    0.0|SB 751
13048-0500| 111|   17.8400|y|  1969.776| 0.330|  0.000| |   0.0| 301.8|A|   0.0|   3.2|   0.0|   -4.2|Rev.Mex.A.A. 3 109 1977
13060+3628|  11|    4.7978|d| 33015.620| 0.000|  0.000| |   0.0|   0.0| |   0.0|  89.7|  86.0|  -15.0|SB 752
13060-5923|  11|   27.0000|y|  1941.100| 0.320|  0.185|"| 114.6| 168.5|B|  68.3|   0.0|   0.0|    0.0|VBO
13065+3122| 112|    3.3450|d|     0.000| 0.000|  0.000| |   0.0|   0.0| |   0.0|  31.1|   0.0|    0.0|ASS 142 134 1988 Latham et al.
13067-5917| 111|    4.2334|d| 47188.227| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  85.0|  85.2|   15.5|A&A 235 291 1990 Saar et al.
13085-6721|  11|   20.0052|d| 20606.722| 0.120|  0.000| |   0.0| 120.0|A|   0.0|  56.5|   0.0|   -8.1|SB 755
13090-2345|  11|   61.4700|y|  1969.880| 0.640|  0.165|"| 162.5|   2.3|B|  37.5|   0.0|   0.0|    0.0|A&AS 74 507 1988 Baize
13149+3540|  11|  200.2634|d| 48780.300| 0.530|  0.047|"|   3.1| 348.8|A|  65.0|  17.1|  20.7|   -8.1|A&AS 121 71 1977 Tokovinin
13154+4818|   1|   48.9100|y|  1968.550| 0.229|  1.507|"|  91.1|  73.6| |  94.5|   0.0|   0.0|    0.0|AJ 117 1023 1999 Mason+
13199+5527| 111|   20.5377|d| 47636.230| 0.537|  9.640|m| 105.9| 105.9|A|  59.7|  68.8|  67.6|   -5.6|SB 764+AJ 110 376 1995 MkIII
13199+5527| 112|  175.5500|d| 37294.400| 0.460|  0.000| |   0.0|   4.3|A|   0.0|   6.3|   0.0|   -9.3|SB 765
13199-1038| 111|    4.0145|d| 40284.780| 0.180|  0.000| |   0.0| 142.0|A|  52.1| 120.0| 189.0|    0.0|SB 766 + MN 151 161 1971
13215+4501|  11|   44.2400|y|  1981.240| 0.520|  0.321|"|  40.4| 153.0|B|  26.0|   0.0|   0.0|    0.0|A&AS 90 311 1991 Heintz
13411+0537|   1|  274.0000|y|  1975.600| 0.638|  1.010|"| 176.4| 250.0|B|  42.7|   0.0|   0.0|    0.0|A&AS 64 1 1986 Heintz
13461-3230|  12|   17.4280|d| 43296.440| 0.210|  0.000| |   0.0|  15.0| |   0.0|  17.0|   0.0|   -0.3|SB 786
13472-1813|   1| 2283.0586|d| 40576.610| 0.490|  0.000| |   0.0| 185.4|A|   0.0|  18.3|   0.0|  -22.5|SB 790
13472-1813|  12|    1.3155|d| 40111.697| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  93.0|   0.0|  -23.8|SB 789
13475-3126|  11|    6.9301|d| 18823.406| 0.250|  0.000| |   0.0| 152.0|A|   0.0|  21.0|   0.0|    4.8|SB 792
13475-3126|  12|    4.8390|d| 42916.550| 0.050|  0.000| |   0.0|  51.0|A|   0.0|  16.9|   0.0|  -18.7|SB 791
14058+2534|  11|    9.6045|d| 17680.052| 0.190|  0.000| |   0.0| 290.0| |   0.0|  67.4|  66.5|    9.1|SB 804
14097+5548|   1| 1013.0000|y|  2224.000| 0.270|  3.560|"| 336.0| 233.9|B|  58.2|   0.0|   0.0|    0.0|PAZh 24 868 1998, Orbit II
14097+5548|  11| 1047.8000|d| 49490.300| 0.754|  0.000| |   0.0|  25.1|A|   0.0|  13.5|   0.0|  -20.5|PAZh 24 868 1998 Tokovinin+
14099+5215|  12| 1791.2300|d| 25095.304| 0.530|  0.000| |   0.0|  96.0|A|   0.0|   7.2|   0.0|  -21.5|SB 807
14109+1046|  11|   35.5200|y|  1966.180| 0.820|  0.210|"| 177.7| 126.4|B| 136.2|   0.0|   0.0|    0.0|A&AS 56 103 1984 Baize I
14109+1046|  11|   71.7800|y|  1925.750| 0.000|  0.323|"|  39.0| 235.0|B| 111.3|   0.0|   0.0|    0.0|A&AS 56 103 1984 Baize II
14137-1255|  11|    1.9302|d| 36744.445| 0.100|  0.000| |   0.0|  31.1|A|  12.3|  29.5|  33.5|   -5.4|SB 811
14185+0854|  12|   39.5000|y|  1957.980| 0.254|  0.228|"|  39.5| 149.9|B|  37.5|   0.0|   0.0|    0.0|VBO
14328-6025|  11|   79.9200|y|  1955.560| 0.516| 17.515|"|  24.9|  51.6|A|  79.2|   5.0|   5.0|  -21.6|VBO + SB 815
14358+2224|   1| 3385.0000|d| 42880.000| 0.073|  0.074|"|  78.2|  91.4|A| 104.6|   8.5|   0.0|    0.1|AJ 102 2098 1991 Barlow et al
14358+2224|  11|  101.6060|d| 42478.000| 0.117|  0.000| |   0.0| 140.7|A|   0.0|  19.0|   0.0|    0.0|AJ 102 2098 1991 Barlow et al
14380+1955|  11|   51.3370|y|  1929.316| 0.090|  0.624|"| 177.1| 194.8|B| 120.6|   0.0|   0.0|    0.0|VBO
14417+4248|  11|   88.4000|y|  1971.520| 0.530|  0.325|"|  72.5| 171.6|B| 172.9|   0.0|   0.0|    0.0|VBO
14463+4907|  11|   12.8220|d| 22379.490| 0.390|  0.000| |   0.0|  97.1|A|   0.0|  58.3|  72.2|  -28.2|SB 819
14504-3414|  11|   40.0000|y|  1955.500| 0.865|  0.256|"|  85.7| 162.8|B| 126.2|   0.0|   0.0|    0.0|VBO
14509+4543|  11|    3.5508|d| 44604.392| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  70.1|   0.0|  -22.5|A&A171 157 1987 (SB 821)
14516-2058|  12|  309.3800|d| 46564.620| 0.760|  0.143|"|  14.1| 128.7|A| 110.9|  18.3|  26.0|   27.9|A&A 200 135 1988;AA 230 77 1990
15005+4803|   1|  225.0000|y|  2021.000| 0.430|  3.772|"|  57.8|  38.8|B|  83.9|   0.0|   0.0|    0.0|VBO
15005+4803|  12|    0.2678|d| 28635.368| 0.000|  0.000| |   0.0|   0.0|A|  68.1| 115.4| 231.1|  -30.6|A&A 248 485 1991 DM (SB 826)
15021-4454|  11|   72.8800|y|  1929.620| 0.825|  0.422|"|  29.1| 290.7|B|  79.6|   0.0|   0.0|    0.0|VBO
15059+6330| 111|    2.4439|d| 44600.899| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  75.7|   0.0|   -4.4|A&A 171 157 1987  (SB 829)
15065-1925|  11|   23.4690|y|  1971.098| 0.247|  0.129|"| 177.4| 343.9|A| 153.6|   3.4|   0.0|  -14.2|AJ 117 1023 1999 Mason +SB 831
15099+6213|  11|    0.3501|d| 46127.689| 0.000|  0.000| |   0.0|   0.0|A|  68.4|  93.9| 233.6|  -65.2|SB 834
15099+6213|  12|    0.2922|d| 46135.807| 0.000|  0.000| |   0.0|   0.0|A|  67.5|  70.5| 251.5|  -64.2|SB 835
15140+2712|   1|  186.1400|y|  1941.200| 0.621|  1.095|"|  66.6|  48.9|B|  53.2|   0.0|   0.0|    0.0|L'Astronomie 97 277 1983 Walb.
15159-4419|  11|    4.5598|d| 39370.680| 0.260|  0.000| |   0.0| 330.0|A|   0.0|  56.1|  64.8|    7.9|SB 839
15207+3742|  11|    3.7500|y|  1991.390| 0.280|  0.102|"| 134.0|  51.0|B| 131.0|   0.0|   0.0|    0.0|A&A 341 121 1999 Soderhjelm
15207+3742|  12|  260.1000|y|  1865.000| 0.590|  1.463|"| 174.9| 338.5|B| 135.4|   0.0|   0.0|    0.0|VBO
15227-0859| 111|  889.6200|d| 47967.542| 0.975|  0.000| |   0.0| 253.9|A|   0.0|  37.1|  55.5|    6.8|A&A 254 L13 1992 Duquennoy et a
15272-2409|  12|   60.4000|y|  1998.500| 0.640|  0.235|"|  25.0| 312.0|B|  20.5|   0.0|   0.0|    0.0|A&AS 72 543 1988 Heintz
15285-4050|   1|  147.0000|y|  1887.000| 0.490|  0.590|"|  92.8| 301.0|B|  95.6|   0.0|   0.0|    0.0|VBO
15285-4050|  11|    2.8081|d| 39271.330| 0.100|  0.000| |   0.0|  97.0|A|   0.0|  28.4|   0.0|    0.6|SB 849
15324+6414|  11|    2.8067|d| 26831.528| 0.020|  0.000| |   0.0| 349.9|A|   0.0|  63.3| 136.0|    0.1|SB 852 + ApJS 71 595 1989
15325+4008|  11|   55.8800|y|  1938.260| 0.591|  0.785|"|   2.6|  19.3|B|  62.6|   0.0|   0.0|    0.0|VBO
15344+3633| 111|    3.2732|d| 50636.369| 0.000|  0.000| |   0.0|   0.0| |   0.0|  86.4|  88.0|  -34.1|PAZh 24 918 1998 Tokovinin+
15344+3633| 122|   14.2840|d| 50621.280| 0.310|  0.000| |   0.0|  86.4|A|   0.0|   9.9|   0.0|  -34.3|PAZh 24 918 1998 Tokovinin+
15356+3657|  11|   12.5842|d| 23866.601| 0.010|  0.000| |   0.0|  40.0|A|   0.0| 126.1| 119.4|  -14.3|SB 856
15369+0047|   1|   54.0000|y|  1987.900| 0.720|  0.150|"| 113.2| 265.0|B|  37.5|   0.0|   0.0|    0.0|A&AS 106 267 1994 Baize
15371+2000|  11|   22.1400|y|  1936.470| 0.000|  0.210|"|  70.0|   0.0|B|  84.3|   0.0|   0.0|    0.0|VBO
15453+2526| 111|    4.6706|d| 47563.480| 0.050|  0.000| |   0.0| 321.0|A|   0.0|  35.8|   0.0|  -30.6|Obs. 113 128 1993 Griffin
15544-2220|   1|   10.5830|y|  1979.410| 0.920|  0.107|"| 159.3|  24.0|B|  48.5|   0.0|   0.0|    0.0|AJ 111 370 1996 Hartkopf et al.
15554-5730|  11|   26.9300|y|  1937.240| 0.520|  0.366|"|  33.5| 311.8|B| 161.5|   0.0|   0.0|    0.0|VBO
15563-2225|  11|    2.4238|d| 45999.200| 0.024|  0.000| |   0.0| 325.0|A|   0.0|  63.3|   0.0|   -2.3|AJ 106 2005 1993 Mathiew et al
15589-1105| 111|   45.6480|y|  1951.694| 0.712|  0.671|"| 204.5| 344.6|A|  42.3|   3.7|   0.0|  -29.4|AJ 117 1023 1999 Mason+ +SB 879
15593-3235|  11|  134.0000|y|  1900.100| 0.150|  0.820|"| 109.1| 129.0|B| 143.5|   0.0|   0.0|    0.0|VBO
15596-1932| 111|    6.8282|d| 49788.509| 0.291|  1.420|m| 294.2|  54.8|A| 111.8| 125.3| 198.0|   -1.7|A&A 322 565 1997 (SB 881)
16004-0601|  11|    4.9100|y|  1988.730| 0.630|  0.066|"| 150.3|  74.8|B| 119.5|   0.0|   0.0|    0.0|A&AS 92 31 1992 Baize
16012+1057| 111|    4.2855|d| 44796.570| 0.031|  0.000| |   0.0|  75.0|A|   0.0|  47.6|   0.0|  -59.2|A&A 171 157 1987 Mayor & Mazeh
16012+1057| 112|   11.0050|d| 45004.000| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  25.4|   0.0|  -57.8|A&A 171 157 1987 Mayor & Mazeh
16062-1912|1111|    5.5521|d| 42185.555| 0.110|  0.000| |   0.0| 267.0|A|   0.0|  26.5|   0.0|    4.1|SB 889
16109+3407|  11| 1000.0000|y|  1828.000| 0.780|  6.599|"|   7.7|  84.4|B|  33.3|   0.0|   0.0|    0.0|VBO
16109+3407| 111|    1.1398|d| 45292.056| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  63.0|  63.6|  -12.6|A&A 248 485 1991 DM, SB 894
16151-2521|  11|   34.2300|d| 34895.200| 0.360|  0.000| |   0.0| 308.0|A|   0.0|  34.0|   0.0|    2.5|SB 896
16198-4719|  11|    3.2617|d| 38825.931| 0.130|  0.000| |   0.0| 271.5|A|   0.0| 122.5| 132.9|  -12.5|SB 902
16206+3716|  11|   21.5874|d| 50646.729| 0.034|  0.000| |   0.0| 307.4|A|   0.0|  22.0|   0.0|  -51.5|A&AS 136 373 1999 Tokovinin
16224-0809|  11|   27.2180|d| 38914.840| 0.740|  0.000| |   0.0| 333.7|A|   0.0|  34.9|  41.1|  -33.6|SB 904
16252-2421|  11|   89.1000|d| 45996.000| 0.410|  0.000| |   0.0|  93.0|A|   0.0|  13.4|   0.0|   -4.9|AJ 98 987 1989 Mathiew et al
16259+0212|  11|  129.0000|y|  1939.700| 0.611|  0.910|"|  53.3| 157.5|B|  23.0|   0.0|   0.0|    0.0|PASP 105 293 1993 Heintz & Stro
16295-0400|  11|  133.1300|d| 44340.500| 0.274|  0.000| |   0.0| 298.8|A|   0.0|  16.1|   0.0| -171.6|A&A 248 485 1991 DM
16296+3043|  11|    3.3943|d| 28006.493| 0.030|  0.000| |   0.0| 355.2|A|   0.0|  68.2|   0.0|  -16.2|SB 910
16310+1715|  11|   10.5600|d| 22422.236| 0.430|  0.000| |   0.0|   4.1|A|   0.0|  62.4| 101.4|   -9.9|SB 911
16325+5721|  11|    1.2684|d| 42893.932| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  70.0|  80.1| -118.6|SB 912
16363+0042|  11|    0.4534|d| 39639.947| 0.000|  0.000| |   0.0|   0.0| |   0.0|  86.0| 232.0|  -47.0|SB 914
16372+6958|  11|  202.1400|y|  1895.400| 0.484|  0.350|"| 142.3| 243.8|B| 118.6|   0.0|   0.0|    0.0|VBO
16377+6054|  11|    4.6296|d| 28019.212| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  86.8| 147.6|  -28.5|SB 917
16463+4609|  12|   56.7500|y|  1944.000| 0.220|  0.267|"|  71.1| 103.3|B|  46.3|   0.0|   0.0|    0.0|VBO
16471-4140| 111|    5.9700|d| 40815.600| 0.000|  0.000| |   0.0|   0.0| |   0.0| 191.0| 206.0|  -44.0|SB 927
16479+2850|  11|  261.8200|y|  1895.510| 0.560|  1.012|"|  52.7| 242.1|B|  27.1|   0.0|   0.0|    0.0|VBO
16501-0809| 111|    1.7170|y|  1983.002| 0.049|  0.214|"| 144.5| 101.0|B| 165.7|   0.0|   0.0|    0.0|IAU #93 1983 Heintz
16565+3104|  11|    4.0235|d| 17947.242| 0.020|  0.000| |   0.0| 138.0| |   0.0|  70.7| 112.0|  -24.2|SB 941
17031-0057|  11|  137.0000|y|  1967.000| 0.270|  0.415|"|  22.3| 297.5|B| 130.2|   0.0|   0.0|    0.0|VBO
17033+5436|   1|  672.0000|y|  1949.000| 0.450|  3.945|"| 282.8| 197.0|B| 144.7|   0.0|   0.0|    0.0|VBO
17033+5436|  12| 2270.0000|d| 42309.000| 0.430|  0.000| |   0.0| 205.0|A|   0.0|   2.8|   0.0|  -16.5|SB 947
17044-5828|  11|    2.8831|d| 34123.990| 0.110|  0.000| |   0.0| 116.7|A|   0.0|  28.8|   0.0|   -1.8|SB 948
17072-6650|  11|    1.6816|d| 46998.410| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  85.2|  91.6|    2.7|A&A 248 72 1991 Pasquini et al
17092-2627|  11|  548.7000|y|  1643.480| 0.900| 13.910|"|  93.6|  90.0|B|  99.2|   0.0|   0.0|    0.0|VBO
17095+1629|  11|    0.4215|d| 22977.149| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  78.0|   0.0|  -13.0|SB 953
17101+1430|   1| 3600.0000|y|     1.835| 0.000|  4.680|"| 119.6|   0.0|B| 155.8|   0.0|   0.0|    0.0|VBO
17101+1430|  12|   51.5780|d| 34791.026| 0.020|  0.000| |   0.0|  67.5|A|   0.0|  36.1|   0.0|  -38.4|SB 955
17115+0119|  11|    1.6773|d| 28054.881| 0.010|  0.000| |   0.0| 306.0|A|   0.0| 180.0| 199.4|  -10.8|SB 956
17121-3452|  11|   42.0900|y|  1933.770| 0.574|  1.820|"| 313.0| 247.5|B| 128.2|   0.0|   0.0|    0.0|VBO
17136+3312|  11|    2.0510|d| 40053.469| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  98.0| 259.0|  -17.1|SB 957
17184+4004|   1| 2018.8000|d| 46564.600| 0.672|  0.075|"| 323.7|  40.6|A|  56.2|  18.3|  12.9|   -3.4|AJ 107 1529 1994 Scarfe et al
17184+4004|  12|    2.2296|d| 45839.266| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  93.7|   0.0|    0.0|AJ 107 1529 1994 Scarfe et al
17215+0741|   1| 1170.0000|d| 33085.000| 0.450|  5.540| | 252.4| 222.3|A|  91.6|  19.5|  27.0|  -12.1|SB 963 + HIPPARCOS
17215+0741|  11|    3.7581|d| 32020.509| 0.000|  0.000| |   0.0|   0.0|A|  65.0| 110.0| 110.0|    0.0|SB 962
17230+7306|   1| 2909.0000|d| 48473.000| 0.064|  0.000| |   0.0| 334.0|A|   0.0|   6.3|  13.7|   -8.1|Obs. 117 82 1997 Griffin+
17230+7306|  11|   21.8249|d| 47326.500| 0.113|  0.000| |   0.0|  18.3|A|   0.0|  34.3|   0.0|    0.0|Obs. 117 82 1997 Griffin+
17235-3338|  11|   38.1000|d| 42000.000| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  15.0|   0.0|    4.0|SB 967
17282-3231| 111|    3.3668|d| 39262.950| 0.020|  0.000| |   0.0| 334.0| |   0.0| 212.8| 221.7|    0.5|SB 974 (cf. Obs. 113 204 1993)
17303+5514|  11|   38.1280|d| 40022.411| 0.040|  0.000| |   0.0|   0.6|A|   0.0|   9.8|   0.0|  -16.7|SB 976
17331+2757|  11|   23.9910|y|  1961.206| 0.205|  0.288|"| 334.5|  23.2|B| 164.2|   0.0|   0.0|    0.0|AJ 117 1023 1999 Mason+
17340+6157| 111|   76.0000|y|  1950.400| 0.160|  1.520|"| 332.0| 126.4|A| 105.7|   3.8|   0.0|  -16.3|VBO + A&A 248 485 1991 DM
17423-5334|  11|    3.1691|d| 39314.342| 0.060|  0.000| |   0.0| 108.5|A|   0.0| 150.4| 176.6|   -4.3|SB 991
17425+2747|  12|   43.2000|y|  1965.400| 0.178|  1.360|"|  60.7| 174.0|B|  66.2|   0.0|   0.0|    0.0|VBO
