#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-27T21:15:22 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea74b3c5968	
#INFO	-out.max=unlimited	
#INFO	queryParameters=22	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+AS/124/75&tab:{J/A+AS/124/75/catalog}&key:source=J/A+AS/124/75/catalog&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+AS/124/75/catalog
#-order=I
#-out=IDS
#-out=RA2000
#-out=DE2000
#-out=pmRA
#-out=pmDE
#-out=RV
#-out=plx
#-out=r_plx
#-out=nComp
#-out=TRAP
#-out=Name
#-out.all=2
#

#RESOURCE=yCat_41240075
#Name: J/A+AS/124/75
#Title: Multiple star catalogue (MSC) (Tokovinin 1997-1999)
#Table	J_A_AS_124_75_catalog:
#Name: J/A+AS/124/75/catalog
#Title: Catalogue of Physical Multiple Stars (systems)
#Column	IDS	(a10)	IDS (based on 1900 position)	[ucd=meta.id;meta.main]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(I5)	? Proper motion in RA [NULL integer written as an empty string]	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(I5)	? Proper motion in DE [NULL integer written as an empty string]	[ucd=pos.pm;pos.eq.dec]
#Column	RV	(F6.1)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	plx	(F7.4)	Parallax	[ucd=pos.parallax.trig]
#Column	r_plx	(A3)	Parallax code (1)	[ucd=meta.ref]
#Column	nComp	(I1)	Number of Components (Multiplicity)	[ucd=meta.number]
#Column	TRAP	(A1)	[T] T for trapezia	[ucd=meta.note]
#Column	Name	(a20)	Name	[ucd=meta.id]
IDS|RA2000|DE2000|pmRA|pmDE|RV|plx|r_plx|nComp|TRAP|Name
16363+0042|16 41 20.9|+00 30 27|  -28|   21|      | 0.0118|HIP|3| |V502 Oph
16372+6958|16 36 39.0|+69 47 35|  -29|   34|      | 0.0083|HIP|4| |
16377+6054|16 39 04.0|+60 41 59|   25|  -58| -28.5| 0.0087|HIP|3| |WW Dra
16463+4609|16 49 14.2|+45 59 00|   23|  -51|  -1.0| 0.0186|HIP|3| |52    Her
16470-4138|16 54 01.8|-41 48 23|   -2|   -3| -78.0| 0.0018|p1 |4| |
16471-4140|16 54 10.1|-41 49 30|     |     | -35.0|-0.0014|HIP|4| |V1007 Sco
16479+2850|16 51 50.1|+28 39 59|   -1|   38| -24.4| 0.0176|HIP|3| |
16483-4030|16 56 15.0|-40 39 36|    2|   -3|  -7.0|-0.0020|HIP|3| |
16501-0809|16 55 29.2|-08 20 03| -829| -879|  12.1| 0.1556|HIP|5| |Gl 644 ABC + Gl 643
16516-4108|16 59 35.6|-41 17 08|  -36|  -51|      | 0.0041|p1 |3| |
16518-3004|16 58 06.9|-30 12 58|    3|  -32|      | 0.0061|p1 |3| |
16551+4731|16 57 53.3|+47 21 58| -147|  272|  -6.6| 0.0557|HIP|3| |Gl 649.1 ABC
16565+3104|17 00 17.4|+30 55 35|  -48|   27| -25.0| 0.0200|HIP|3| | 58Eps Her
17031-0057|17 08 13.7|-01 04 46|  -11|  -40| -21.0| 0.0120|HIP|3| |
17033+5436|17 05 20.2|+54 28 11|  -66|   74| -15.0| 0.0371|HIP|3| |21Mu  Dra
17044-5828|17 12 59.2|-58 35 48|  -60|  -92|  -1.8| 0.0177|HIP|3| |
17072-6650|17 17 25.5|-66 57 03|  -22| -137|   2.3| 0.0318|HIP|3| |V824 Ara
17080+3922|17 11 34.9|+39 15 31|  -58|    3| -27.4| 0.0061|HIP|4| |
17092-2627|17 15 21.3|-26 36 00| -474|-1144|   0.5| 0.1671|HIP|3| |36 Oph, Gl 663 + 664
17095+1629|17 13 57.8|+16 21 01|   26|  -48| -13.0| 0.0105|HIP|3| |AK Her
17101+1430|17 14 38.9|+14 23 25|   -7|   33| -33.0| 0.0085|HIP|4| |64Alp1Her
17109+5414|17 13 06.3|+54 08 21|    1|   65| -18.8| 0.0096|HIP|3| |
17115+0119|17 16 31.7|+01 12 38|   -4|  -16| -11.0| 0.0054|HIP|3| |U Oph
17121-3452|17 18 56.4|-34 59 22| 1149|  -91|      | 0.1434|HIP|3| |Gl 667 ABC
17136+3312|17 17 19.6|+33 06 00|   -4|   -6| -17.1| 0.0038|HIP|3| |68    Her
17141-1739|17 19 53.4|-17 45 23|   -3|  -27|  -4.0| 0.0087|HIP|3| |
17177+2851|17 21 31.2|+28 45 29|   12|    1|  -6.0| 0.0061|HIP|3| |
17184+4004|17 21 43.6|+39 58 29|    6|  -66|   3.0| 0.0145|ORB|3| |V814 Her
17184-1136|17 24 02.8|-11 42 07|   -7|   -6|      | 0.0031|p1 |3| |
17195-4545|17 26 52.0|-45 50 35|   -6|  -28|  -9.0| 0.0054|HIP|3| |
17202+3714|17 23 41.0|+37 08 45|  -39|    9| -21.0| 0.0081|HIP|3| |75Rho Her
17215+0741|17 26 19.0|+07 35 44|     |     | -11.0| 0.0040|HIP|3| |
17222-1206|17 27 48.0|-12 11 12|    9|    5|      | 0.0073|HIP|3| |
17230+7306|17 20 54.0|+73 00 48|   46|  208|  -8.1| 0.0126|HIP|3| |
17235-3338|17 30 05.6|-33 42 59|    1|   -3|   4.0| 0.0004|p1 |3| |
17282-3231|17 34 42.5|-32 34 54|    4|   -2|  -4.0| 0.0006|p1 |4| |
17303+5514|17 32 15.9|+55 10 22|  144|   63| -16.0| 0.0326|HIP|3| |25 Nu2 Dra
17331+2757|17 37 10.8|+27 53 45| -123|  261| -39.7| 0.0320|HIP|3| |Kui 83
17340+6157|17 34 59.3|+61 52 33|  277| -526| -16.3| 0.0710|HIP|4| |26 Dra, Gl 684 + 685
17396-3202|17 46 14.5|-32 06 06|  -78| -270|      | 0.1618|HIP|3| |GJ 2130
17419+0536|17 46 47.0|+05 33 54|    7|   -9|  -8.4| 0.0023|p1 |3| |
17423-5334|17 50 28.4|-53 36 45|    2|  -10|  -8.0| 0.0015|p12|3| |V539 Ara
17425+2747|17 46 27.7|+27 43 21| -291| -750| -16.0| 0.1191|HIP|3| |86Mu Her, Gl 695 ABC
17427+3921|17 45 58.4|+39 19 21|    5|   14| -26.7| 0.0048|p12|3| |
17473-3443|17 53 54.8|-34 45 10|    3|   -5|  -5.0| 0.0031|DYN|3| |V906 Sco
17496+1109|17 54 14.2|+11 07 51|  -71| -163| -41.0| 0.0147|HIP|3| |V2388 Oph
17503-3444|17 56 55.6|-34 45 01|   -5|   -7| -15.7| 0.0022|p12|4| |V907 Sco
17505-1547|17 56 19.0|-15 48 45|  -10|  -66| -24.0| 0.0131|HIP|4| |
17520+1821|17 56 24.4|+18 19 37|   -2|  -11|      | 0.0047|HIP|3| |
17524-3656|17 59 13.5|-36 56 20|   11|  -10| -16.8| 0.0087|HIP|3| |V1647 Sgr
17535+0428|17 58 24.5|+04 27 42|  -64|  -59| -14.5| 0.0243|HIP|3| |GJ 9609, Kui 84
17553-4601|18 02 46.3|-46 01 20|     |     |      | 0.0049|p1 |3| |
17556+2930|17 59 25.0|+29 29 29|   42|  -55| -10.0| 0.0070|p12|3| |COU 1003
17576-0810|18 03 04.9|-08 10 49|   15|  -38| -40.0| 0.0192|HIP|3| |69Tau Oph, Gl 700.1
17581+2050|18 02 23.0|+20 50 01|   -2|   -7| -15.0| 0.0032|HIP|4| |96 Her, V820 Her
17590-3635|18 05 44.6|-36 34 46|   -1|   -4|      | 0.0012|p1 |3| |
18016+2126|18 05 49.7|+21 26 46|  -22|  -41| -22.8| 0.0265|HIP|5| |V772 Her
18038+2605|18 07 49.6|+26 06 04|   -2|   24| -17.0| 0.0143|HIP|3| |100    Her
18053-1951|18 11 14.8|-19 50 31|   -4|  -31| -32.0| 0.0089|HIP|3| |
18065+7547|18 02 50.9|+75 47 24|  -12|   41|  -8.0| 0.0074|HIP|3| |
18075+7959|18 00 09.1|+80 00 14|   47|  124|   5.6| 0.0229|ORB|4| |41    Dra
18081+3325|18 11 45.1|+33 26 49|   14|   12| -19.0| 0.0043|HIP|3| |
18110-3408|18 17 36.3|-34 06 26|   -5|   -9|  10.0| 0.0025|p12|5|T|RS Sgr
18140-6132|18 23 13.6|-61 29 38|    1|    2|  12.0| 0.0078|HIP|3| |Xi  Pav
18148+4348|18 17 49.5|+43 50 32|  -20|  -10| -22.3| 0.0079|HIP|3| |
18199+8434|18 01 27.0|+84 35 58|  -59|    6| -32.7| 0.0120|p1 |4| |
18214+5135|18 23 45.0|+51 38 56|   47|  132| -42.2| 0.0157|HIP|3| |
18221+0008|18 27 12.5|+00 11 46|   -3|   -9| -23.0| 0.0140|p12|6| |59    Ser
18222+7117|18 20 45.4|+71 20 16|   -6|   36| -16.0| 0.0113|HIP|3| |43Phi Dra
18224+5844|18 23 54.7|+58 48 02|  -38|   62| -15.0| 0.0173|HIP|4| |39    Dra
18227+4842|18 25 18.2|+48 45 43|   19|    3|   0.5| 0.0036|p1 |3|T|
18251+0359|18 30 05.1|+04 03 55|     |     | -22.0| 0.0023|bib|3| |
18294+1739|18 33 45.6|+17 43 56|    4|   -3| -47.6| 0.0072|HIP|4| |
18316+5140|18 33 55.6|+51 43 12|  187| -325| -24.5| 0.0609|HIP|3| |BY Dra, Gl 719
18330+3323|18 36 37.3|+33 28 09|   -9|    0| -26.0| 0.0063|HIP|3| |
18351-5552|18 43 25.5|-55 46 01|   -7|  -76|      | 0.0163|HIP|3| |
18366+5215|18 38 51.3|+52 20 38|    7|   -5|   1.4| 0.0027|HIP|3| |
18370+2441|18 41 09.0|+24 46 53|  499|   41| -11.9| 0.1302|GL |3| |GJ 1230 A
18374+3012|18 41 16.4|+30 17 41|    2|  -40|  16.5| 0.0062|HIP|3| |Sigma 2367
18374-7306|18 49 43.7|-72 59 45|    2|   -4|   3.0| 0.0044|HIP|3| |
18385+3438|18 42 08.1|+34 44 47|     |     | -24.0| 0.0033|p12|4| |
18406+0524|18 45 28.4|+05 30 00|   16|    2| -11.0| 0.0046|HIP|4| |Fin 332
18410+3933|18 44 20.3|+39 40 12|   11|   60| -31.0| 0.0201|HIP|5| |4Eps1Lyr
18413+3730|18 44 46.3|+37 36 18|   29|   27| -26.0| 0.0212|HIP|3| |6Zet1Lyr
18413-0104|18 46 28.6|-00 57 42|   20|  -22|  19.1| 0.0126|HIP|4| |5    Aql
18449+4919|18 47 29.6|+49 25 55|   14|  -10| -18.6| 0.0041|HIP|3| |205 Dra
18464+3314|18 50 04.8|+33 21 46|    1|   -5| -19.0| 0.0037|HIP|4|T|10Bet Lyr
18481-2252|18 54 10.2|-22 44 41|    3|   -6| -12.0| 0.0018|HIP|3| |32Nu 1Sgr
18512+3350|18 54 52.5|+33 58 07|   -6|   -2| -16.0| 0.0025|HIP|4| |
18538+1713|18 58 14.8|+17 21 39|     |     | -15.9| 0.0013|HIP|3| |FF Aql
18549-3702|19 01 38.9|-36 53 26|    2|  -27|  -0.7| 0.0073|HIP|5| |TY CrA
18555+4032|18 58 46.6|+40 40 45|    2|    0| -14.0| 0.0034|HIP|3| |
18598+5206|19 02 07.0|+52 15 40|   -8|  -33|  -1.6| 0.0051|HIP|3| |
19019+5718|19 03 39.5|+57 27 26|    5|    4| -36.4| 0.0056|HIP|3| |BH Dra
19023+1055|19 06 58.6|+11 04 17|     |     | -18.7| 0.0064|HIP|3| |Y Aql
19023+3017|19 06 09.4|+30 26 19|   66|   -8| -45.0| 0.0133|HIP|3| |
19038-2111|19 09 45.8|-21 01 25|   -1|  -37| -10.0| 0.0074|HIP|3|T|41Pi  Sgr
19044+3846|19 07 47.6|+38 55 42|   10|    2|  29.8| 0.0078|HIP|3| |
19054+3426|19 09 04.3|+34 36 00|   47|  195| -41.0| 0.0269|DYN|3| |
19063+5510|19 08 20.2|+55 19 50|    4|   18|      | 0.0082|HIP|3| |
19077+3837|19 11 08.1|+38 46 49| -228| -106|  24.3| 0.0205|HIP|4| |
19094-2526|19 15 32.4|-25 15 24|   48|  -31| -26.8| 0.0099|HIP|3| |42Psi Sgr
19119+1422|19 16 26.8|+14 32 41|    9|    0| -19.0| 0.0088|HIP|3| |
19119+2717|19 15 57.0|+27 27 21|    4|   -5|  -9.0| 0.0024|p1 |3| |
19168-0747|19 22 09.0|-07 35 12|   19|  -28|      | 0.0048|p1 |3| |
19185+0919|19 23 17.8|+09 30 42|   21|   -1|      | 0.0055|HIP|3| |
19219+5002|19 24 33.1|+50 14 29|   -7|  -20| -60.3| 0.0037|HIP|3| |CH Cyg
19240-0714|19 29 21.4|-07 02 39|     |     |  -7.0| 0.0020|HIP|4| |U Aql
19260-0219|19 31 15.8|-02 06 37|   -1|   -2|  -1.6| 0.0059|p1 |3| |V822 Aql
19267+2744|19 30 43.3|+27 57 35|   -7|   -6| -24.0| 0.0085|HIP|3| |6Bet 1 Cyg
19319+2803|19 35 53.1|+28 16 44|    1|   -8| -24.5| 0.0022|bib|3| |V909 Cyg
19324+5024|19 35 04.5|+50 37 39|    3|   91| -55.2| 0.0099|HIP|3| |
19350-1631|19 40 43.3|-16 17 35|   70|  -50| -58.0| 0.0133|HIP|3| |54    Sgr
19365+1335|19 41 05.5|+13 48 56|     |     | -14.0| 0.0027|p1 |3| |QS Aql, Kui 93
19403-6204|19 49 07.3|-61 48 53|   41|  -98|      | 0.0172|HIP|3| |I 120
19426+3329|19 46 25.6|+33 43 43|   23| -449|   4.2| 0.0479|HIP|4| |17 Cyg, Gl 767.1+
19445+1853|19 48 58.7|+19 08 31|   18|   27| -14.0| 0.0100|HIP|4| |8Zet Sge
19475-1451|19 53 06.4|-14 36 11|   -1|  -50|   1.9| 0.0086|HIP|3| |V505 Sgr
19499-0700|19 55 19.5|-06 44 05|   16|  -59|  -7.0| 0.0117|HIP|3| |
19506+4410|19 53 54.0|+44 24 25|  439| -585|      | 0.2206|bib|3| |GJ 1245 AB,V1581 Cyg
19516+4136|19 54 58.4|+41 52 15|  -53|  284| -20.5| 0.0219|HIP|3| |
19523-5539|20 00 14.7|-55 22 25|  -12|   -1|      | 0.0123|HIP|3| |
19546+4159|19 57 56.1|+42 15 39|   -5|  -10|  -6.0| 0.0026|HIP|3| |
19567+1028|20 01 26.7|+10 44 55|   84|   25| -43.0| 0.0126|HIP|3| |
19597+3545|20 03 29.4|+36 01 31|   -3|   -8| -16.0| 0.0004|p12|3| |
20008+1512|20 05 26.5|+15 30 01|   34|   18|-112.0| 0.0043|HIP|3| |
20029-6355|20 11 50.7|-63 37 01|    8|  -10|      | 0.0024|p13|3| |
20030+0907|20 07 50.3|+09 23 59|   47|   28| -27.0| 0.0231|HIP|4| |
20030-5749|20 11 07.4|-57 31 27|   12|  -35|  -7.0| 0.0072|HIP|3| |
20036+3526|20 07 23.7|+35 43 06|   -3|   -7|  -5.4| 0.0013|HIP|3| |V448 Cyg
20052+1003|20 09 59.0|+10 20 59|    4|  -13|      | 0.0021|p1 |3| |V346 Aql
20055+3511|20 09 14.3|+35 29 02|   -4|   -6| -39.0| 0.0013|p1 |3| |
20109+4148|20 14 21.5|+42 06 16|    4|   -2| -18.4| 0.0040|p13|3| |
20116+2730|20 15 46.2|+27 48 51|  -34|    6|   3.0| 0.0099|HIP|3| |23    Vul
20143-2931|20 20 27.9|-29 11 50|   -4|   -1|   4.0| 0.0046|HIP|4| |
20146+4025|20 18 07.0|+40 43 56|   -3|   -7|  -7.0| 0.0021|HIP|4| |
20147+1403|20 19 21.2|+14 22 15|   15|   11| -23.4| 0.0047|HIP|4| |
20154-1506|20 21 00.7|-14 46 53|   48|   14| -19.0| 0.0095|HIP|6| |9Bet Cap
20166+3905|20 20 15.2|+39 24 12|   -5|  -23|  -1.0| 0.0092|HIP|3| |
20171+1911|20 21 35.7|+19 29 40|    9|    4|   7.1| 0.0099|DYN|4| |Cou 327
20252-4541|20 32 09.4|-45 21 20|    5|   -7|      | 0.0075|p13|3| |
20268+3501|20 30 40.0|+35 21 08|     |     |      | 0.0029|p1 |3| |
20300+3454|20 33 54.2|+35 15 03|   -2|   -5|  -4.0| 0.0035|HIP|3| |47    Cyg
20337-1518|20 39 16.3|-14 57 17|    3|  -20|  -5.0| 0.0038|DYN|3| |14Tau Cap
20346+0437|20 39 37.2|+04 58 19|  862|   68| -39.2| 0.0598|HIP|3| |Gl 795 AB
20370+3157|20 41 02.5|+32 18 26|    3|  -12| -29.0| 0.0041|HIP|4| |49    Cyg
20373+3844|20 41 00.4|+39 04 56|    5|    0| -15.0| 0.0032|HIP|3| |
20388+7514|20 37 20.8|+75 35 57|  309|  540| -35.0| 0.0362|HIP|3| |GJ 1255 AB, VW Cep
20402+1157|20 44 54.6|+12 18 46|   20|    4| -11.0| 0.0048|HIP|3| |
20435+3607|20 47 24.5|+36 29 27|   15|   -8| -23.0| 0.0040|DYN|3| |54Lam Cyg
20442+3855|20 47 59.6|+39 17 16|   -3|   -4|  -4.6| 0.0012|bib|4| |V367 Cyg
20490-7048|20 58 40.1|-70 25 20|    3|   11|      | 0.0101|HIP|4| |KZ Pav
20541+0355|20 59 04.5|+04 17 38| -113| -150|   7.8| 0.0225|DYN|4| |1Eps Equ
20556-4323|21 02 12.7|-43 00 07|   67| -113| -31.0| 0.0123|HIP|3| |
20562+3941|21 00 04.9|+40 04 15|  614| -247| -33.7| 0.0662|HIP|3| |Gl 815 AB, V1396 Cyg
20564+4707|20 59 49.5|+47 31 15|    7|    3|   1.0| 0.0029|HIP|4|T|59 Cyg, V832 Cyg
20588-0613|21 04 04.7|-05 49 23|   21|   -7|   1.0| 0.0060|HIP|3| |12    Aqr
20588-7334|21 09 21.5|-73 10 20|  461| -287| -10.1| 0.0534|HIP|3| |Gl 818.1 ABC
20597+0308|21 04 45.1|+03 32 02|   16|  -13|   5.0| 0.0160|HIP|3| |
21002+1219|21 05 02.2|+12 43 21|   50|   -7| -47.4| 0.0067|HIP|3| |
21033+6145|21 05 32.4|+62 09 32|    4|    7|      | 0.0036|HIP|3| |
21044+2948|21 08 38.9|+30 12 21|   25|  -21| -26.0| 0.0073|HIP|4| |V389 Cyg
21079-3859|21 14 16.3|-38 34 41|  -12|  -13|      | 0.0019|p1 |3| |
21085+0648|21 13 27.2|+07 13 05|   26|   -6|      | 0.0115|HIP|3| |
21093+5934|21 11 48.2|+59 59 12|   -3|   -4| -16.0| 0.0004|HIP|3| |I Cep
21095-0115|21 14 41.1|-00 49 55|   18|    4|      | 0.0054|DYN|3| |
21108+3737|21 14 47.4|+38 02 40|  196|  410| -21.0| 0.0478|HIP|3| |65Tau Cyg, Gl 822.1
21138+1109|21 18 34.9|+11 34 08|   36|  -49|   5.9| 0.0198|HIP|3| |
21140-2645|21 19 46.0|-26 21 07| -582| -358| -17.2| 0.0534|HIP|3| |Gl 825.4
21146+5810|21 17 18.8|+58 36 41|   -3|   -3| -17.0| 0.0013|HIP|4| |
21165+0955|21 21 21.6|+10 19 57|   41|  -41| -19.0| 0.0215|HIP|3| |
21165+5814|21 19 15.7|+58 37 25|   -4|   -3| -10.8| 0.0015|p1 |3| |VV Cep
21175+1922|21 22 05.1|+19 48 16|  106|   63| -76.0| 0.0212|HIP|3| |1    Peg
21194+5708|21 22 20.4|+57 33 55|   77|   28| -51.0| 0.0223|DYN|3| |
21202+0857|21 25 05.7|+09 23 03|   22|    5|      | 0.0065|HIP|3| |
21204+0137|21 25 30.8|+02 02 35|    7|  -18|      | 0.0038|p1 |3| |
21219+1315|21 26 41.1|+13 41 18|   -2|  -11|      | 0.0044|HIP|3| |KP Peg
21274+7007|21 28 39.6|+70 33 38|   13|    9|  -8.0| 0.0055|HIP|3| |8Bet Cep
21344-0030|21 39 31.4|-00 03 04|  238|   13| -14.0| 0.0231|HIP|3| |24 Aqr
21351+0844|21 40 01.9|+09 11 05|   44|   14| -22.6| 0.0076|HIP|4| |EE Peg
21359+5702|21 38 57.6|+57 29 21|   -2|   -5|  -8.0| 0.0011|bib|6|T|
21384+4037|21 42 22.9|+41 04 37|   23|   -2| -25.0| 0.0073|DYN|5| |77 Cyg
21401+2511|21 44 38.7|+25 38 42|   47|   14|  -0.8| 0.0272|HIP|4| |10Kap Peg
21415-5514|21 48 23.0|-54 45 44|     |     |      | 0.0001|p1 |3| |RU Ind
21420-1335|21 47 26.8|-13 07 18|    8|   -8|      | 0.0040|p1 |3| |
21468+6619|21 49 08.1|+66 47 32|  -21|  -66| -15.3| 0.0104|HIP|3| |
21482-2029|21 53 46.5|-20 00 27|   41|  139|  -6.5| 0.0121|HIP|3| |
21496+1915|21 54 17.4|+19 43 05|  -34|  -12|   1.3| 0.0089|HIP|3| |
21519+5203|21 55 31.6|+52 31 41|    2|   -1|      | 0.0039|HIP|3| |
21562+6332|21 59 03.7|+63 59 55|   -2|   -5|      | 0.0013|p1 |4| |
21570-1726|22 02 26.3|-16 57 53|    6|   -1|  15.0| 0.0069|HIP|3| |29 Aqr, DX Aqr
21587-3907|22 04 43.8|-38 38 35|   20|  -40|      | 0.0061|p1 |3| |
22009+6408|22 03 47.2|+64 37 40|  215|   89| -10.7| 0.0268|DYN|3| |17Xi  Cep
22012-5136|22 08 09.8|-51 13 05|  340| -143| -38.0| 0.0203|HIP|3| |Gl 848.1 ABC
22018+8223|21 58 13.5|+82 52 11| -129|  -74| -22.0| 0.0254|HIP|3| |V376 Cep
22027+3536|22 07 02.2|+36 05 37|    2|   -6|      | 0.0069|HIP|3| |
22058-3457|22 11 38.0|-34 27 54|   15|  -19|      | 0.0032|HIP|3| |
22096+3914|22 13 52.7|+39 42 54|   38|   16| -11.0| 0.0058|HIP|3| |
22150+5537|22 18 45.6|+56 07 34|   -4|   -2|-128.0| 0.0018|HIP|4| |GP Cep
22237-0032|22 28 49.8|-00 01 12|  191|   38|  25.0| 0.0315|HIP|3| |55 Zet2 Aqr
22310-3831|22 36 44.1|-37 59 54|  -12|   -2|      | 0.0070|HIP|3| |
22314+3907|22 35 52.1|+39 37 41|  -14|   -6| -10.0| 0.0022|p12|4| |8 Lac
22327+2325|22 37 27.0|+23 56 17|   87|  -25|  -1.0| 0.0201|HIP|3| |
22329-1552|22 38 34.0|-15 17 37| 2364| 2236| -60.0| 0.2483|DYN|3| |Gl 866  AB
22333-2108|22 38 45.3|-20 37 15|  451|  -80|  -8.7| 0.1157|HIP|3| |Gl 867 AB, FK Aqr
22336+7221|22 36 08.7|+72 52 51|   89|   46|  -4.4| 0.0119|HIP|4| |
22342-2850|22 39 44.1|-28 19 32|   95|  -41| -22.0| 0.0070|HIP|3| |
22343-1308|22 39 34.5|-12 36 53|  228| -152| -12.7| 0.0254|HIP|3| |Gl 867.1 ABC
22344+4347|22 38 47.3|+44 18 50|  234|   66| -22.6| 0.0263|HIP|3| |
22346+3651|22 39 04.6|+37 22 32|   -3|   -6| -11.9| 0.0011|p1 |4| |
22359+1401|22 40 52.5|+14 32 56|  272|  124| -10.0| 0.0305|HIP|3| |
22370+2054|22 41 51.6|+21 25 53|   63|  -71|   5.9| 0.0128|HIP|3| |
22388+4638|22 43 04.3|+47 10 07|    2|   -3| -17.0| 0.0021|DYN|3| |
22396+3856|22 44 05.2|+39 27 56|    8|  -28| -27.0| 0.0050|HIP|3| |
22399-0311|22 45 04.9|-02 39 42|    9|  -83| -28.8| 0.0103|DYN|3| |
22417+6736|22 45 02.6|+68 07 59|   19|    6| -17.4| 0.0030|p12|4| |ZZ Cep
22442+6432|22 47 52.9|+65 03 44|   -2|   -1| -21.0| 0.0015|HIP|3| |AH Cep
22473+4047|22 51 49.4|+41 18 47|   16|   -3| -18.0| 0.0045|HIP|5|T|
22475+6109|22 51 22.5|+61 41 48|   97|   42|   2.0| 0.0143|HIP|3| |
22482-1209|22 53 28.7|-11 36 59|   23|    2|  -7.0| 0.0050|HIP|3| |74    Aqr
22491+3724|22 53 41.7|+37 56 19|   88|   11| -22.5| 0.0123|HIP|3| |SW Lac
22492+4413|22 53 40.2|+44 44 57|   -3|  -16|  12.0| 0.0192|HIP|3| |
22518+4104|22 56 23.6|+41 36 14|   -1|   -4|  -7.0| 0.0027|HIP|3| |16 Lac, EN Lac
22524+2409|22 57 02.5|+24 40 56|     |     |   0.4| 0.0157|DYN|3| |Cou 542
22573+4147|23 01 55.3|+42 19 34|   23|    0| -14.0| 0.0047|HIP|4| |1Omi And
23012-4404|23 06 52.8|-43 31 13|  -48|  -14|  10.0| 0.0245|HIP|3| |The Gru
23047+7451|23 07 53.8|+75 23 15|    6|  -35| -19.0| 0.0123|HIP|3| |33Pi  Cep
23053+4725|23 09 58.7|+47 57 34|  154|   -1|  -6.8| 0.0341|HIP|3| |KZ And
23075+0209|23 12 38.5|+02 41 12|   61| -147|  34.6| 0.0152|HIP|3| |
23106-0938|23 15 53.3|-09 05 16|  369|  -17| -26.0| 0.0220|HIP|3| |91 Psi Aqr, GL 893.2
23119-1422|23 17 05.3|-13 50 53| -502|-1190|  13.9| 0.0120|HIP|3| |
23125+1619|23 17 31.1|+16 51 37|   11|  -11| -12.0| 0.0081|HIP|3| |
23139-1400|23 19 06.5|-13 27 30|  266|  -45|  10.0| 0.0482|HIP|3| |94 Aqr, Gl 894.2 AB
23152-5051|23 20 50.1|-50 18 23|   50|  -74| -18.0| 0.0111|HIP|4| |
23241-2107|23 29 54.2|-20 34 33|    1|    5|   3.1| 0.0038|HIP|3| |
23254+5800|23 30 01.9|+58 32 56|   19|    4| -13.0| 0.0057|HIP|7|T|AR Cas
23255+3017|23 30 26.3|+30 49 55|   78|  -33| -30.0| 0.0097|HIP|5| |
23268+1923|23 31 51.8|+19 56 15|  554|  -63|   1.1| 0.1601|HIP|4| |Gl 896AB, EQ Peg
23275-1717|23 32 49.2|-16 50 42|  344| -218|   0.5| 0.0717|HIP|3| |Gl 898 + Gl 897 AB
23344+4510|23 39 20.8|+45 43 12|   -6|  -13|      | 0.0040|DYN|3| |
23411+4552|23 46 02.0|+46 25 13|    9|   -6| -25.0| 0.0025|HIP|3| |20Psi And
23475+7459|23 52 24.5|+75 32 40|  342|   42|   1.0| 0.0927|HIP|3| |Gl 909 AB
23478+3808|23 52 49.5|+38 41 16|  -14|  -20|      | 0.0046|HIP|3| |
23595+4132|00 04 36.6|+42 05 33|  -12|  -13|  -8.0| 0.0020|p1 |3| |

