#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-27T21:17:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea74b405e01	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+AS/124/75&tab:{J/A+AS/124/75/systems}&key:source=J/A+AS/124/75/systems&HTTPPRM:&
#-source=J/A+AS/124/75/systems
#-order=I
#-out=IDS
#-out=Level
#-out=Comp
#-out=Type
#-out=logP
#-out=Sep
#-out=x_Sep
#-out=PA
#-out=Vmag1
#-out=SP1
#-out=Vmag2
#-out=SP2
#-out=Mass1
#-out=MCode1
#-out=Mass2
#-out=MCode2
#-out=Rem
#-out.all=2
#

#RESOURCE=yCat_41240075
#Name: J/A+AS/124/75
#Title: Multiple star catalogue (MSC) (Tokovinin 1997-1999)
#Table	J_A_AS_124_75_systems:
#Name: J/A+AS/124/75/systems
#Title: Individual subsystems
#Column	IDS	(a10)	IDS(1900)	[ucd=meta.id;meta.main]
#Column	Level	(I4)	Level in hierarchy (1)	[ucd=meta.code.multip]
#Column	Comp	(A3)	Component designation	[ucd=meta.id]
#Column	Type	(a6)	Observing technique/status (2)	[ucd=meta.code;obs]
#Column	logP	(F5.2)	? Logarithm (10) of period in days	[ucd=time.period]
#Column	Sep	(F8.3)	Separation or axis	[ucd=pos.angDistance]
#Column	x_Sep	(A1)	['"m] Units of sep. (',",m)	[ucd=meta.unit]
#Column	PA	(I3)	Position angle	[ucd=pos.posAng]
#Column	Vmag1	(F5.2)	V-magnitude of the primary	[ucd=phot.mag;em.opt.V]
#Column	SP1	(a5)	Spectral type of the primary	[ucd=src.spType]
#Column	Vmag2	(F5.2)	V-magnitude of the secondary	[ucd=phot.mag;em.opt.V]
#Column	SP2	(a5)	Spectral type of the secondary	[ucd=src.spType]
#Column	Mass1	(F6.2)	Mass of the primary	[ucd=phys.mass]
#Column	MCode1	(A1)	Mass estimation code for primary (3)	[ucd=meta.code]
#Column	Mass2	(F6.2)	Mass of the secondary	[ucd=phys.mass]
#Column	MCode2	(A1)	Mass estimation code for secondary (3)	[ucd=meta.code]
#Column	Rem	(a20)	Remark	[ucd=meta.note]
IDS|Level|Comp|Type|logP|Sep|x_Sep|PA|Vmag1|SP1|Vmag2|SP2|Mass1|MCode1|Mass2|MCode2|Rem
04388-0858|  11|Aab|s?    |     |   0.000|"|  0| 6.82|F4III| 0.00|     |  1.38|a|  0.84|:|cf. BS, WDS
04388-0858|  12|Bab|S1    | 1.63|   3.247|m|  0| 6.70|G8III| 0.00|     |  3.68|a|  1.30|m|SB 269, DW Eri
04404+4313|   1|AC |v     | 5.65|   1.400|"| 28| 8.92|F0   | 9.63|     |  3.33|s|  1.40|v|A 1544
04404+4313|  11|AB |V     | 4.38|   0.178|"| 28| 9.60|F0   | 9.76|     |  1.70|a|  1.63|v|A 1544
04462+1329|   1|AB |V     | 4.56|   0.710|"|  0| 6.41|F5V  | 8.42|G4V  |  2.12|s|  0.94|a|BU 552
04462+1329|  11|Aab|S1    | 2.16|   0.016|"|  0| 6.41|F5V  | 0.00|G8V  |  1.29|a|  0.83|a|SB 284
04475+2512|   1|AB |v     | 5.25|   0.519|"|280| 7.20|A0   |10.00|     |  4.95|s|  1.40|v|A 1843
04475+2512|  11|Aab|v     | 4.27|   0.105|"|119| 7.20|A0   | 0.00|     |  3.20|a|  1.75|:|CHARA 127
04484+5156|   1|AC |Chmrp | 6.30|   4.600|"|115| 8.59|F8   | 9.60|0.60 |  2.27|s|  0.95|a|STF 608
04484+5156|  11|AB |V     | 4.42|   0.210|"|115| 9.20|F8   | 9.51|     |  1.18|a|  1.09|v|Hu 555
04487-5338|   1|AB |Cmrp  | 6.20|  12.300|"| 58| 5.61|F0IV | 6.44|F4V  |  2.70|s|  2.22|s|HR 1564 HD 31204
04487-5338|  11|Aab|s     |     |   0.000| |  0| 5.61|F0IV | 0.00|     |  1.70|a|  1.00|:|A&AS 61 53 1985
04487-5338|  12|Bab|s     |     |   0.000| |  0| 6.44|F4V  | 0.00|     |  1.38|a|  0.84|:|A&AS 61 53 1985
04491-0042|   1|CA |Ch    | 6.75|   4.470|"|250| 9.49|A5   | 9.88|     |  2.10|a|  3.89|s|STF 614
04491-0042|  12|AB |v     | 4.63|   0.151|"|122| 9.88|A6?  |10.14|     |  2.02|a|  1.87|v|A 1019
04493+5335|   1|AC |Chp   | 7.40|  25.800|"|240| 4.47|A1V  |11.21|0.92 |  4.76|s|  0.81|a|STF 610
04493+5335|  11|AB |V     | 5.02|   0.780|"|258| 4.52|A1V  | 7.82|     |  3.60|s|  1.16|v|D 5
04493+5335| 111|Aab|S1    | 0.59|   0.645|m|  0| 4.52|A1V  | 0.00|     |  2.98|a|  0.62|m|SB 289
04533+1423|   1|AB |Cphm  | 7.92|  39.200|"|305| 6.09|B7III| 7.59|B8V  |  5.19|a|  4.48|a|HD 31747  BD+14 795
04533+1423|   1|AC |Cph?  | 8.30|  54.400|"| 88| 6.09|B7III| 8.70|A0V  |  5.19|a|  3.20|a|SHJ 49 BD+14  797
04556+2631|   1|AC |Cmhr  | 7.50|  78.500|"|159| 6.74|G2V  | 8.22|G5   |  2.30|s|  1.64|s|HD 32093, BD+26 776
04556+2631|  11|AB |V     | 3.96|   0.260|"|159| 7.00|F7V  | 8.30|G4V  |  1.30|*|  1.00|*|A 1844
04556+2631|  12|Cab|S2    | 2.27|   0.019|"|  0| 8.34|G5V  |10.69|K5V  |  0.98|*|  0.66|*|A&AS 121 71 1997
04559+5843|   1|AB |Cmh   | 6.48|   4.670|"|115| 8.35|G5III|10.44|     |  3.20|a|  1.20|s|STF 625
04559+5843|  12|BC |v     | 5.12|   0.380|"|214|10.44|     |11.74|     |  0.60|*|  0.60|*|A 1020
04565+0950|   1|AB |v     | 4.19|   0.970|"|178|11.83|M4   |12.83|     |  0.41|s|  0.25|v|AJ 114 388 1997
04565+0950|  11|Aab|S2    | 1.08|   6.935|m|  0|11.83|M4   | 0.00|     |  0.26|a|  0.15|q|A&A 344 897 1999
04588+5127|   1|AC |Chrpm | 7.38|  90.100|"| 61| 5.00|F0V  | 9.43|1.15 |  2.35|s|  0.74|a|BD+51 1026
04588+5127|  11|AB |Ch    | 5.58|   5.200|"| 82| 5.00|F0V  |12.20|     |  1.99|s|  0.36|v|BU 1046
04588+5127| 111|Aab|S1    | 2.59|   0.050|"|  0| 5.00|F0V  | 0.00|     |  1.70|a|  0.29|m|SB 295
05014+3016|   1|AB |v     | 5.48|   1.390|"|256|10.38|G5Ve | 0.00|     |  0.90|a|  0.50|s|JOY
05014+3016|  12|BC |v     | 4.10|   0.120|"|111| 0.00|     | 0.00|     |  0.50|*|  0.00| |
05018-0447|   1|AB |Ch?   | 7.59|  52.800|"| 10| 5.12|B9V+ |10.80|1.13 |  7.68|s|  0.75|a|STF 642
05018-0447|  11|Aab|S2    | 0.74|   1.399|m|  0| 5.78|B9.5V| 5.97|B9Vp |  3.84|a|  3.84|a|SB 296 i<80
05020+2407|   1|AB |Cp    | 7.24|  13.300|"|150| 5.50|B2V  |12.41| 1.10| 21.11|s|  0.83|a|EDG
05020+2407|   1|AC |Cph   | 8.31|  35.300|"|197| 5.50|B2V  |11.32| 0.65| 16.72|s|  0.92|a|H 114
05020+2407|  11|AD |v     | 4.92|   0.370|"|207| 5.56|B2V  | 8.66|     | 16.72|s|  4.39|v|cf. HIPPARCOS
05020+2407| 111|Aab|S1,o  | 1.77|   2.709|m|  0| 5.50|B2V  | 0.00|     | 13.24|a|  3.48|m|SB 297
05024+0822|   1|AP |Cmpr  | 8.62| 343.000|"|175| 5.34|A5m  | 8.44|K2   |  4.92|s|  1.68|s|HD 33055 BD+08 867
05024+0822|  11|AB |V     | 4.86|   1.040|"| 18| 5.73|A5m  | 6.63|     |  3.30|s|  1.62|v|STT 98
05024+0822|  12|PQ |v     | 5.79|   2.850|"|301| 9.44|0.84 | 9.51|0.84 |  0.84|a|  0.84|a|STT 643, ADS 3712
05024+0822| 111|Aab|s     |     |   0.000|"|  0| 5.73|A5m  | 0.00|     |  2.10|a|  1.20|:|ApJS 43 549 1980
05035+2754|   1|AB |Chrp  | 6.48|  11.600|"| 27| 6.01|A5m  | 8.54|dG7  |  2.10|a|  1.61|s|STF 465
05035+2754|  12|BC |V     | 4.07|   0.217|"|  0| 8.60|dG7  | 9.10|     |  0.85|a|  0.76|v|BU 1047
05065-0840|   1|Aac|v,s,a | 4.34|   0.190|"|  0| 9.40|G1V  |11.70|G8   |  2.15|s|  0.90|*|A&A 289 827 1994
05065-0840|  11|Aab|S2,E  |-0.37|   0.121|m|  0| 9.90|G1V  |10.48|     |  1.39|*|  0.76|*|ER Ori, SB 301 i=81
05066+0024|   1|AB |v     | 4.65|   0.109|"| 18| 7.10|B9Vn | 7.60|     |  7.52|s|  3.26|v|HU   33
05066+0024|  11|Aab|S2    | 1.40|   0.662|m|  0| 7.10|B9Vn | 0.00|     |  3.84|a|  3.68|q|ApJS 37 371 1978
05081+0244|   1|AB |Chp   | 6.45|   6.900|"| 63| 4.46|K0III| 8.40|F7V  |  5.23|s|  1.21|a|STF 654
05081+0244|  11|Aab|S1    | 3.01|   0.033|"|  0| 4.46|K0III| 0.00|     |  4.00|a|  1.23|m|SB 304
05081+4618|   1|Aac|E*    | 3.14|   0.010|"|  0| 7.90|B7V  | 0.00|     |  7.22|s|  2.67|:|Bull. AI Czech 41 N4
05081+4618|  11|Aab|E,S1  | 0.10|   0.088|m|  0| 7.94|B7V  |12.90|A5V  |  5.12|a|  2.10|a|SB 303, i=79
05083+0151|   1|AC |Ch?   | 7.14|   6.800|"|137| 6.09|A5V  |13.00|     |  3.86|s|  0.42|v|STT 517
05083+0151|  11|AB |V     | 5.29|   0.527|"|232| 6.58|A5V  | 7.19|     |  2.10|a|  1.76|v|STT 517
05089+3234|   1|AC |Chmrp | 6.91|  14.600|"|225| 5.02|A9IV | 7.95|0.41 |  2.05|s|  1.56|s|STF 653
05089+3234|  11|Aab|S1    | 0.58|   0.731|m|  0| 5.02|A9IV | 0.00|     |  1.78|a|  0.27|m|SB 305
05089+3234|  12|Ca |S1    | 0.48|   0.570|m|  0| 7.95|0.41 | 0.00|     |  1.30|*|  0.26|m|A&AS 121 71 1997
05093+4553|   1|AH |Cmp   | 8.13| 723.000|"|141| 0.08|G5III|10.00|dM1  |  5.25|s|  0.63|s|Gl 195
05093+4553|  11|AB |V,S2,A| 2.02|   0.056|"| 23| 0.60|G5III| 1.10|     |  2.69|*|  2.56|*|SB 306
05093+4553|  12|HL |V     | 5.15|   3.720|"|  0|10.00|dM1  |13.70|dM5  |  0.42|a|  0.21|a|
05097-0819|   1|AB |Chpr  | 6.83|   9.500|"|198| 0.12|B8Ia:| 7.00|B9V  | 22.80|a| 10.62|s|STF 668
05097-0819|  12|BC |v     | 4.23|   0.120|"|  0| 7.60|B9V  | 7.60|B9V  |  6.78|s|  3.84|a|BU 555
05097-0819| 121|Bab|S2    | 0.99|   0.715|m|  0| 7.60|B9V  | 0.00|     |  3.84|a|  2.94|q|SB 307
05116+3316|   1|AB |Ch    | 5.86|   4.200|"| 56| 4.54|K2III|10.60|     |  6.15|s|  0.80|v|STT 103
05116+3316|  11|Aab|S1,A  | 2.64|   0.029|"|  0| 4.54|K2III| 0.00|     |  4.40|a|  1.75|m|SB 309
05164-0030|   1|AC |Cp    | 8.10|  37.600|"|110| 5.68|B3V  |11.30|G1V  | 15.36|s|  1.06|a|HJ 697
05164-0030|  11|Aab|S2    | 0.74|   0.451|m|  0| 5.68|B3V  | 0.00|     | 10.96|a|  4.40|q|ApJS 75 965 1991
05188-0058|   1|AB |v     | 5.53|   2.700|"|161| 6.55|F7V  | 7.30|F8V  |  2.20|s|  2.30|s|WNC 2
05188-0058|  11|Aab|S2    | 1.35|   3.495|m|  0| 6.86|F5V  | 9.14|G5V  |  1.30|*|  0.90|*|A&AS 121 71 1997
05188-0058|  12|BC |V     | 4.26|   0.332|"|  0| 7.68|F8V  | 8.63|G0V  |  1.20|*|  1.10|*|A 847
05194-0229|   1|AB |v     | 5.71|   1.650|"| 77| 3.64|B1V  | 4.95|B2V? | 34.36|s| 13.24|a|DA 5
05194-0229|  11|Aac|V,S1  | 3.54|  44.100|m|  0| 4.24|B1V  | 5.65|B3V  | 21.60|s| 12.76|*|McA 18, SB 320
05194-0229| 111|Aab|S2,E  | 0.90|   0.784|m|  0| 4.50|B1V  | 5.90|B3V  | 11.00|*| 10.60|*|SB 319, i=90
05212+3442|   1|AB |      | 3.84|   0.130|"|214| 8.46|O9.5V| 9.82|     | 52.70|s| 12.96|v|Hipparcos
05212+3442|  11|Aac|E*,S2 | 2.47|   0.015|"|  0| 8.46|B3V  | 0.00|     | 35.70|s| 17.00|*|A&A 183 61 1987
05212+3442| 111|Aab|E,S2  | 0.26|   0.431|m|  0| 9.21|O9.5V| 9.21|B0.5V| 21.30|*| 14.40|*|SB 322, i=90,var
05213+1753|   1|BC |c     | 7.23|   5.800|"| 58|10.10|     |11.80|     |  1.40|*|  0.00| |STT 107
05213+1753|   1|AB |Ch    | 7.02|  10.200|"|306| 5.42|B5V  |10.10|     |  9.67|s|  1.40|*|STT 107
05213+1753|  11|Aab|V,o   | 3.75|   0.068|"|  0| 5.42|B5V  | 0.00|     |  6.40|a|  3.27|:|McA 19
05216+0300|   1|AB |v     | 6.41|   2.700|"|323| 4.62|B2IV | 8.70|     | 28.78|s|  3.21|v|KNT 3
05216+0300|  11|Aab|S2    | 0.40|   0.256|m|  0| 4.98|B1III| 5.98|B2V  | 15.54|a| 13.24|a|SB 323 i=58
05225-5224|   1|AC |Cmrp  | 7.74|  38.200|"|285| 6.27|A0V  | 6.79|A2V  |  7.99|s|  2.76|a|HD 35859 CP-52 717
05225-5224|  11|AB |v     | 4.98|   0.500|"| 96| 6.27|A0V  | 7.20|     |  5.60|s|  2.39|v|I 345
05225-5224| 111|Aab|s2    |     |   0.000| |  0| 6.27|A0V  | 0.00|     |  3.20|a|  2.40|*|A&AS 61 53 1985, SB-
05230+3518|   1|AB |v     | 6.51|   0.600|"|253| 6.90|O9III| 8.40|     | 30.10|s| 12.29|v|HU  217
05230+3518|  11|Aab|E,S2  | 0.60|   0.061|m|  0| 7.54|O9III| 7.80|     | 22.00|*|  8.10|*|SB 325, LY Aur
05237+2928|   1|AC |Cmph  | 7.48|  15.180|"|352| 7.55|G5III| 9.31|0.60 |  5.35|s|  0.95|a|STF 719
05237+2928|  11|AB |v     | 5.88|   1.230|"|334| 7.55|G5III| 8.83|     |  3.20|a|  2.15|v|STF 719
05254+0552|   1|AB |V     | 5.33|   1.293|"| 49| 4.47|B5V  | 5.85|B7V  |  6.97|s|  5.12|a|STF 728
05254+0552|  11|Aab|S1    | 0.60|   1.058|m|  0| 4.47|B5V  | 0.00|     |  6.40|a|  0.57|m|ApJS 75 965 1991
05269-0022|   1|AC |Cmpr  | 8.12|  52.500|"|  1| 2.23|O9II | 6.85|B2V  | 90.26|s|101.30|s|HR 1851, HD 36485
05269-0022|  11|AB |v     | 4.82|   0.260|"|227| 2.50|O9II | 3.90|     | 63.31|s| 26.95|v|HEI 42
05269-0022|  12|Cab|S1    | 1.41|   1.426|m|  0| 6.85|B2V  | 0.00|     | 90.26|s| 11.07|m|ApJS 75 965 1991
05269-0022| 111|Aab|S1,E  | 0.76|   0.450|m|  0| 2.76|O9II | 4.16|     | 50.00|a| 13.31|m|SB 331 i=68
05281-0147|   1|AC |Chp   | 8.01|  29.400|"|243| 6.46|B4Vn | 8.40|B8   | 17.77|s|  8.81|s|STF 734
05281-0147|  11|AB |v     | 6.20|   1.600|"|356| 6.70|B4Vn | 8.40|     | 13.00|s|  4.77|v|STF 734
05281-0147|  12|CD |v     | 5.81|   0.700|"|295| 8.40|B8   | 8.50|     |  4.48|a|  4.33|v|BU 1049
05281-0147| 111|Aab|s1    | 0.84|   0.380|m|  0| 6.70|B4Vn | 0.00|     |  8.68|a|  4.32|:|ApJS 75 965 1991
05285-0114|   1|Aac|S1,E* | 2.08|   2.033|m|  0| 5.34|B1V  | 0.00|A3V? | 11.02|s|  2.54|a|SB 332
05285-0114|  11|Aab|S2,E  | 0.17|   0.102|m|  0| 5.44|B1V  | 7.94|     |  7.60|*|  3.42|*|SB 333, i=86
05297+1010|   1|AB |v     | 6.78|   2.900|"|351| 5.60|B9III| 9.80|     |  7.19|s|  1.14|v|STT 111
05297+1010|  11|Aab|S1    | 3.27|   0.013|"|  0| 5.60|B9III| 0.00|     |  3.88|a|  3.31|m|SB 336
05304+2156|   1|AB |V     | 6.03|   5.571|"|270| 7.20|F8V  | 7.80|     |  1.58|s|  1.01|v|STF 742
05304+2156|  11|Aab|S1    | 1.69|   4.726|m|  0| 7.20|F8V  | 0.00|     |  1.18|a|  0.40|m|M.Smekhov, 1999
05304-0527|   1|AD |Cmr   | 8.28|  21.500|"| 96| 6.73|B0.5V| 6.70|B0V  | 21.69|s| 14.34| |HR 1890 HD 37023
05304-0527|   1|AP |Cmr   | 8.86|  52.000|"|  1| 6.73|B0.5V| 7.96|B0V  | 17.80| | 17.80| |HR 1894 HD 37021
05304-0527|   1|AC |Cmr   | 7.56|  13.000|"|132| 6.73|B0.5V| 5.13|O6p  | 12.75|s| 14.34|s|HR 1895 HD 37022
05304-0527|  11|Aab|S1,E  | 1.82|   1.485|m|  0| 6.84|B0.5V| 9.23|B8V  | 10.20|*|  2.55|*|SB 340 V1016 Ori
05304-0527|  12|Pa |S2,E  | 0.81|   0.330|m|  0| 7.90|B3V  | 8.50|     | 10.96|a|  3.38|q|SB 341 BM Ori
05305-0559|   1|AB |Chp   | 7.21|  11.300|"|141| 2.77|O9III| 7.10|B7IV | 41.97|s|  5.12|a|STF 752
05305-0559|  11|AP |v     | 4.15|   0.100|"|  0| 2.77|O9III| 0.00|     | 31.79|s| 10.18|:|CHARA 250
05305-0559| 111|Aab|S1    | 1.46|   1.468|m|  0| 2.77|O9III| 0.00|     | 22.20|a|  9.59|m|SB 343
05322+3026|   1|AC |Chmp  | 6.96|  12.200|"|268| 5.40|G3III| 8.57|F0V  |  5.68|s|  1.70|a|STF 753
05322+3026|  11|AB |V     | 4.29|   0.135|"|268| 5.40|G3III| 6.30|A2V  |  2.92|a|  2.76|a|BU 1240
05334+6630|   1|AC |v     | 6.65|   2.190|"|248| 9.55|A2   | 9.62|0.32 |  5.24|s|  1.38|a|STF 739
05334+6630|  11|AB |v     | 4.95|   0.150|"|141| 9.55|A2   | 9.90|     |  2.76|a|  2.48|v|HU 1109
05335+2550|   1|AB |o?    | 4.49|   0.320|"|  0| 5.18|B3IV | 8.50|     | 12.35|s|  3.47|v|
05335+2550|  11|Aab|S1    | 1.44|   2.742|m|  0| 5.18|B3IV | 0.00|     | 10.96|a|  1.39|m|SB 349
05337-0239|   1|AE |Cmrp  | 7.99|  41.600|"| 61| 3.81|O9.5V| 6.66|B2Vp | 40.00|s| 13.24|a|HR 1932 HD 37479
05337-0239|   1|AC |Cp    | 7.16|  11.000|"|208| 3.81|O9.5V| 8.79|A2V  | 40.00|s|  2.76|a|STF 762
05337-0239|   1|AD |Crh   | 7.39|  13.000|"|310| 3.81|O9.5V| 6.62|B2V  | 22.20| | 13.24| |STF 762
05337-0239|  11|AB |V     | 4.75|   0.264|"|202| 4.00|O9.5V| 5.20|B0.5V| 22.20|a| 17.80|a|BU 1032
05357-0200|   1|AC |c     | 7.84|  57.600|"| 10| 2.05|O9.7I| 9.00|     | 79.35|s|  3.32|v|STF 774
05357-0200|  11|AB |V     | 5.74|   2.728|"|162| 1.88|O9.7I| 3.70|-0.17| 70.91|s|  8.44|a|STF 774
05357-0200| 111|Aab|s?    | 1.95|   8.134|m|  0| 2.05|O9.7I| 0.00|     | 50.00|a| 20.91|:|ApJS 75 965 1991
05378-3518|   1|AC |Cmph  | 7.47|  13.300|"|186| 9.29|A9V  |10.77|0.50 |  3.51|s|  1.05|a|COO 32
05378-3518|  11|AB |v     | 5.50|   0.590|"|219| 9.29|A9V  | 9.39|     |  1.78|a|  1.73|v|I 740
05394+0347|   1|AC |Cphm  | 8.28|  35.900|"|148| 7.71|B9   |10.46| 0.36|  4.93|s|  1.28|a|STF 788
05394+0347|  11|AB |Cp    | 7.30|   7.400|"| 89| 7.63|B9   | 9.93| 0.47|  3.84|a|  1.09|a|STF 788
05426+2050|   1|AC |Chm   | 7.92|  75.500|"|161| 6.07|B9Vn | 8.33|A0   |  6.13|s|  3.20|a|HD 38693, STT 67
05426+2050|   1|AB |V     | 5.53|   1.670|"|318| 6.37|B9Vn | 7.62|     |  3.84|a|  2.58|v|STT 118
05427-1034|   1|AB |v,s   | 4.42|   0.159|"|284| 6.28|A4V  | 7.73|     |  4.76|s|  1.52|v|McA 22
05427-1034|  11|Aab|S2,E  | 0.53|   0.373|m|  0| 7.03|A4V  | 7.03|     |  2.47|*|  2.29|*|A&A 228 365 1990
05475-3946|   1|AC |Cmph  | 6.16|   3.710|"|200| 9.03|F8V  |10.79|0.81 |  2.34|s|  0.85|a|I 1494
05475-3946|  11|AB |v     | 4.71|   0.360|"|276| 9.03|F8V  | 9.09|     |  1.18|a|  1.16|v|I 1494
05496+1253|   1|Aac|E*    | 3.33|   0.048|"|  0| 7.90|F2V  | 0.00|     |  2.08|s|  1.06|*|A&A 340 81 1998
05496+1253|  11|Aab|E     |-0.19|   0.188|m|  0| 7.90|F2V  | 0.00|     |  1.54|a|  0.54|*|SW Lyn
05566-3103|   1|AC |V     | 5.15|   3.950|"| 10| 8.28|K5V  | 8.30|K5V  |  1.28|s|  0.69|a|HJ 3823
05566-3103|  11|AB |V     | 4.42|   0.940|"|313| 8.28|K5V  | 9.10|     |  0.69|a|  0.59|v|HU 1399
05569+0939|   1|AB |V,A,S2| 3.84|   0.276|"|279| 4.29|A2V  | 6.24|F3V  |  3.26|s|  2.90|s|A 2715, SB 374
05569+0939|  11|Aab|S1    | 0.65|   1.687|m|  0| 4.29|A2V  | 0.00|     |  2.76|a|  0.50|m|SB 373
05569+0939|  12|Bab|S2    | 0.68|   1.703|m|  0| 6.99|F3V  | 6.99|     |  1.46|a|  1.44|q|SB 372
05575+1942|   1|AB |S1,V,o| 3.68|   0.053|"| 55| 5.14|B8III| 6.67|B5V  |  9.73|s|  6.40|a|McA 24, SB 376
05575+1942|  11|Aab|S2    | 1.16|   0.748|m|  0| 5.92|B7III| 6.66|B8III|  5.19|a|  4.54|a|SB 375
05580+2316|   1|AB |V     | 3.69|   0.198|"|114| 4.61|G7III| 5.34|G8III|  3.52|a|  5.22|s|Kui 23
05580+2316|  12|Bab|S1    | 0.98|   3.312|m|  0| 5.53|G8III| 7.33|     |  3.68|a|  1.54|m|SB 377
06009+1046|   1|AB |Cmp   | 7.60|  21.400|"|248| 7.18|A0   | 8.95|F0   |  3.20|a|  2.38|s|STF 840
06009+1046|  12|BC |v     | 5.72|   0.900|"|137| 9.61|0.39 | 9.81|     |  1.22|a|  1.16|v|STF 840
06018-4504|   1|AC |Cmrp  | 7.89| 196.700|"|321| 5.93|F4V  | 6.35|G0IV |  2.17|s|  1.10|a|HR 2157 HD 41700
06018-4504|  11|AB |Chp   | 5.72|   6.100|"|217| 6.01|F4V  | 8.98|1.01 |  1.38|a|  0.79|a|HJ 3834
06056-2245|   1|AB |V     | 3.82|   0.207|"|  0| 6.41|F6V  | 6.51|     |  1.37|s|  1.22|v|Rst 3442
06056-2245|  11|Aab|S1    | 1.93|   9.170|m|  0| 6.41|F6V  | 0.00|     |  1.25|a|  0.12|m|M.Mayor, priv.comm.
06086+1756|   1|AB |v     | 4.94|   0.500|"|142| 6.63|A5Vm | 6.64|     |  3.77|s|  2.09|v|Kui 24
06086+1756|  11|Aab|S2    | 1.38|   1.815|m|  0| 6.63|A5Vm | 0.00|     |  2.10|a|  1.67|q|SB 386
06088+2232|   1|AB |V     | 5.24|   1.080|"|264| 3.28|M3III| 8.80|     |  8.36|s|  1.18|v|BU 1008
06088+2232|  11|Aab|S1    | 3.47|   0.077|"|  0| 3.28|M3III| 0.00|     |  6.30|a|  2.06|m|SB 387
06107+0112|   1|AB |V     | 4.01|   0.165|"|  0| 6.90|F6V  | 7.40|F5V  |  2.50|s|  1.29|a|RST 5225
06107+0112|  11|Aab|S2    | 0.34|   0.514|m|  0| 7.60|F6V  | 7.70|F6.5V|  1.25|a|  1.25|a|Obs. 116 373 1996
06132+5924|   1|AB |v     | 5.11|   0.698|"|132| 6.28|A3V  | 7.37|     |  4.22|s|  1.83|v|STF 881
06132+5924|  11|Aab|v     | 4.33|   0.187|"|109| 6.54|A3V  | 7.94|     |  2.54|a|  1.68|v|CHARA 128
06136+2828|   1|AC |v     | 5.74|   2.800|"|264| 7.41|A3n  | 9.57|0.51 |  5.08|s|  1.04|a|STF 888
06136+2828|  11|AB |V     | 4.29|   0.180|"|264| 7.90|A3n  | 7.90|     |  2.54|a|  2.54|v|BU 895
06162+0219|   1|AB |V     | 4.64|   0.448|"|167| 6.92|A4V  | 7.22|A6V  |  3.63|s|  2.02|a|A 2667
06162+0219|  11|Aab|s     |     |   0.000| |  0| 6.92|A4V  | 0.00|     |  2.32|a|  1.31|:|ApJS 46 247 1981
06198+8221|   1|Aac|E*    | 4.40|   0.000|m|  0| 9.05|G5V  | 0.00|     |  1.69|s|  0.59|:|A&A 144 315 1985
06198+8221|  11|Aab|E,S1  |-0.23|   0.000|m|  0| 9.10|G3V  | 9.60|K4V  |  0.98|a|  0.71|a|SB 401, SV Cam
06203+1849|   1|AB |v     | 4.37|   1.300|"|315| 6.76|K2V  |13.60|     |  1.37|s|  0.27|v|BU 1191
06203+1849|  11|Aab|S2    | 0.84|   5.420|m|  0| 7.29|K2V  | 7.79|     |  0.74|a|  0.63|q|SB 402
06230+2016|   1|AB |Cmh   | 8.38| 112.500|"|329| 4.15|B6III| 8.59|A1V  |  6.32|s|  5.61|s|HD 257913 BD+20 1440
06230+2016|  11|Aab|S1,V,a| 3.54|   0.050|"|  0| 4.30|B6III| 6.00|     |  5.85|a|  0.47|m|BTZ
06230+2016|  12|BC |v     | 4.42|   0.200|"|119| 9.00|A1V  | 9.40|     |  2.98|a|  2.63|v|BU 1192
06240-0658|   1|AB |Cmrp  | 6.67|   7.161|"|133| 4.62|B3Ve | 4.98|B3ne | 10.96|a| 10.96|a|HR 2357
06240-0658|   1|BC |Cmrp  | 6.01|   2.800|"|106| 4.98|B3V  | 5.32|B3ne | 10.96|a| 16.31|s|HR 2358
06240-0658|  12|Ca |v?    | 4.58|   0.262|"|141| 5.32|B3ne | 0.00|     | 10.96|a|  5.35|:|CHARA 167
06242+1758|   1|AB |v     | 6.22|   2.200|"|142| 7.40|A0   | 9.50|     |  3.20|a|  2.10|s|STT 141
06242+1758|  12|Bab|o     | 3.98|   0.052|"|  0| 9.50|     | 0.00|     |  1.30|:|  0.80|:|AJ 85 478 1980
06260+0754|   1|BA |V     | 4.06|   0.200|"|135| 9.83|G5   |10.49|     |  0.90|a|  1.49|s|A 2817
06260+0754|  12|Aab|s     |     |   0.000|"|  0|10.49|G5   | 0.00|     |  0.90|a|  0.59|:|M.Mayor, priv.comm.
06274-5010|   1|AC |Chm   | 6.35|  12.000|"|313| 5.27|F2V  | 9.00|     |  3.04|s|  1.26|s|CD-50 2440
06274-5010|  11|AB |V,s?  | 4.29|   0.484|"|313| 6.10|F2V  | 6.20|     |  1.54|a|  1.50|v|R 65
