#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-10T18:21:20 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5defe11a67cd	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/other/ApSS/361.126&tab:{J/other/ApSS/361.126/table4}&key:source=J/other/ApSS/361.126&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/other/ApSS/361.126/table4
#-order=I
#-out=ID
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=e_Vmag
#-out=U-B
#-out=e_U-B
#-out=B-V
#-out=e_B-V
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Pmemb
#-out.all=2
#

#RESOURCE=yCat_1017036102
#Name: J/other/ApSS/361.126
#Title: NGC 6819 CCD UBV photometry (Ak+, 2016)
#Table	J_other_ApSS_361_126_table4:
#Name: J/other/ApSS/361.126/table4
#Title: Photometric and astrometric catalogue NGC 6819
#Column	ID	(I4)	[1/7060] Sequential number	[ucd=meta.record]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	pmRA	(F6.1)	? Proper motion component (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F4.1)	? rms uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F6.1)	? Proper motion component	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F4.1)	? rms uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Pmemb	(I3)	? Membership probability [NULL integer written as an empty string]	[ucd=stat]
ID|RAJ2000|DEJ2000|Vmag|e_Vmag|U-B|e_U-B|B-V|e_B-V|pmRA|e_pmRA|pmDE|e_pmDE|Pmemb
3091|19 41 14.07|+40 12 17.53|15.557| 0.004| 0.075| 0.008| 0.568| 0.005| 268.2| 7.3| -99.0| 7.3|  0
3092|19 41 14.08|+40 20 59.58|13.656| 0.002| 0.117| 0.003| 0.584| 0.002|  -6.2| 5.1|  -7.1| 5.1| 85
3093|19 41 14.14|+40 17 34.79|17.164| 0.003| 0.291| 0.018| 0.755| 0.006|  -4.7| 4.4|   1.0| 4.4| 80
3094|19 41 14.15|+40 02 33.21|19.840| 0.022|      |      | 0.649| 0.038|  -0.8| 7.3|  -1.4| 7.3| 94
3095|19 41 14.17|+40 14 07.21|16.294| 0.002| 0.808| 0.022| 1.558| 0.005|   8.2| 3.8|  38.3| 3.8|  0
3096|19 41 14.17|+40 12 52.27|15.114| 0.003| 0.296| 0.007| 0.701| 0.004|  54.8| 5.2|  17.7| 5.2|  0
3097|19 41 14.18|+40 09 38.15|15.648| 0.004| 0.112| 0.008| 0.612| 0.005|   7.3| 6.7|  13.4| 6.7| 13
3098|19 41 14.20|+40 16 06.79|20.005| 0.025|      |      | 1.259| 0.063|  -9.3| 6.9|   4.7| 6.9| 65
3099|19 41 14.21|+40 07 49.52|19.336| 0.014|-0.177| 0.057| 0.557| 0.024|   4.7| 6.7|  -5.8| 6.7| 67
3100|19 41 14.24|+40 13 11.88|20.176| 0.027|      |      | 1.013| 0.062|      |    |      |    |
3101|19 41 14.28|+40 20 24.83|20.558| 0.043|      |      | 1.491| 0.122|  12.3| 8.8|  12.1| 8.8| 24
3102|19 41 14.28|+40 19 21.46|16.985| 0.003| 0.011| 0.012| 0.503| 0.005|   1.1| 4.0|   2.2| 4.0| 46
3103|19 41 14.29|+40 04 31.17|18.771| 0.009| 0.126| 0.048| 0.641| 0.016|  -2.9| 5.3|  -1.1| 5.3| 95
3104|19 41 14.30|+40 05 00.70|18.733| 0.009| 0.320| 0.053| 0.650| 0.016|  -0.4| 5.3|  -4.2| 5.3| 90
3105|19 41 14.31|+40 07 07.10|19.914| 0.023|      |      | 1.310| 0.058|      |    |      |    |
3106|19 41 14.31|+40 18 16.00|17.604| 0.004| 0.266| 0.023| 0.705| 0.008|  11.4| 4.2|   0.6| 4.2|  4
3107|19 41 14.33|+40 10 12.34|14.484| 0.002| 0.085| 0.004| 0.568| 0.003|  -4.3| 3.9|  -0.3| 3.9| 88
3108|19 41 14.35|+40 02 13.93|18.320| 0.007| 0.120| 0.037| 0.769| 0.013|  -2.0| 4.8| -10.9| 4.8| 55
3109|19 41 14.35|+40 09 00.45|17.757| 0.005| 0.365| 0.029| 0.856| 0.009|      |    |      |    |
3110|19 41 14.35|+40 09 20.57|15.679| 0.004| 0.059| 0.008| 0.599| 0.005|      |    |      |    |
3111|19 41 14.36|+40 08 51.27|19.743| 0.019| 0.002| 0.089| 0.566| 0.033|  -0.8| 8.8|  -7.0| 8.8| 93
3112|19 41 14.39|+40 12 37.90|17.438| 0.004| 0.422| 0.024| 0.854| 0.007|  -7.1| 5.6|  -2.3| 5.6| 93
3113|19 41 14.40|+40 07 56.44|19.073| 0.012|      |      | 1.218| 0.027|      |    |      |    |
3114|19 41 14.42|+40 11 44.13|15.429| 0.004| 0.064| 0.007| 0.604| 0.005| -48.9| 5.2| -13.4| 5.2|  0
3115|19 41 14.43|+40 06 09.58|16.744| 0.002| 0.029| 0.011| 0.580| 0.004|   4.9| 4.0|  -7.5| 4.0| 26
3116|19 41 14.43|+40 09 59.04|15.208| 0.003| 0.085| 0.007| 0.608| 0.004| -39.5| 3.9|  20.0| 3.9|  0
3117|19 41 14.44|+40 06 48.16|17.243| 0.003| 0.223| 0.018| 0.795| 0.006|-283.2| 6.6|-151.4| 6.4|  0
3118|19 41 14.44|+40 01 48.97|19.066| 0.012| 0.426| 0.092| 0.847| 0.022|  -4.9| 5.3| -14.7| 5.3| 36
3119|19 41 14.47|+40 00 38.55|15.761| 0.004| 0.345| 0.011| 0.782| 0.006| -18.3| 5.2|   3.7| 5.2| 12
3120|19 41 14.47|+40 21 16.22|18.894| 0.011|      |      | 0.951| 0.022|  -1.1| 6.6|  -9.2| 6.6| 80
3121|19 41 14.48|+40 05 42.37|16.065| 0.002| 0.921| 0.016| 1.219| 0.004|  -3.2| 3.8|  -5.1| 3.8| 44
3122|19 41 14.48|+40 20 50.58|19.236| 0.014| 0.221| 0.089| 0.734| 0.026|  -3.5| 7.6|  -4.7| 7.6| 99
3123|19 41 14.55|+40 03 23.95|15.568| 0.004|-0.020| 0.008| 0.608| 0.005|   8.7| 3.8|  -9.7| 3.8|  4
3124|19 41 14.56|+40 05 10.69|17.529| 0.004| 0.019| 0.018| 0.642| 0.007|  -5.2| 4.5|   2.5| 4.5| 68
3125|19 41 14.61|+40 09 12.62|14.947| 0.003| 0.140| 0.006| 0.647| 0.004|  -2.0| 5.1| -10.1| 5.1| 65
3126|19 41 14.63|+40 13 49.52|15.894| 0.005| 0.070| 0.009| 0.568| 0.006| -25.4| 3.9|   8.6| 3.9|  0
3127|19 41 14.66|+40 18 35.97|19.064| 0.012| 0.195| 0.075| 0.800| 0.023|  -1.4| 5.3|  -2.5| 5.3| 94
3128|19 41 14.67|+40 09 35.32|20.251| 0.030|      |      | 1.681| 0.100|      |    |      |    |
3129|19 41 14.68|+40 16 41.95|17.613| 0.004| 0.421| 0.029| 0.867| 0.008|  -5.3| 4.3| -10.6| 4.3| 52
3130|19 41 14.69|+40 02 40.04|16.078| 0.002| 0.072| 0.007| 0.597| 0.003|  -3.8| 3.9|   0.4| 3.9| 82
3131|19 41 14.69|+40 14 20.87|20.591| 0.040|      |      | 1.327| 0.109|      |    |      |    |
3132|19 41 14.73|+40 14 00.50|18.246| 0.007| 1.027| 0.102| 1.364| 0.016|  -8.5| 5.3|  -3.9| 5.3| 85
3133|19 41 14.73|+40 15 31.69|18.841| 0.010| 0.290| 0.063| 0.774| 0.019|   1.0| 6.4|  -7.2| 6.4| 80
3134|19 41 14.74|+40 12 14.14|18.378| 0.007| 0.413| 0.056| 1.052| 0.015|  -1.6| 4.7|  -8.1| 4.7| 75
3135|19 41 14.75|+40 08 21.51|19.525| 0.016|      |      | 1.000| 0.035|      |    |      |    |
3136|19 41 14.75|+40 13 00.98|16.039| 0.002| 0.058| 0.007| 0.606| 0.003| -11.6| 3.9|  14.1| 3.9|  1
3137|19 41 14.76|+40 08 29.28|19.496| 0.016|      |      | 0.875| 0.032|      |    |      |    |
3138|19 41 14.76|+40 10 42.96|19.061| 0.011|      |      | 1.119| 0.025|      |    |      |    |
3139|19 41 14.77|+40 19 03.17|20.086| 0.027|      |      | 0.661| 0.049|      |    |      |    |
3140|19 41 14.78|+40 15 10.45|15.225| 0.003| 0.085| 0.007| 0.598| 0.004|  12.5| 5.2| -29.8| 5.2|  0
3141|19 41 14.78|+40 12 00.77|17.388| 0.004| 0.351| 0.021| 0.766| 0.007|  -2.3| 4.7|  -0.3| 4.7| 89
3142|19 41 14.80|+40 17 01.46|14.782| 0.003| 0.065| 0.005| 0.632| 0.003|  -7.3| 3.8|  -0.6| 3.8| 76
3143|19 41 14.81|+40 01 56.42|17.371| 0.004| 0.507| 0.027| 0.930| 0.007|  -4.7| 4.0|  -0.8| 4.0| 91
3144|19 41 14.82|+40 06 26.20|17.911| 0.005| 0.432| 0.036| 0.893| 0.010|  -7.7| 4.2|  -4.1| 4.2| 83
3145|19 41 14.83|+40 13 42.60|20.117| 0.027|      |      | 0.751| 0.094|      |    |      |    |
3146|19 41 14.84|+40 17 49.24|17.580| 0.004| 0.298| 0.025| 0.837| 0.008|  -2.3| 4.4|   0.1| 4.4| 85
3147|19 41 14.87|+40 17 31.71|20.876| 0.054|      |      | 1.213| 0.137|      |    |      |    |
3148|19 41 14.87|+40 07 50.65|19.413| 0.015| 0.095| 0.076| 0.629| 0.026|      |    |      |    |
3149|19 41 14.92|+40 02 11.78|18.115| 0.006| 1.036| 0.074| 1.072| 0.012|  -5.6| 4.2|   2.1| 4.2| 67
3150|19 41 14.96|+40 04 07.89|19.631| 0.019|      |      | 1.566| 0.052| -19.3| 5.2|   6.6| 5.2|  7
3151|19 41 14.98|+40 12 46.30|19.341| 0.014|      |      | 1.087| 0.032|      |    |      |    |
3152|19 41 14.98|+40 14 27.98|16.742| 0.002| 0.171| 0.012| 0.703| 0.004|  -6.2| 4.1|   1.4| 4.1| 70
3153|19 41 14.99|+40 15 51.34|19.949| 0.024|      |      | 1.452| 0.068|      |    |      |    |
3154|19 41 15.00|+40 04 39.43|15.590| 0.004| 0.068| 0.008| 0.558| 0.005| -15.5| 3.9|  -8.8| 3.9|  9
3155|19 41 15.01|+40 08 11.74|18.512| 0.008| 0.431| 0.053| 0.830| 0.014|   4.4| 4.2|  14.5| 5.1|  3
3156|19 41 15.01|+40 10 06.30|15.382| 0.004| 0.050| 0.007| 0.575| 0.005|   4.8| 5.2| -15.0| 5.2| 17
3157|19 41 15.02|+40 13 37.28|15.131| 0.003| 0.113| 0.006| 0.614| 0.004|      |    |      |    |
3158|19 41 15.02|+40 06 49.92|17.304| 0.004| 1.183| 0.046| 1.182| 0.007|  -1.1| 3.9| -10.9| 3.9| 38
3159|19 41 15.02|+40 09 01.45|20.499| 0.037|      |      | 1.342| 0.100| 122.2| 6.9|-373.8| 6.9|  0
3160|19 41 15.04|+40 00 34.42|17.441| 0.004| 0.090| 0.018| 0.596| 0.007|  13.7| 4.3| -12.3| 4.3|  1
3161|19 41 15.04|+40 09 20.78|18.261| 0.006| 0.633| 0.058| 1.016| 0.013|  13.3| 4.7|   1.6| 4.7|  4
3162|19 41 15.06|+40 14 15.97|15.938| 0.005| 0.111| 0.010| 0.589| 0.006|   6.7| 3.9|  15.7| 3.9|  0
3163|19 41 15.10|+40 01 32.12|15.257| 0.003| 0.120| 0.007| 0.687| 0.004| -20.4| 3.8| -23.1| 3.8|  0
3164|19 41 15.11|+40 06 23.70|20.483| 0.037|      |      | 1.336| 0.097|  -7.7| 4.2|  -4.1| 4.2| 83
3165|19 41 15.12|+40 17 11.18|18.653| 0.009|      |      | 1.289| 0.021|  -4.5| 5.6|  -5.0| 5.6| 98
3166|19 41 15.12|+40 09 37.71|15.835| 0.005| 0.086| 0.009| 0.582| 0.006|  -2.6| 5.1|  -2.5| 5.1| 98
3167|19 41 15.13|+40 15 19.44|18.058| 0.006| 0.484| 0.038| 0.743| 0.010|  -8.9| 4.7|  17.9| 4.7|  1
3168|19 41 15.15|+40 12 27.26|19.126| 0.012|      |      | 1.081| 0.027|      |    |      |    |
3169|19 41 15.15|+40 06 55.33|18.379| 0.007| 0.771| 0.068| 0.959| 0.014|   8.3| 4.0|  11.6| 4.0|  1
3170|19 41 15.15|+40 19 36.82|18.521| 0.008| 0.578| 0.071| 0.947| 0.016|  -2.2| 4.6|   0.3| 4.6| 84
3171|19 41 15.17|+40 04 31.79|19.065| 0.012|      |      | 1.186| 0.027|  -3.3| 6.2|  -1.1| 6.2| 97
3172|19 41 15.18|+40 13 18.70|19.521| 0.016|-0.264| 0.070| 0.697| 0.030| -17.4| 6.0|   3.0| 6.0| 26
3173|19 41 15.19|+40 08 07.75|16.962| 0.003| 0.192| 0.014| 0.721| 0.005|   4.4| 4.2|  14.5| 5.1|  3
3174|19 41 15.20|+40 06 59.46|19.497| 0.016|      |      | 1.118| 0.036|  -2.7| 6.7|  21.4| 6.7|  5
3175|19 41 15.22|+40 04 58.52|15.845| 0.005| 0.776| 0.019| 1.254| 0.007| -17.3| 5.2|  16.1| 5.2|  1
3176|19 41 15.23|+40 07 24.49|19.867| 0.022|      |      | 1.490| 0.062|      |    |      |    |
3177|19 41 15.25|+40 13 58.92|19.349| 0.014| 0.441| 0.088| 0.572| 0.025|      |    |      |    |
3178|19 41 15.29|+40 01 46.87|15.062| 0.003| 0.737| 0.010| 1.114| 0.004|  -4.8| 3.8|   1.0| 3.8| 24
3179|19 41 15.31|+40 09 13.93|20.245| 0.030|      |      | 1.415| 0.083|      |    |      |    |
3180|19 41 15.32|+40 17 00.27|20.065| 0.026|      |      | 0.951| 0.056|      |    |      |    |
3181|19 41 15.32|+40 06 37.49|18.559| 0.008| 0.571| 0.079| 1.151| 0.018|  -0.3| 4.8|  -3.1| 4.8| 88
3182|19 41 15.38|+40 18 07.33|18.696| 0.009| 0.672| 0.099| 1.103| 0.020|  -3.9| 4.7|  -3.7| 4.7|100
3183|19 41 15.39|+40 13 23.48|19.568| 0.017|      |      | 1.099| 0.039| 265.5| 7.3|  58.1| 7.3|  0
3184|19 41 15.40|+40 00 42.05|17.981| 0.006| 0.484| 0.039| 0.820| 0.010|  -4.1| 4.3|  -4.3| 4.3| 99
3185|19 41 15.44|+40 05 30.40|17.112| 0.003| 0.142| 0.015| 0.700| 0.006|  -2.9| 4.4|  -0.7| 4.4| 91
3186|19 41 15.45|+40 20 38.53|18.588| 0.009|      |      | 1.423| 0.022|  -5.5| 4.0|  -0.8| 4.0| 89
3187|19 41 15.47|+40 05 41.24|19.585| 0.017| 0.104| 0.091| 0.628| 0.030|      |    |      |    |
3188|19 41 15.47|+40 09 32.72|15.717| 0.004| 0.078| 0.008| 0.569| 0.005|  -2.6| 5.1|  -2.5| 5.1| 98
3189|19 41 15.47|+40 06 28.75|20.648| 0.041|      |      | 1.035| 0.092|      |    |      |    |
3190|19 41 15.48|+40 10 50.61|17.735| 0.005| 0.496| 0.035| 0.990| 0.009|      |    |      |    |
3191|19 41 15.49|+40 03 33.79|18.500| 0.008| 0.570| 0.069| 1.010| 0.016|  -1.3| 5.4|  -5.8| 5.4| 90
3192|19 41 15.50|+40 06 46.86|20.145| 0.027|      |      | 0.995| 0.058|   5.0| 8.8|  -4.1| 8.8| 79
3193|19 41 15.51|+40 01 21.41|20.131| 0.029|      |      | 0.870| 0.054|      |    |      |    |
3194|19 41 15.55|+40 01 37.40|17.585| 0.004| 0.345| 0.027| 0.867| 0.008|-356.8| 6.9|  84.2| 6.9|  0
3195|19 41 15.57|+40 17 41.39|16.762| 0.003| 0.277| 0.014| 0.827| 0.005|  -7.8| 3.9|   2.0| 3.9| 54
3196|19 41 15.57|+40 09 48.07|15.918| 0.005| 0.032| 0.009| 0.609| 0.006|   0.6| 3.9|  -4.1| 3.9| 73
3197|19 41 15.58|+40 09 39.23|19.857| 0.021|      |      | 1.217| 0.052|      |    |      |    |
3198|19 41 15.61|+40 02 28.56|17.600| 0.004| 0.578| 0.032| 0.892| 0.008|  -8.2| 4.2|  -6.6| 4.2| 70
3199|19 41 15.64|+40 04 45.58|19.776| 0.020|-0.203| 0.097| 0.765| 0.038|  -8.6| 7.6|  -6.6| 7.6| 88
3200|19 41 15.65|+40 21 02.58|19.701| 0.021| 0.377| 0.128| 0.558| 0.035|  28.6| 7.3| -28.9| 7.3|  0
3201|19 41 15.65|+40 10 10.71|13.295| 0.001| 1.083| 0.005| 1.203| 0.002| 219.2| 5.2| 202.7| 5.2|  0
3202|19 41 15.65|+40 13 04.02|20.697| 0.043|      |      | 1.530| 0.135|      |    |      |    |
3203|19 41 15.68|+40 04 12.21|15.984| 0.005| 0.086| 0.010| 0.592| 0.006|  -2.4| 3.9|  -2.5| 3.9| 95
3204|19 41 15.71|+40 03 22.64|17.934| 0.005| 0.725| 0.052| 1.074| 0.011|  -3.0| 4.3|  -6.5| 4.3| 87
3205|19 41 15.71|+40 03 00.48|20.192| 0.030|      |      | 1.844| 0.102|      |    |      |    |
3206|19 41 15.73|+40 19 39.98|19.546| 0.018| 0.252| 0.113| 0.709| 0.033|  -0.5| 6.0|  -5.8| 6.0| 89
3207|19 41 15.74|+40 06 06.52|20.128| 0.027|      |      | 0.890| 0.055|      |    |      |    |
3208|19 41 15.74|+40 14 52.55|17.561| 0.004| 0.442| 0.027| 0.855| 0.008|  13.9| 5.7|  28.4| 5.7|  0
3209|19 41 15.76|+40 11 36.13|14.029| 0.002| 1.029| 0.007| 1.170| 0.002|  10.5| 5.2|   0.7| 5.2| 16
3210|19 41 15.77|+40 07 07.00|15.510| 0.004| 0.084| 0.008| 0.583| 0.005|  -3.8| 3.8|  -0.7| 3.8| 90
3211|19 41 15.78|+40 16 19.22|18.184| 0.006| 0.044| 0.030| 0.685| 0.011|   1.1| 4.9| -10.1| 4.9| 51
3212|19 41 15.79|+40 16 06.50|18.634| 0.009| 0.784| 0.093| 1.049| 0.018|  -5.7| 6.2|   6.6| 6.2| 56
3213|19 41 15.79|+40 08 23.01|15.885| 0.005| 0.045| 0.010| 0.667| 0.006|  12.3| 7.6|  -8.4| 7.6| 33
3214|19 41 15.79|+40 08 45.57|17.943| 0.005| 0.423| 0.034| 0.844| 0.010|  21.7| 6.7| 335.7| 6.7|  0
3215|19 41 15.81|+40 12 20.15|19.463| 0.015|      |      | 1.221| 0.037|  -4.8| 7.1| -14.4| 7.1| 58
3216|19 41 15.82|+40 07 55.34|18.031| 0.005| 0.051| 0.025| 0.612| 0.009|  -0.4| 5.0|  -2.6| 5.0| 89
3217|19 41 15.85|+40 13 44.09|18.743| 0.009| 0.699| 0.097| 1.092| 0.020|  -6.9| 5.9| -13.3| 5.9| 50
3218|19 41 15.89|+40 07 22.31|18.913| 0.010| 0.740| 0.098| 0.887| 0.020|  -1.6| 5.3|  -0.1| 5.3| 88
3219|19 41 15.91|+40 12 10.92|18.350| 0.007| 0.623| 0.058| 0.966| 0.014|  -3.8| 4.8|  -5.1| 4.8| 97
3220|19 41 15.92|+40 15 45.84|15.018| 0.003| 0.065| 0.006| 0.604| 0.004|  -2.3| 3.9| -41.4| 3.9|  0
3221|19 41 15.94|+40 06 43.03|19.553| 0.017|      |      | 0.896| 0.034|  -2.7| 8.8|   4.4| 8.8| 84
3222|19 41 15.94|+40 11 11.62|13.014| 0.001|      |      |      |      |   4.5|13.4| -11.1|13.4| 85
3223|19 41 15.94|+40 07 15.09|19.694| 0.019|      |      | 1.513| 0.054|      |    |      |    |
3224|19 41 15.94|+40 07 17.94|19.523| 0.016|      |      | 0.973| 0.034|  -1.6| 5.3|  -0.1| 5.3| 88
3225|19 41 15.94|+40 00 39.59|17.699| 0.005| 0.891| 0.048| 1.029| 0.009|  13.3| 4.2|   5.7| 4.2|  1
3226|19 41 15.95|+40 10 22.61|19.176| 0.013| 0.440| 0.146| 1.016| 0.027|      |    |      |    |
3227|19 41 15.99|+40 17 51.99|20.418| 0.036|      |      | 1.381| 0.097|      |    |      |    |
3228|19 41 16.01|+40 11 00.14|14.637| 0.002| 0.208| 0.005| 0.736| 0.003|      |    |      |    |
3229|19 41 16.02|+40 12 52.18|14.526| 0.002| 0.806| 0.008| 1.130| 0.003|  26.6| 3.9| -44.9| 3.9|  0
3230|19 41 16.03|+40 01 07.98|20.290| 0.033|      |      | 0.975| 0.064|   4.5| 8.8|  -0.9| 8.8| 80
3231|19 41 16.04|+40 03 46.31|17.450| 0.004| 0.152| 0.020| 0.768| 0.007|  -6.3| 4.1|  -5.4| 4.1| 88
3232|19 41 16.06|+40 08 31.76|15.750| 0.004| 0.102| 0.009| 0.627| 0.006|  46.2| 5.2|  -2.8| 5.2|  0
3233|19 41 16.08|+40 14 11.52|20.620| 0.041|      |      | 1.683| 0.139|      |    |      |    |
3234|19 41 16.09|+40 14 27.73|19.615| 0.018|      |      | 1.504| 0.051|      |    |      |    |
3235|19 41 16.11|+40 09 39.36|18.811| 0.009| 0.144| 0.055| 0.817| 0.018|      |    |      |    |
3236|19 41 16.12|+40 14 05.41|18.751| 0.009| 0.817| 0.110| 1.143| 0.021|   0.4| 5.0|  -4.2| 5.0| 84
3237|19 41 16.13|+40 19 08.56|17.623| 0.004| 0.706| 0.037| 0.934| 0.009|  -2.2| 4.4|  -1.7| 4.4| 94
3238|19 41 16.15|+40 10 15.60|15.906| 0.005| 1.010| 0.021| 1.188| 0.007|      |    |      |    |
3239|19 41 16.16|+40 17 58.13|22.084| 0.641|      |      |      |      |      |    |      |    |
3240|19 41 16.16|+40 04 20.31|17.266| 0.004| 0.128| 0.017| 0.706| 0.006|  -3.8| 4.3|  -2.4| 4.3| 99
3241|19 41 16.21|+40 15 00.56|18.397| 0.007| 0.614| 0.063| 0.974| 0.014|  -4.6| 4.7|   2.0| 4.7| 75
3242|19 41 16.23|+40 08 10.19|19.128| 0.012| 0.628| 0.111| 0.933| 0.024|   3.4| 6.0|  -2.8| 6.0| 71
3243|19 41 16.24|+40 10 27.83|14.889| 0.003| 0.099| 0.005| 0.367| 0.003|      |    |      |    |
3244|19 41 16.25|+40 13 03.66|18.451| 0.007| 0.721| 0.071| 1.013| 0.015|  -7.4| 6.7|  -4.5| 6.7| 94
3245|19 41 16.29|+40 15 54.69|14.922| 0.003| 0.163| 0.006| 0.661| 0.004|  -5.7| 5.1|  -7.8| 5.2| 83
3246|19 41 16.30|+40 17 00.90|19.671| 0.019|      |      | 0.908| 0.039|   2.5| 7.3| -15.9| 7.3| 43
3247|19 41 16.30|+40 05 51.18|13.130| 0.001|      |      |      |      |  -4.6| 3.8|  -3.3| 3.8| 99
3248|19 41 16.31|+40 08 46.33|17.336| 0.004| 0.355| 0.020| 0.769| 0.007|  13.6| 4.0|  39.9| 4.0|  0
3249|19 41 16.32|+40 06 17.17|13.830| 0.002|-0.019| 0.003| 0.452| 0.002|  12.8| 3.9|  13.2| 3.9|  0
3250|19 41 16.34|+40 09 24.85|19.886| 0.022|      |      | 1.346| 0.058|      |    |      |    |
3251|19 41 16.34|+40 12 31.74|14.444| 0.002| 0.045| 0.004| 0.549| 0.003| -22.5| 3.9| -10.6| 3.9|  0
3252|19 41 16.35|+40 08 19.81|15.622| 0.004| 0.062| 0.008| 0.593| 0.005|   3.7| 5.2|  -9.2| 5.2| 46
3253|19 41 16.38|+40 19 36.81|17.063| 0.003| 0.402| 0.019| 0.846| 0.006|   2.8| 4.0|  -3.4| 4.0| 52
3254|19 41 16.41|+40 13 19.89|18.243| 0.006| 0.622| 0.054| 0.980| 0.013|  -2.2| 4.8|  -5.1| 4.8| 94
3255|19 41 16.41|+40 03 19.86|16.996| 0.003| 0.723| 0.023| 0.975| 0.006|  -2.0| 3.9|  -2.7| 3.9| 94
3256|19 41 16.43|+40 01 51.68|19.401| 0.016|      |      | 1.546| 0.043|  10.1| 5.2|  18.5| 5.2|  0
3257|19 41 16.44|+40 18 09.36|18.682| 0.009| 0.732| 0.096| 1.061| 0.019|  -8.7| 4.3|  -2.2| 4.3| 76
3258|19 41 16.47|+40 15 20.52|17.756| 0.005| 0.525| 0.033| 0.863| 0.009|  -2.7| 4.3|   1.1| 4.3| 78
3259|19 41 16.47|+40 08 06.41|19.173| 0.012| 0.438| 0.102| 0.955| 0.026|   3.4| 6.0|  -2.8| 6.0| 71
3260|19 41 16.48|+40 11 32.38|19.024| 0.011| 0.245| 0.074| 0.846| 0.022|      |    |      |    |
3261|19 41 16.50|+40 01 31.21|19.178| 0.013|-0.001| 0.067| 0.689| 0.023| -10.0| 7.3|  -7.2| 7.3| 81
3262|19 41 16.52|+40 06 30.85|15.784| 0.005| 0.039| 0.009| 0.578| 0.006|  -1.8| 3.9|   3.0| 3.9| 52
3263|19 41 16.52|+40 11 53.48|15.792| 0.005| 0.072| 0.009| 0.567| 0.006|  -6.4| 3.9|   1.1| 3.9| 69
3264|19 41 16.54|+40 02 10.59|18.902| 0.011| 0.680| 0.091| 0.804| 0.019|  -1.7| 5.1|  -3.3| 5.1| 96
3265|19 41 16.54|+40 09 16.77|19.009| 0.011| 0.150| 0.064| 0.807| 0.021|  -6.3| 5.3|   0.2| 5.3| 87
3266|19 41 16.57|+40 13 44.73|15.929| 0.005| 0.068| 0.010| 0.597| 0.006|  -2.3| 3.9|  -0.6| 3.9| 86
3267|19 41 16.58|+40 18 17.08|20.057| 0.027|      |      | 1.555| 0.080|      |    |      |    |
3268|19 41 16.61|+40 03 07.21|17.218| 0.004| 1.034| 0.036| 1.096| 0.007|  -3.5| 3.9|  -0.8| 3.9| 91
3269|19 41 16.62|+40 17 10.33|16.900| 0.003| 0.321| 0.016| 0.806| 0.005|  -2.2| 4.0|  -1.9| 4.0| 93
3270|19 41 16.64|+40 04 23.16|19.937| 0.024|      |      | 1.138| 0.053|   3.2| 6.4|   1.0| 6.4| 68
3271|19 41 16.69|+40 20 04.73|18.282| 0.007| 0.513| 0.052| 0.867| 0.013|  -4.4| 4.6|  -1.1| 4.6| 95
3272|19 41 16.69|+40 07 40.73|20.215| 0.029|-1.529| 0.135| 1.637| 0.091|      |    |      |    |
3273|19 41 16.71|+40 15 44.06|20.281| 0.030|-1.749| 0.079| 0.920| 0.065|      |    |      |    |
3274|19 41 16.73|+40 05 10.88|17.116| 0.003| 0.089| 0.014| 0.650| 0.005| -16.1| 4.3| -15.1| 4.3|  3
3275|19 41 16.74|+40 14 17.80|17.251| 0.003| 0.050| 0.015| 0.644| 0.006|  -4.3| 4.5|  -1.1| 4.5| 95
3276|19 41 16.75|+40 12 16.35|20.305| 0.030|      |      | 1.112| 0.072|      |    |      |    |
