#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-16T12:04:15 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60c9e6e321a69a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=42	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/150/10&tab:{J/AJ/150/10/table4}&key:source=J/AJ/150/10/table4&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/150/10/table4
#-order=I
#-out=WOCS
#-out=IDG
#-out=P38
#-out=IDM
#-out=IDMc
#-out=IDC
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=B-V
#-out.all=2
#-out=r_B-V
#-out=NW
#-out=VC
#VC=VC
#-out=<RV>
#-out=e_<RV>
#-out=s_<RV>
#-out=vsini
#-out=e_vsini
#-out=PRV
#-out=PPM1
#-out=PPM2
#-out=e/i
#-out=Mm
#-out=O
#-out=SB
#-out=RR
#-out=X
#-out=Simbad
#Simbad=Simbad
#-out.all=2
#

#RESOURCE=yCat_51500010
#Name: J/AJ/150/10
#Title: WOCS. LXVI. Radial velocity survey in M35 (Leiner+, 2015)
#Table	J_AJ_150_10_table4:
#Name: J/AJ/150/10/table4
#Title: Radial-velocity summary table
#Column	WOCS	(I6)	[2004/259044] WIYN Open Cluster Study number (G1)	[ucd=meta.id;meta.main]
#Column	IDG	(I6)	[2004/261044]? Identification number from paper XXXVIII (Geller et al. 2010, cat. J/AJ/139/1383) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	P38	(I3)	Display the data from Paper XXXVIII (Geller et al. 2009, J/AJ/139/1383) [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	IDM	(I3)	[14/439]? Identification number from paper XXXIV (Meibom et al. 2009, cat. J/ApJ/695/679) (1) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	IDMc	(I3)	[4/521]? Identification number from McNamara & Sekiguchi (1986AJ.....91..557M) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	IDC	(I3)	[3/763]? Identification number from Cudworth (1971AJ.....76..475C) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	[11.43/16.5] The V-band apparent magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	[0.2/1.36] The (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	r_B-V	(I2)	[1/2]? Source of the photometry (2) [NULL integer written as an empty string]	[ucd=meta.ref;phot.color;em.opt.B]
#Column	NW	(I2)	[0/53] Number of WIYN 3.5m observations	[ucd=meta.number]
#Column	VC	(A2)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	<RV>	(F7.2)	[-129/301] Mean radial velocity	[ucd=spect.dopplerVeloc;stat.mean]
#Column	e_<RV>	(F6.2)	[0/370]? Standard deviation of RV observation	[ucd=stat.stdev;spect.dopplerVeloc;stat.mean]
#Column	s_<RV>	(F4.1)	[0.5/2.1] Single-measurement precision in RV ({sigma}_i_)	[ucd=meta.code.qual;instr.precision;spect.dopplerVeloc]
#Column	vsini	(F5.1)	[0/144] Mean projected rotational velocity (3)	[ucd=phys.veloc.rotat;stat.mean]
#Column	e_vsini	(F5.1)	[0/124]? Standard error on vsini (3)	[ucd=stat.error;phys.veloc.rotat;stat.mean]
#Column	PRV	(I2)	[0/96]? Radial velocity membership probability (4) [NULL integer written as an empty string]	[ucd=stat.probability;spect.dopplerVeloc]
#Column	PPM1	(I2)	[0/99]? Proper-motion membership probability from McNamara & Sekiguchi (1986AJ.....91..557M) [NULL integer written as an empty string]	[ucd=stat.probability;pos.pm]
#Column	PPM2	(I2)	[0/97]? Proper-motion membership probability from Cudworth (1971AJ.....76..475C) [NULL integer written as an empty string]	[ucd=stat.probability;pos.pm]
#Column	e/i	(F6.2)	[0/740] Ratio of RV standard deviation to single-measurement RV precision	[ucd=instr.precision;arith.ratio;spect.dopplerVeloc]
#Column	Mm	(A3)	Membership class (BLM, BLN, BM, BN, SM, SN, or U) (G2)	[ucd=src]
#Column	O	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	SB	(A3)	Single (SB1) or double-lined (SB2) binary (5)	[ucd=meta.code.multip]
#Column	RR	(A2)	"RR" Indicates a Rapid Rotator	[ucd=meta.code]
#Column	X	(A1)	"X" Indicates an X-ray source	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
WOCS|IDG|P38|IDM|IDMc|IDC|RAJ2000|DEJ2000|Vmag|B-V|r_B-V|NW|VC|<RV>|e_<RV>|s_<RV>|vsini|e_vsini|PRV|PPM1|PPM2|e/i|Mm|O|SB|RR|X|Simbad
 31018| 31018|  1|   | 79|   |06 08 33.28|+24 16 29.3|14.85| 0.97| 2| 3|VC|  13.91|  0.33| 0.5|  0.0|  0.0| 0| 0|  |  0.66|SN | |   |  | |Simbad
 22018| 22018|  1|   |224|   |06 08 59.03|+24 11 50.3|13.94| 0.75| 2| 3|VC|  49.30|  0.34| 0.5|  0.0|  0.0| 0| 0|  |  0.67|SN | |   |  | |Simbad
 21018| 21018|  1|   |370|   |06 09 21.95|+24 28 49.6|13.93| 0.63| 2| 3|VC|  23.18|  0.20| 0.5| 10.2|  0.4| 0| 0|  |  0.40|SN | |   |  | |Simbad
 16019| 16019|  1|   | 80|   |06 08 33.18|+24 24 58.0|14.34| 0.65| 2|12|VC| -10.11|  1.15| 0.5| 10.0|     |73|99|  |  2.29|SM | |   |  | |Simbad
 15019| 15019|  1|   |491|   |06 09 46.63|+24 22 14.3|14.09| 0.63| 2| 3|VC|  -6.33|  0.50| 1.3| 73.5|  0.9|80|98|  |  0.39|SM | |   |RR| |Simbad
 30019| 30019|  1|   |   |   |06 09 44.19|+24 24 34.4|15.60| 1.08| 2| 3|VC| -40.25|  0.43| 0.5| 10.0|     | 0|  |  |  0.86|SN | |   |  | |Simbad
 25019| 25019|  1|   |176|   |06 08 50.19|+24 11 56.8|15.19| 0.90| 2| 3|VC|  50.31|  0.39| 0.5| 10.0|     | 0| 0|  |  0.78|SN | |   |  | |Simbad
 14019| 14019|  1|   |450|   |06 09 36.98|+24 13 54.4|14.06| 0.88| 2| 3|VC|  40.65|  0.52| 0.5| 10.0|     | 0| 0|  |  1.04|SN | |   |  | |Simbad
 19019| 19019|  1|   |487|   |06 09 45.47|+24 24 11.4|14.51| 0.79| 2| 3|VC|  21.65|  0.87| 0.5| 13.2|  3.5| 0| 2|  |  1.62|SN | |   |  | |Simbad
 27020| 27020|  1|   |   |545|06 09 26.23|+24 29 02.3|14.63| 0.74| 2| 3|VC|  26.64|  0.32| 0.5| 10.0|     | 0|  | 0|  0.64|SN | |   |  | |Simbad
 23020| 23020|  1|   |258|   |06 09 05.01|+24 30 03.9|14.27| 0.62| 2| 7|VC|  -6.19|  1.53| 1.1| 56.3|  0.6|75|73|  |  1.45|SM | |   |RR| |Simbad
 45020| 45020|  1|   |   |   |06 09 32.50|+24 28 32.3|15.69| 1.12| 2| 3|VC|  23.75|  0.84| 0.5| 11.0|  0.8| 0|  |  |  1.65|SN | |   |  | |Simbad
 49021| 50021|  1|   |   |   |06 09 48.98|+24 24 00.1|16.06| 1.11| 2| 3|VC|   9.93|  0.66| 0.5| 10.5|  0.5| 0|  |  |  1.30|SN | |   |  | |Simbad
 13021| 13021|  1|   |138|297|06 08 44.39|+24 11 51.3|13.26| 0.63| 2| 3|VC| -29.64|  1.43| 0.5|  0.0|  0.0| 0| 5|95|  2.86|SN | |   |  | |Simbad
 54021| 56021|  1|   |   |   |06 08 59.57|+24 10 24.3|16.31| 1.04| 2| 3|VC|  -9.71|  0.44| 0.5| 11.0|  1.0|86|  |  |  0.86|SM | |   |  | |Simbad
 20021| 20021|  1|439| 96|   |06 08 35.84|+24 27 48.9|14.16| 0.97| 2| 3|VC|  22.52|  1.37| 0.6| 15.4|  0.5| 0| 0|  |  2.42|SN | |   |  | |Simbad
 37021| 37021|  1|   |   |   |06 09 51.90|+24 22 35.0|15.58| 1.05| 2| 4|VC|  -2.13|  0.23| 0.5| 13.4|  1.5| 0|  |  |  0.42|SN | |   |  | |Simbad
 42021| 42021|  1|   |   |   |06 08 32.69|+24 27 18.5|15.75| 0.88| 2| 3|VC|  55.55|  0.18| 0.5| 10.0|     | 0|  |  |  0.35|SN | |   |  | |Simbad
 25022| 25022|  1|   |427|   |06 09 31.83|+24 29 35.7|14.56| 0.82| 2| 3|VC| -22.15|  0.57| 0.7| 28.5|  5.3| 0| 0|  |  0.79|SN | |   |RR| |Simbad
 37022| 37022|  1|   |   |   |06 08 56.74|+24 09 59.8|15.41| 0.85| 2| 4|VC|   8.30|  1.44| 0.5| 10.0|     | 0|  |  |  2.88|SN | |   |  | |Simbad
 60022| 60022|  1|   |   |   |06 09 46.04|+24 26 46.1|16.18| 1.14| 2| 3|VC|  16.22|  0.70| 0.6| 15.4|  2.3| 0|  |  |  1.24|SN | |   |  | |Simbad
 32022| 32022|  1|   |   |   |06 09 27.16|+24 30 24.1|15.18| 0.74| 2| 4|VC|   3.67|  1.18| 0.6| 18.4|  0.6| 0|  |  |  1.96|SN | |   |  | |Simbad
  5022|  5022|  1|   |478|   |06 09 43.54|+24 27 42.7|13.11| 0.65| 2| 3|VC|  24.65|  0.58| 0.5| 10.4|  0.7| 0| 0|  |  1.15|SN | |   |  | |Simbad
  8023|  8023|  1|   |509|   |06 09 54.35|+24 17 42.9|13.15| 0.74| 2| 3|VC|  -3.96|  0.29| 0.5| 10.4|  0.7| 0| 0|  |  0.57|SN | |   |  | |Simbad
 21023| 21023|  1|   |   |   |06 09 37.94|+24 11 46.3|14.94| 0.77| 2| 3|VC|  -3.48|  0.23| 0.5| 10.0|     | 0|  |  |  0.46|SN | |   |  | |Simbad
 41023| 42023|  1|423|   |   |06 08 24.52|+24 15 09.9|16.10| 1.00| 2| 3|VC| -18.43|  0.08| 0.5| 12.9|  1.2| 0|  |  |  0.16|SN | |   |  | |Simbad
 11023| 11023|  1|   |402|   |06 09 26.46|+24 30 45.4|13.93| 0.70| 2|10|VC| -10.02|  1.38| 0.8| 38.4|  1.1|77|96|  |  1.64|SM | |   |RR| |Simbad
 13023| 13023|  0|   | 83|   |06 08 33.29|+24 28 31.8|14.11| 0.77| 2| 3|VC|  -3.70|  0.24| 0.5|  0.0|  0.0| 0| 0|  |  0.48|SN | |   |  | |Simbad
 39023| 40023|  1|   |   |   |06 09 04.15|+24 31 51.1|16.03| 1.00| 2| 3|VC|   8.22|  0.34| 0.5| 10.0|     | 0|  |  |  0.68|SN | |   |  | |Simbad
 46023| 47023|  1|   |   |   |06 09 37.38|+24 29 40.0|16.22| 0.95| 2| 4|VC|  -3.96|  0.34| 0.5| 11.4|  1.4| 0|  |  |  0.65|SN | |   |  | |Simbad
 49024| 49024|  1|   |   |   |06 08 39.26|+24 10 45.0|16.46| 0.97| 2| 3|VC|  13.33|  0.54| 0.5| 11.0|  1.0| 0|  |  |  1.06|SN | |   |  | |Simbad
 22024| 22024|  1|   |   |   |06 08 31.53|+24 12 09.8|15.37| 0.89| 2| 4|VC| -13.60|  0.46| 0.5| 10.0|     | 0|  |  |  0.92|SN | |   |  | |Simbad
 25024| 25024|  1|160|   |   |06 09 33.12|+24 30 41.1|15.60| 0.94| 2| 8|VC|  -9.54|  1.50| 0.7| 25.9|  0.7|89|  |  |  2.18|SM | |   |RR| |Simbad
 39025| 39025|  1|   |   |   |06 09 44.87|+24 12 00.4|15.89| 1.01| 2| 3|VC|  10.83|  1.38| 0.5| 10.0|     | 0|  |  |  2.76|SN | |   |  | |Simbad
 59025| 59025|  1|137|   |   |06 08 27.63|+24 12 37.2|16.34| 1.04| 2| 3|VC|  -6.03|  0.53| 0.7| 27.4|  1.0|67|  |  |  0.75|SM | |   |RR| |Simbad
 40025| 40025|  1|   |   |   |06 08 40.01|+24 30 42.9|15.89| 0.87| 2| 3|VC|  15.58|  0.56| 0.5| 10.0|     | 0|  |  |  1.12|SN | |   |  | |Simbad
 11025| 11025|  0|   | 49|   |06 08 24.36|+24 27 38.4|14.14| 0.82| 2| 3|VC|  59.18|  0.41| 0.5|  0.0|  0.0| 0| 0|  |  0.82|SN | |   |  | |Simbad
 58025| 58025|  1|   |   |   |06 09 45.60|+24 29 09.5|16.33| 1.17| 2| 4|VC| -12.07|  0.27| 0.5| 10.7|  0.4| 0|  |  |  0.52|SN | |   |  | |Simbad
 23025| 23025|  1|   |   |   |06 08 31.81|+24 29 52.4|15.12| 0.88| 2| 3|VC|  -9.57|  0.61| 0.5| 10.0|     |88|  |  |  1.22|SM | |   |  | |Simbad
 63026| 63026|  1|   |   |   |06 09 57.75|+24 15 20.9|16.39| 1.33| 2| 3|VC|  31.73|  0.30| 0.5|  0.0|  0.0| 0|  |  |  0.61|SN | |   |  | |Simbad
 45026| 45026|  1|   |   |   |06 10 03.42|+24 21 16.3|15.50| 0.79| 2| 3|VC| -19.08|  1.04| 0.5|  0.0|  0.0| 0|  |  |  2.08|SN | |   |  | |Simbad
 30026| 30026|  1|   |474|   |06 09 42.16|+24 10 21.1|14.63| 0.65| 2| 3|VC|  20.22|  0.40| 0.5|  0.0|  0.0| 0| 0|  |  0.80|SN | |   |  | |Simbad
 37026| 37026|  0|   | 33|   |06 08 21.00|+24 27 45.8|14.96| 0.71| 2| 3|VC|  30.52|  0.65| 0.5|  0.0|  0.0| 0| 0|  |  1.30|SN | |   |  | |Simbad
 38027| 38027|  1|279|   |   |06 09 58.82|+24 14 43.2|15.48| 0.90| 2| 4|VC|  -9.49|  0.39| 0.6| 14.7|  4.7|89|  |  |  0.70|SM | |   |  | |Simbad
 20027| 20027|  1|144|   |   |06 08 09.98|+24 21 00.6|14.71| 0.98| 2| 3|VC|  47.56|  0.84| 0.8| 31.2| 21.2| 0|  |  |  1.11|SN | |   |RR| |Simbad
 13027| 13027|  1|   |516|   |06 09 57.10|+24 13 47.3|14.27| 0.73| 2| 3|VC|  68.69|  0.33| 0.5|  0.0|  0.0| 0| 0|  |  0.67|SN | |   |  | |Simbad
 40027| 40027|  1|   |   |   |06 08 09.93|+24 21 06.5|15.56| 1.14| 2| 3|VC| -36.13|  0.52| 0.5|  0.0|  0.0| 0|  |  |  1.05|SN | |   |  | |Simbad
 25027| 25027|  1|   |   |   |06 08 09.91|+24 21 36.5|15.04| 0.76| 2| 3|VC|  20.31|  0.26| 0.5| 10.0|     | 0|  |  |  0.52|SN | |   |  | |Simbad
 48027| 48027|  1|   |   |   |06 10 05.37|+24 20 57.2|15.82| 0.95| 2| 3|VC|  35.75|  0.70| 0.5| 10.0|     | 0|  |  |  1.41|SN | |   |  | |Simbad
 16027| 16027|  1|   |366|   |06 09 21.30|+24 33 19.7|14.49| 0.70| 2| 6|VC|  -5.90|  1.15| 0.7| 23.7|  0.4|60|98|  |  1.73|SM | |   |RR| |Simbad
 70027| 70027|  1|   |   |   |06 08 36.24|+24 31 40.6|16.44| 1.16| 2| 4|VC| -11.42|  0.81| 0.5| 13.3|  0.5| 5|  |  |  1.49|SN | |   |  | |Simbad
 60027| 60027|  1|   |   |   |06 09 41.61|+24 09 35.4|16.03| 1.19| 2| 3|VC|   9.65|  0.51| 0.6| 17.9|  7.9| 0|  |  |  0.85|SN | |   |  | |Simbad
 18028| 18028|  1|   |311|   |06 09 12.46|+24 33 58.1|14.38| 0.88| 2| 3|VC| -27.81|  1.13| 0.5|  0.0|  0.0| 0| 0|  |  2.26|SN | |   |  | |Simbad
 22028| 22028|  1|   |   |694|06 10 04.76|+24 24 30.0|14.49| 0.70| 2| 3|VC|  20.97|  0.38| 0.5|  0.0|  0.0| 0|  | 0|  0.76|SN | |   |  | |Simbad
 19028| 19028|  1|   |284|   |06 09 08.77|+24 34 07.8|14.43| 0.80| 2| 3|VC|  25.27|  0.40| 0.5|  0.0|  0.0| 0| 0|  |  0.80|SN | |   |  | |Simbad
 59028| 59028|  1|   |   |   |06 09 44.76|+24 09 41.7|16.01| 0.88| 2| 3|VC|   8.97|  0.32| 0.5|  0.0|  0.0| 0|  |  |  0.64|SN | |   |  | |Simbad
 68028| 68028|  1|   |   |   |06 09 18.98|+24 33 59.3|16.32| 0.95| 2| 3|VC|  27.12|  0.41| 0.5|  0.0|  0.0| 0|  |  |  0.82|SN | |   |  | |Simbad
 63028| 63028|  1|   |   |   |06 08 25.51|+24 30 33.2|16.13| 1.09| 2| 3|VC|  13.03|  0.68| 0.5| 10.0|     | 0|  |  |  1.36|SN | |   |  | |Simbad
 74028| 74028|  1|   |   |   |06 10 08.30|+24 22 30.4|16.45| 1.09| 2| 3|VC| -18.20|  0.57| 0.5| 13.7|  2.4| 0|  |  |  1.05|SN | |   |  | |Simbad
 31029| 31029|  1|   |  7|   |06 08 06.38|+24 23 11.9|14.67| 0.81| 2| 3|VC| 132.02|  0.22| 0.5|  0.0|  0.0| 0| 0|  |  0.45|SN | |   |  | |Simbad
 30029| 30029|  1|   |  4|   |06 08 05.70|+24 22 17.9|14.66| 1.05| 2| 4|VC|  11.94|  1.24| 0.5| 10.0|     | 0|44|  |  2.48|SN | |   |  | |Simbad
 13029| 13029|  0|   |   |631|06 09 44.14|+24 32 03.5|13.51| 0.81| 2| 4|VC|  21.39|  0.16| 0.5| 10.0|     | 0|  | 0|  0.32|SN | |   |  | |Simbad
 20029| 20029|  1|   |   |216|06 08 29.30|+24 08 59.5|14.03| 0.74| 2| 4|VC|  19.59|  0.18| 0.5| 10.0|     | 0|  |63|  0.37|SN | |   |  | |Simbad
 68029| 68029|  1|152|   |   |06 09 09.14|+24 06 02.9|16.22| 1.04| 2| 3|VC| -10.09|  0.47| 0.7| 26.8|  2.7|74|  |  |  0.67|SM | |   |RR| |Simbad
 24029| 24029|  1|   |   |701|06 10 07.40|+24 15 42.7|14.25| 0.75| 2| 3|VC|  15.44|  1.53| 0.6| 16.4|  3.6| 0|  | 0|  2.66|SN | |   |  | |Simbad
 38030| 38030|  1|   |   |   |06 09 05.30|+24 05 52.8|15.63| 1.11| 2| 3|VC| -13.26|  0.38| 0.5| 10.0|     | 0|  |  |  0.76|SN | |   |  | |Simbad
 58030| 58030|  1|   |   |   |06 09 44.58|+24 32 23.6|16.14| 0.96| 2| 3|VC|  -4.56|  1.24| 0.5| 10.0|     | 2|  |  |  2.49|SN | |   |  | |Simbad
 33030| 33030|  1|   |   |   |06 10 11.61|+24 19 18.3|15.36| 0.95| 2| 4|VC| -17.64|  0.61| 0.5| 13.5|  1.9| 0|  |  |  1.13|SN | |   |  | |Simbad
 54030| 54030|  1|   |   |   |06 09 00.85|+24 05 48.7|16.08| 1.06| 2| 4|VC|  -3.50|  1.06| 0.5| 12.6|  0.4| 0|  |  |  1.99|SN | |   |  | |Simbad
  8030|  8030|  1|   |   |471|06 09 14.91|+24 05 49.8|13.31| 0.69| 2| 3|VC|  54.15|  0.43| 0.5| 10.7|  1.2| 0|  | 0|  0.85|SN | |   |  | |Simbad
 27030| 27030|  1|   |   |   |06 09 02.11|+24 05 42.8|15.06| 0.94| 2| 4|VC| -14.17|  0.67| 0.5| 12.1|  1.3| 0|  |  |  1.28|SN | |   |  | |Simbad
 14030| 14030|  1|   |   |590|06 09 34.90|+24 06 59.0|14.01| 0.89| 2| 3|VC|  41.76|  0.74| 0.5| 10.3|  0.6| 0|  | 0|  1.47|SN | |   |  | |Simbad
 12030| 12030|  1|   |   |678|06 10 00.24|+24 11 37.1|13.83| 0.73| 2| 4|VC|   1.12|  0.34| 0.5| 10.0|     | 0|  |95|  0.67|SN | |   |  | |Simbad
 30030| 30030|  1|   |   |   |06 10 04.10|+24 12 54.3|15.27| 0.81| 2| 3|VC|  12.34|  0.14| 0.5| 12.0|  0.6| 0|  |  |  0.28|SN | |   |  | |Simbad
 41030| 41030|  1|   |   |   |06 08 14.26|+24 29 13.5|15.79| 1.25| 2| 3|VC| -20.00|  0.37| 0.5| 10.0|     | 0|  |  |  0.73|SN | |   |  | |Simbad
 57030| 57030|  1|   |   |   |06 09 02.12|+24 35 22.3|16.14| 1.27| 2| 3|VC|   6.33|  0.66| 0.5| 10.0|     | 0|  |  |  1.32|SN | |   |  | |Simbad
 66030| 66030|  1|   |   |   |06 08 03.59|+24 23 56.4|16.38| 1.24| 2| 3|VC|   7.94|  0.05| 0.5| 10.0|     | 0|  |  |  0.09|SN | |   |  | |Simbad
 48030| 48030|  1|   |   |   |06 08 42.83|+24 06 35.3|15.90| 1.18| 2| 3|VC|  38.51|  0.44| 0.5| 10.0|     | 0|  |  |  0.89|SN | |   |  | |Simbad
 36030| 36030|  1|   |   |   |06 09 44.87|+24 32 47.5|15.51| 0.79| 2| 3|VC|  24.20|  0.53| 0.5| 10.0|     | 0|  |  |  1.05|SN | |   |  | |Simbad
 45031| 45031|  1|   |   |   |06 08 19.85|+24 10 06.0|15.96| 1.01| 2| 3|VC|  -0.94|  1.28| 0.5| 12.4|  2.4| 0|  |  |  2.42|SN | |   |  | |Simbad
 34031| 34031|  1|   |   |   |06 08 08.44|+24 27 43.9|15.31| 1.16| 2| 3|VC|  16.10|  0.32| 0.5| 10.0|     | 0|  |  |  0.64|SN | |   |  | |Simbad
 35031| 35031|  1|   |   |442|06 09 10.69|+24 35 47.1|15.40| 0.87| 2| 3|VC|  50.43|  0.29| 0.5| 10.0|     | 0|  |43|  0.58|SN | |   |  | |Simbad
 21032| 21032|  1|   |   |310|06 08 46.41|+24 35 17.4|14.18| 0.62| 2| 9|VC|  -6.49|  0.74| 0.8| 38.5|  0.7|84|  |94|  0.88|SM | |   |RR| |Simbad
 42032| 42032|  1|   |   |   |06 09 05.67|+24 04 45.6|15.37| 0.85| 2| 4|VC|  -0.09|  0.68| 0.5| 11.2|  0.7| 0|  |  |  1.32|SN | |   |  | |Simbad
 88032| 88032|  0|   |   |   |06 09 25.20|+24 35 44.5|16.49| 0.96| 2| 3|VC|  43.81|  1.33| 0.5| 10.0|     | 0|  |  |  2.65|SN | |   |  | |Simbad
 23032| 23032|  1|   |   |729|06 10 15.79|+24 23 19.4|14.40| 0.68| 2| 3|VC| -13.36|  0.35| 0.8| 37.6| 47.8| 0|  | 0|  0.42|SN | |   |RR| |Simbad
 37032| 37032|  1|   |   |   |06 07 57.93|+24 20 17.0|15.20| 0.91| 2| 4|VC|  10.75|  0.67| 0.5| 10.0|     | 0|  |  |  1.35|SN | |   |  | |Simbad
 29032| 29032|  1|   |   |   |06 09 44.35|+24 06 58.7|14.86| 0.93| 2| 4|VC|  -1.86|  0.34| 0.5| 10.0|     | 0|  |  |  0.68|SN | |   |  | |Simbad
 32032| 32032|  1|192|   |   |06 10 14.20|+24 25 23.6|14.98| 0.75| 2|19|VC|  -9.51|  1.32| 0.6| 18.1|  0.5|89|  |  |  2.21|SM | |   |  | |Simbad
 46033| 46033|  1|   |   |   |06 09 46.52|+24 07 02.6|15.73| 0.86| 2| 3|VC|  11.02|  0.38| 0.5| 10.0|     | 0|  |  |  0.75|SN | |   |  | |Simbad
 18033| 18033|  1|   |   |   |06 08 05.93|+24 28 24.4|14.07| 0.91| 2| 3|VC|  18.59|  0.78| 0.5| 10.0|     | 0|  |  |  1.57|SN | |   |  | |Simbad
 11033| 11033|  1|   |   |103|06 08 01.75|+24 26 29.1|13.44| 0.63| 2| 7|VC|  17.82|  0.37| 0.5| 10.0|     | 0|  |66|  0.75|SN | |   |  | |Simbad
 23033| 23033|  1|   |   |   |06 09 21.97|+24 04 38.0|14.76| 0.67| 2| 3|VC|  -9.76|  0.17| 0.5| 10.0|     |85|  |  |  0.35|SM | |   |  | |Simbad
 34033| 34033|  1|   |   |   |06 09 21.08|+24 04 24.6|15.20| 0.73| 2| 3|VC| -29.08|  0.30| 0.5| 10.0|     | 0|  |  |  0.59|SN | |   |  | |Simbad
 65033| 65033|  1|   |   |   |06 10 17.22|+24 16 26.5|16.11| 0.91| 2| 3|VC|  56.12|  0.27| 0.5| 10.0|     | 0|  |  |  0.53|SN | |   |  | |Simbad
 64033| 64033|  1|   |   |   |06 08 46.08|+24 04 48.9|16.09| 1.25| 2| 3|VC|   5.26|  0.79| 0.7| 22.6|  0.9| 0|  |  |  1.22|SN | |   |RR| |Simbad
 12033| 12033|  1|   |   |465|06 09 14.14|+24 04 04.9|13.53| 0.67| 2| 3|VC| -11.64|  0.54| 0.5|  0.0|  0.0| 2|  | 0|  1.08|SN | |   |  | |Simbad
 45033| 45033|  1|   |   |   |06 08 02.04|+24 13 28.7|15.72| 0.84| 2| 3|VC|  45.06|  1.19| 0.5| 10.0|     | 0|  |  |  2.39|SN | |   |  | |Simbad
 17034| 17034|  1|   |   |597|06 09 36.60|+24 35 47.3|14.02| 0.79| 2| 3|VC|  36.29|  0.49| 0.5| 10.0|     | 0|  | 0|  0.99|SN | |   |  | |Simbad
 14034| 14034|  1|   |   |468|06 09 15.26|+24 37 05.1|13.74| 0.72| 2| 4|VC|  36.49|  0.39| 0.5| 11.9|  3.7| 0|  | 0|  0.74|SN | |   |  | |Simbad
 69034| 69034|  1|   |   |735|06 10 17.76|+24 25 21.8|15.85| 0.92| 2| 3|VC|  37.79|  1.09| 0.5| 10.0|     | 0|  | 0|  2.18|SN | |   |  | |Simbad
 46034| 46034|  1|   |   |   |06 10 00.43|+24 08 48.3|15.45| 0.84| 2| 3|VC|   1.75|  1.09| 0.5| 10.0|     | 0|  |  |  2.17|SN | |   |  | |Simbad
 87034| 87034|  1|   |   |   |06 09 57.03|+24 08 03.0|16.21| 0.97| 2| 3|VC|  -9.61|  0.66| 0.5| 11.4|  1.4|88|  |  |  1.27|SM | |   |  | |Simbad
 28034| 28034|  1|   |   |357|06 08 55.84|+24 37 05.4|14.38| 0.65| 2| 3|VC|  -6.11|  0.41| 0.5| 10.0|     |71|  |63|  0.81|SM | |   |  | |Simbad
 33034| 33034|  1|   |   |   |06 08 50.42|+24 36 58.0|14.81| 0.71| 2| 4|VC| -10.17|  0.40| 0.5| 11.4|  0.7|70|  |  |  0.77|SM | |   |  | |Simbad
 51034| 51034|  1|437|   |   |06 08 17.07|+24 32 57.6|15.53| 0.91| 2| 3|VC|  -3.73|  1.03| 0.5| 12.9|  2.9| 0|  |  |  1.92|SN | |   |  | |Simbad
 93034| 93034|  1|   |   |   |06 07 59.94|+24 13 16.1|16.29| 1.11| 2| 4|VC| -12.23|  0.58| 0.5| 12.3|  1.3| 0|  |  |  1.10|SN | |   |  | |Simbad
 47035| 46035|  1|   |   |   |06 10 15.44|+24 13 23.3|15.53| 0.94| 2| 3|VC|  -0.55|  1.03| 0.5| 10.0|     | 0|  |  |  2.05|SN | |   |  | |Simbad
 78035| 78035|  1|   |   |   |06 09 52.72|+24 34 05.1|16.38| 0.95| 2| 3|VC|   8.42|  1.32| 0.5| 10.0|     | 0|  |  |  2.63|SN | |   |  | |Simbad
 61035| 61035|  1|   |   |   |06 09 30.24|+24 03 57.0|15.87| 0.86| 2| 3|VC|  13.53|  0.48| 0.5| 10.0|     | 0|  |  |  0.97|SN | |   |  | |Simbad
 49035| 48035|  1|   |   |   |06 10 22.31|+24 23 48.3|15.57| 1.18| 2| 3|VC| -12.51|  0.20| 0.5| 10.0|     | 0|  |  |  0.40|SN | |   |  | |Simbad
