#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-10T18:31:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5defdd45bd11	
#INFO	-out.max=unlimited	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=J/AJ/148/38/table2
#-nav=cat:J/AJ/148/38&tab:{J/AJ/148/38/table2}&key:source=J/AJ/148/38/table2&HTTPPRM:&&-ref=VIZ5defdd45bd11&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=WOCS&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=V-I&-out=NW&-out=NC&-out=<RV>&-out=e_<RV>&-out=e/i&-out=PRV&-out=PPM&-out=Mm&-out=RV&-out=e_RV&-out=SB&-out=O&-out=XXIV&-out=VC&-ignore=VC=*&VC=VC&-out=Simbad&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/148/38/table2
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/148/38/table2
#-out=WOCS
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=V-I
#-out=NW
#-out=NC
#-out=<RV>
#-out=e_<RV>
#-out=e/i
#-out=PRV
#-out=PPM
#-out=Mm
#-out=RV
#-out=e_RV
#-out=SB
#-out=O
#-out=XXIV
#-out=VC
#-out=Simbad
#

#RESOURCE=yCat_51480038
#Name: J/AJ/148/38
#Title: WIYN open cluster study. LX. RV survey of NGC 6819 (Milliman+, 2014)
#Table	J_AJ_148_38_table2:
#Name: J/AJ/148/38/table2
#Title: Radial velocity summary table
#Column	WOCS	(I6)	[1001/260043] WIYN Open Cluster Study number (G1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	? The V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	V-I	(F5.2)	? The (V-I) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	NW	(I2)	[0/62] Number of WIYN 3.5m observations	[ucd=meta.number;obs]
#Column	NC	(I2)	[0/32] Number of CfA observations	[ucd=meta.number;obs]
#Column	<RV>	(F7.2)	[-241.841/69.628] Mean radial velocity	[ucd=spect.dopplerVeloc;stat.mean]
#Column	e_<RV>	(F5.2)	Standard error in <RV>	[ucd=stat.error;spect.dopplerVeloc;stat.mean]
#Column	e/i	(F6.2)	External error divided by internal error	[ucd=stat.error;spect.dopplerVeloc;stat.mean]
#Column	PRV	(I2)	[0/94]? Radial velocity membership probability [NULL integer written as an empty string]	[ucd=stat.probability;spect.dopplerVeloc]
#Column	PPM	(I2)	[0/99]? Proper-motion membership probability [NULL integer written as an empty string]	[ucd=stat.probability;pos.pm]
#Column	Mm	(A3)	Membership class (1)	[ucd=meta.code.class]
#Column	RV	(F7.2)	? Center-of-mass radial velocity ({gamma}_RV_)	[ucd=phys.veloc]
#Column	e_RV	(F5.2)	? Error in gamma	[ucd=stat.error;phys.veloc]
#Column	SB	(A3)	Single, double- or triple-lined binary (SB1, SB2 or SB3)	[ucd=meta.note]
#Column	O	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	XXIV	(I3)	Display the data from Paper XXIV (Hole et al. 2009, J/AJ/138/159) [NULL integer written as an empty string]	[ucd=meta.number]
#Column	VC	(A2)	Show the radial Velocity Curves	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
WOCS|RAJ2000|DEJ2000|Vmag|V-I|NW|NC|<RV>|e_<RV>|e/i|PRV|PPM|Mm|RV|e_RV|SB|O|XXIV|VC|Simbad
 38032|19 40 41.06|+39 57 54.1|15.09| 1.21| 1| 0|   1.18| 0.40| -1.00|  | 1|   |       |     |   | |  0|VC|Simbad
 38033|19 42 39.76|+40 15 06.0|15.14| 1.86| 4| 0|-149.96| 0.41|  1.79| 0| 1|SN |       |     |   | |  0|VC|Simbad
 38034|19 41 20.56|+39 54 52.0|15.08| 0.73| 3| 0|   1.88| 0.65|  2.29|93|57|SM |       |     |   | |  0|VC|Simbad
 38036|19 40 59.28|+40 29 06.1|14.87| 1.10|19| 0| -14.44| 8.03| 85.15| 0|46|BN | -27.50| 0.22|SB2| |  0|VC|Simbad
 38038|19 42 39.44|+40 01 49.9|15.38| 1.06| 3| 0| -10.53| 0.37|  1.30| 0| 0|SN |       |     |   | |  1|VC|Simbad
 38039|19 39 43.32|+40 19 00.6|14.97| 0.85| 3| 0| -16.63| 0.39|  1.39| 0| 0|SN |       |     |   | |  1|VC|Simbad
 38040|19 39 44.00|+40 03 23.8|15.03| 1.15| 3| 0| -46.41| 0.44|  1.56| 0| 0|SN |       |     |   | |  0|VC|Simbad
 38041|19 40 39.75|+40 30 56.7|14.84| 1.38| 3| 0| -28.69| 0.27|  0.96| 0|15|SN |       |     |   | |  0|VC|Simbad
 38042|19 43 00.91|+40 05 00.1|14.66| 0.83| 1| 0| -81.46| 0.40| -1.00|  | 0|   |       |     |   | |  0|VC|Simbad
 38045|19 42 34.91|+39 55 07.8|14.83| 1.73| 3| 0| -45.74| 0.63|  2.24| 0|59|SN |       |     |   | |  0|VC|Simbad
 38047|19 39 42.41|+40 26 02.2|15.19| 1.02| 5| 0| -36.71|12.36| 61.78| 0|  |BLN|       |     |   | |  0|VC|Simbad
 38048|19 41 50.06|+40 34 28.5|14.98| 0.87| 2| 0|   5.79| 0.78|  1.95|  |  |   |       |     |   | |  0|VC|Simbad
 38049|19 39 40.62|+40 27 09.7|14.54| 0.81| 3| 0| -30.92| 0.29|  1.02| 0|  |SN |       |     |   | |  0|VC|Simbad
 38051|19 43 28.68|+40 15 40.1|14.55| 0.75| 5| 0|  -8.74| 7.00| 34.98| 0|  |BU |       |     |   | |  0|VC|Simbad
 38052|19 39 18.74|+40 23 42.8|14.29| 1.26| 3| 0|  18.82| 0.14|  0.48| 0|14|SN |       |     |   | |  0|VC|Simbad
 38053|19 40 03.23|+39 49 51.1|14.62| 1.36| 7| 0|  -0.42| 5.55| 33.97|22|46|BU |       |     |   | |  0|VC|Simbad
 38055|19 41 25.64|+39 44 37.6|14.62| 1.05| 3| 0| -41.55| 0.16|  0.58| 0|  |SN |       |     |   | |  0|VC|Simbad
 38056|19 43 33.53|+40 21 11.8|14.63| 1.34| 3| 0| -28.00| 0.65|  2.30| 0|  |SN |       |     |   | |  0|VC|Simbad
 38057|19 39 59.52|+40 36 03.9|14.30| 1.14| 2| 0|  -1.05| 0.07|  0.18|  |  |   |       |     |   | |  0|VC|Simbad
 38058|19 40 48.40|+40 40 04.2|14.37| 1.45| 1| 0|  -0.43| 0.40| -1.00|  |  |   |       |     |   | |  0|VC|Simbad
 38059|19 38 59.46|+39 58 43.8|14.46| 0.86| 1| 0| -71.55| 0.40| -1.00|  |  |   |       |     |   | |  0|VC|Simbad
 39002|19 41 14.06|+40 12 17.5|15.52| 0.74| 3| 0|   2.94| 0.34|  1.21|93|87|SM |       |     |   | |  0|VC|Simbad
 39004|19 41 07.56|+40 12 07.8|15.50| 0.71| 5| 0|   2.38| 0.44|  2.19|94|99|SM |       |     |   | |  1|VC|Simbad
 39005|19 41 15.46|+40 09 32.5|15.66| 0.77| 3| 0|   3.48| 0.17|  0.60|91|98|SM |       |     |   | |  1|VC|Simbad
 39006|19 41 30.39|+40 12 15.1|15.51| 0.75| 3| 0|   2.60| 1.05|  3.73|94|99|SM |       |     |   | |  0|VC|Simbad
 39007|19 41 00.18|+40 10 53.9|15.63| 0.73|10| 0|   1.19| 0.95|  7.11|88|99|BLM|       |     |   | |  1|VC|Simbad
 39009|19 41 38.04|+40 10 50.0|15.78| 0.76| 3| 0|   0.68| 0.86|  3.03|77|99|SM |       |     |   | |  1|VC|Simbad
 39010|19 41 05.66|+40 16 01.4|15.84| 0.75| 3| 0|   0.90| 0.46|  1.64|83|99|SM |       |     |   | |  1|VC|Simbad
 39012|19 40 55.67|+40 08 07.9|15.95| 0.76| 4| 0|   2.29| 0.50|  2.18|94|99|SM |       |     |   | |  1|VC|Simbad
 39013|19 41 49.45|+40 11 53.4|15.62| 0.70|21| 0|  -1.75| 2.84| 31.71|94|95|BM |   2.66| 0.57|SB1|O|  1|VC|Simbad
 39014|19 41 18.09|+40 04 56.9|16.10| 0.80| 5| 0|  14.13| 2.21| 11.04| 0|99|BLN|       |     |   | |  0|VC|Simbad
 39015|19 40 40.64|+40 12 45.7|15.73| 0.73|14| 0|   2.07| 0.11|  1.00|94|99|SM |       |     |   | |  1|VC|Simbad
 39016|19 40 36.76|+40 11 41.6|15.72| 0.72|17| 0|   1.14| 0.18|  1.82|87|99|SM |       |     |   | |  1|VC|Simbad
 39017|19 41 14.55|+40 03 23.7|15.60| 0.82| 4| 0|-185.10| 0.40|  1.72| 0| 0|SN |       |     |   | |  1|VC|Simbad
 39018|19 40 32.78|+40 11 09.3|16.00| 0.90| 3| 0| -42.79| 0.56|  1.97| 0| 0|SN |       |     |   | |  1|VC|Simbad
 39019|19 42 02.77|+40 15 05.9|15.75| 0.85| 3| 0|  22.85| 0.21|  0.76| 0| 0|SN |       |     |   | |  1|VC|Simbad
 39022|19 40 37.30|+40 19 19.0|15.64| 0.77| 3| 0|  -4.20| 0.08|  0.27| 0| 0|SN |       |     |   | |  1|VC|Simbad
 39023|19 40 36.86|+40 20 08.4|15.53| 0.89| 3| 0|  -1.25| 0.31|  1.10| 2| 0|SN |       |     |   | |  1|VC|Simbad
 39024|19 41 55.57|+40 21 05.1|15.37| 0.81| 4| 0| -34.40| 0.43|  1.84| 0| 0|SN |       |     |   | |  1|VC|Simbad
 39025|19 40 51.59|+40 22 56.7|15.60| 0.85| 5| 0| -11.56| 0.46|  2.32| 0| 0|SN |       |     |   | |  0|VC|Simbad
 39026|19 42 16.10|+40 18 11.2|15.23| 0.68|14| 0|  20.64| 1.40| 12.58| 0|51|BLN|       |     |   | |  1|VC|Simbad
 39027|19 41 10.33|+39 58 36.1|15.88| 0.86| 3| 0|  30.73| 0.42|  1.50| 0|24|SN |       |     |   | |  0|VC|Simbad
 39028|19 40 21.30|+40 03 14.1|15.68| 0.86| 5| 0| -15.17| 0.12|  0.59| 0| 0|SN |       |     |   | |  1|VC|Simbad
 39029|19 42 31.98|+40 13 06.9|15.27| 0.98| 3| 0| -14.23| 0.36|  1.28| 0| 0|SN |       |     |   | |  1|VC|Simbad
 39030|19 42 24.16|+40 04 40.5|15.84| 0.78| 4| 0|   2.79| 0.08|  0.36|94|12|SM |       |     |   | |  0|VC|Simbad
 39032|19 42 32.70|+40 05 29.7|15.09| 1.38| 3| 0| -21.87| 0.56|  1.97| 0|48|SN |       |     |   | |  0|VC|Simbad
 39034|19 40 00.43|+40 03 33.5|15.14| 1.33| 3| 0| -28.65| 0.32|  1.14| 0| 2|SN |       |     |   | |  0|VC|Simbad
 39037|19 40 43.42|+39 54 39.5|15.39| 0.78| 3| 0|  -9.49| 0.25|  0.87| 0| 5|SN |       |     |   | |  0|VC|Simbad
 39040|19 42 36.73|+39 58 48.5|15.05| 0.86| 3| 0| -16.43| 0.32|  1.14| 0| 0|SN |       |     |   | |  1|VC|Simbad
 39041|19 42 57.87|+40 04 39.4|14.79| 0.93| 1| 0| -17.33| 0.40| -1.00|  | 0|   |       |     |   | |  0|VC|Simbad
 39044|19 39 41.13|+40 23 23.3|14.76| 1.25| 3| 0|  10.86| 1.03|  3.64| 0|14|SN |       |     |   | |  0|VC|Simbad
 39046|19 40 39.57|+39 50 27.3|14.73| 0.82| 3| 0| -52.52| 0.46|  1.62| 0|40|SN |       |     |   | |  0|VC|Simbad
 39048|19 41 20.66|+40 35 36.7|     |     | 3| 0| -58.37| 0.30|  1.08| 0|  |SN |       |     |   | |  0|VC|Simbad
 39052|19 40 54.43|+39 46 21.7|14.32| 1.33| 1| 0| -38.05| 0.40| -1.00|  |  |   |       |     |   | |  0|VC|Simbad
 39054|19 40 32.14|+40 36 50.6|14.96| 1.07| 3| 0|  -5.20| 0.13|  0.45| 0|  |SN |       |     |   | |  0|VC|Simbad
 39057|19 41 00.53|+39 43 50.1|14.27| 0.78| 3| 0| -14.12| 0.26|  0.94| 0|  |SN |       |     |   | |  0|VC|Simbad
 40002|19 41 20.28|+40 11 14.5|15.53| 0.74| 3| 0|   2.36| 0.40|  1.43|94|99|SM |       |     |   | |  0|VC|Simbad
 40003|19 41 21.98|+40 10 57.4|15.84| 0.77| 3| 0|   6.35| 0.29|  1.01| 1|97|SN |       |     |   | |  0|VC|Simbad
 40005|19 41 08.35|+40 10 44.2|15.72| 0.76| 3| 0|   3.00| 0.38|  1.35|93|98|SM |       |     |   | |  0|VC|Simbad
 40006|19 41 12.49|+40 14 24.4|15.51| 0.73|17| 0|   1.27| 0.70|  7.02|94|50|BM |   2.08| 0.22|SB1|O|  1|VC|Simbad
 40007|19 41 33.93|+40 13 00.3|15.65| 0.84|44| 0|   0.59| 8.94|146.48|89|97|BM |   3.69| 0.51|SB2|O|  1|VC|Simbad
 40008|19 41 36.91|+40 12 05.1|15.74| 0.76| 3| 0|   3.33| 0.11|  0.39|92|99|SM |       |     |   | |  0|VC|Simbad
 40009|19 40 57.09|+40 09 35.5|15.77| 0.83| 3| 0| -10.43| 0.68|  2.40| 0| 0|SN |       |     |   | |  1|VC|Simbad
 40010|19 41 38.93|+40 09 16.4|15.91| 0.79| 3| 0|   2.74| 0.33|  1.17|94|99|SM |       |     |   | |  1|VC|Simbad
 40011|19 41 17.78|+40 17 10.3|16.08| 0.79|14| 0|   2.00| 0.19|  1.67|93|99|SM |       |     |   | |  1|VC|Simbad
 40013|19 41 01.49|+40 06 27.1|15.64| 0.83|10| 0| -34.20| 4.82| 36.12| 0| 0|BLN|       |     |   | |  1|VC|Simbad
 40014|19 41 50.24|+40 13 50.1|16.16| 0.80|14| 0|   1.38| 0.18|  1.63|90|93|SM |       |     |   | |  0|VC|Simbad
 40015|19 40 49.35|+40 07 08.4|15.78| 0.87| 1| 0| -29.12| 0.40| -1.00|  |54|   |       |     |   | |  0|VC|Simbad
 40017|19 40 43.46|+40 06 41.0|15.60| 0.74|25| 0|   4.98| 0.74|  9.04|94|99|BM |   2.45| 0.26|SB1|O|  1|VC|Simbad
 40020|19 41 13.00|+40 21 24.8|15.86| 0.88|11| 0| -11.44| 0.08|  0.65| 0| 0|SN |       |     |   | |  1|VC|Simbad
 40021|19 41 48.77|+40 03 32.8|15.65| 0.77| 4| 0|   2.51| 0.70|  3.01|94|11|SM |       |     |   | |  0|VC|Simbad
 40023|19 40 54.91|+40 01 14.1|15.56| 0.79| 4| 0|  -8.01| 0.18|  0.78| 0| 0|SN |       |     |   | |  1|VC|Simbad
 40025|19 42 17.06|+40 06 43.6|15.62| 0.81| 3| 0| -28.80| 0.16|  0.55| 0|35|SN |       |     |   | |  1|VC|Simbad
 40026|19 40 17.34|+40 05 53.3|15.26| 0.81| 3| 0|  28.34| 0.64|  2.25| 0|43|SN |       |     |   | |  1|VC|Simbad
 40027|19 41 38.36|+40 24 28.4|16.05| 0.82| 3| 0| -19.80| 0.73|  2.57| 0|56|SN |       |     |   | |  0|VC|Simbad
 40028|19 40 45.29|+39 59 15.5|15.40| 0.70| 3| 0|   1.79| 0.43|  1.53|93|61|SM |       |     |   | |  0|VC|Simbad
 40029|19 40 58.19|+39 57 49.1|15.36| 0.82| 3| 0|  -5.83| 0.79|  2.78| 0|25|SN |       |     |   | |  0|VC|Simbad
 40030|19 40 48.44|+40 25 25.2|15.03| 1.00|13| 0|  19.26| 7.18| 62.20| 0| 0|BN |  20.00| 0.22|SB2| |  0|VC|Simbad
 40031|19 42 16.84|+40 01 37.8|15.26| 0.90| 5| 0| -42.74| 0.33|  1.65| 0|13|SN |       |     |   | |  1|VC|Simbad
 40032|19 42 40.25|+40 09 33.3|15.31| 0.89| 3| 0|   2.06| 0.65|  2.31|94| 0|SN |       |     |   | |  0|VC|Simbad
 40033|19 41 10.11|+39 55 45.0|15.02| 0.89| 8| 0|  32.92| 3.65| 24.14| 0|  |BLN|       |     |   | |  0|VC|Simbad
 40034|19 40 18.14|+40 24 21.1|15.28| 1.30| 3| 0| -47.92| 0.12|  0.43| 0|  |SN |       |     |   | |  1|VC|Simbad
 40035|19 42 17.99|+40 24 28.3|15.15| 0.81| 6| 0|  11.99| 0.27|  1.52| 0| 0|SN |       |     |   | |  0|VC|Simbad
 40037|19 40 15.46|+39 57 38.4|15.26| 0.89| 6| 0| -28.74| 9.54| 53.30| 0|26|BU |       |     |   | |  0|VC|Simbad
 40040|19 40 16.79|+40 27 51.4|15.33| 0.93| 3| 0|  17.06| 0.19|  0.66| 0| 0|SN |       |     |   | |  0|VC|Simbad
 40041|19 39 30.23|+40 11 31.1|14.97| 1.27| 8| 0| -46.64| 3.78| 25.00| 0|  |BLN|       |     |   | |  0|VC|Simbad
 40044|19 43 07.94|+40 07 17.3|14.83| 0.92| 3| 0|  -7.26| 0.11|  0.39| 0|17|SN |       |     |   | |  0|VC|Simbad
 40046|19 43 11.34|+40 05 16.8|14.88| 1.01| 2| 0| -17.34| 0.07|  0.18|  |  |   |       |     |   | |  0|VC|Simbad
 40048|19 42 27.94|+39 51 57.7|14.98| 0.95| 1| 0|  -7.93| 0.40| -1.00|  | 1|   |       |     |   | |  0|VC|Simbad
 40049|19 41 39.82|+39 47 40.9|14.77| 1.37| 2| 0| -75.86| 0.19|  0.48|  |  |   |       |     |   | |  0|VC|Simbad
 40050|19 42 23.05|+40 33 11.9|14.73| 1.21| 3| 0| -36.00| 0.04|  0.14| 0| 5|SN |       |     |   | |  0|VC|Simbad
 40051|19 41 57.77|+40 35 43.3|14.67| 0.69| 1| 0|  -8.12| 0.40| -1.00|  |  |   |       |     |   | |  0|VC|Simbad
 40053|19 43 17.03|+40 24 24.0|14.72| 0.72| 3| 0| -11.59| 0.09|  0.32| 0|  |SN |       |     |   | |  0|VC|Simbad
 40055|19 38 54.42|+40 13 13.5|14.57| 1.28| 3| 0| -53.22| 0.29|  1.01| 0|  |SN |       |     |   | |  0|VC|Simbad
 40056|19 38 52.61|+40 13 31.2|14.64| 1.30| 3| 0| -56.43| 0.08|  0.27| 0|  |SN |       |     |   | |  0|VC|Simbad
 40057|19 43 13.48|+40 29 36.9|14.64| 2.00| 3| 0| -88.44| 0.26|  0.92| 0|  |SN |       |     |   | |  0|VC|Simbad
 41003|19 41 12.10|+40 11 07.8|15.85| 0.76| 1| 0|   3.79| 0.40| -1.00|  |99|   |       |     |   | |  0|VC|Simbad
 41005|19 41 29.08|+40 12 48.7|15.76| 0.76| 6| 0|   1.24| 0.26|  1.43|88|99|SM |       |     |   | |  1|VC|Simbad
 41006|19 41 13.92|+40 08 56.2|15.56| 0.75| 3| 0|   3.23| 0.31|  1.08|92|99|SM |       |     |   | |  0|VC|Simbad
 41008|19 41 09.19|+40 15 26.1|15.79| 0.77| 5| 0|   3.90| 0.15|  0.75|86|95|SM |       |     |   | |  0|VC|Simbad
 41009|19 40 56.09|+40 12 40.6|15.80| 0.68| 6| 0| -78.17| 2.68| 14.99| 0| 0|BLN|       |     |   | |  1|VC|Simbad
 41010|19 41 29.05|+40 07 35.8|15.98| 0.92|25| 0|   3.02| 6.34| 77.71|14|99|BN |  -0.61| 0.28|SB1| |  1|VC|Simbad
 41011|19 41 36.83|+40 15 48.9|16.14| 0.91| 3| 0| -13.55| 0.81|  2.88| 0| 0|SN |       |     |   | |  1|VC|Simbad
 41012|19 41 45.20|+40 09 13.3|15.99| 0.80| 3| 0|   1.85| 0.34|  1.22|93|96|SM |       |     |   | |  1|VC|Simbad
 41013|19 41 36.99|+40 16 49.4|15.64| 0.76| 3| 0|   3.12| 0.36|  1.26|93|97|SM |       |     |   | |  0|VC|Simbad
 41016|19 40 38.61|+40 13 46.3|15.77| 0.89| 3| 0|  12.21| 0.33|  1.16| 0| 0|SN |       |     |   | |  1|VC|Simbad
 41017|19 41 20.32|+40 19 49.7|15.61| 0.90| 4| 0|  -4.99| 0.16|  0.70| 0| 0|SN |       |     |   | |  1|VC|Simbad
 41019|19 40 49.88|+40 04 12.3|15.76| 0.72| 5| 0|   4.64| 0.14|  0.68|62|98|SM |       |     |   | |  1|VC|Simbad
 41020|19 41 24.00|+40 01 52.2|15.92| 0.82|15| 0|  -1.31| 9.08| 84.94|17| 0|BN |   5.47| 0.37|SB1| |  1|VC|Simbad
 41021|19 41 41.97|+40 21 10.4|15.70| 0.84| 3| 0| -23.82| 0.27|  0.96| 0| 9|SN |       |     |   | |  1|VC|Simbad
 41022|19 42 07.06|+40 16 29.4|15.73| 0.90| 3| 0|  -5.59| 0.32|  1.13| 0| 0|SN |       |     |   | |  1|VC|Simbad
 41023|19 41 45.89|+40 21 31.3|15.53| 0.77| 8| 0|  -5.08| 0.52|  3.46| 0| 0|SN |       |     |   | |  1|VC|Simbad
 41024|19 40 51.91|+40 22 32.6|15.38| 0.91| 3| 0|  -7.46| 0.24|  0.85| 0| 0|SN |       |     |   | |  0|VC|Simbad
 41025|19 40 26.78|+40 19 13.9|15.61| 0.76| 2| 0| -26.63| 0.28|  0.70|  | 0|   |       |     |   | |  0|VC|Simbad
 41026|19 41 58.14|+40 01 38.6|15.24| 0.82| 3| 0| -19.58| 0.24|  0.85| 0|36|SN |       |     |   | |  0|VC|Simbad
 41027|19 40 09.87|+40 09 09.5|15.60| 0.88| 5| 0|   7.90| 4.13| 20.64| 0| 0|BLN|       |     |   | |  0|VC|Simbad
 41028|19 41 57.69|+40 00 08.8|15.52| 0.75| 8| 0|   2.58| 0.35|  2.33|94|58|SM |       |     |   | |  1|VC|Simbad
 41029|19 42 32.01|+40 12 34.5|15.37| 0.75| 3| 0|   2.82| 0.26|  0.92|94|53|SM |       |     |   | |  0|VC|Simbad
 41030|19 42 33.27|+40 08 39.5|15.12| 0.75| 3| 0| -11.80| 0.15|  0.54| 0|56|SN |       |     |   | |  0|VC|Simbad
 41031|19 42 36.92|+40 11 01.6|15.54| 1.32| 4| 0| -40.58| 0.37|  1.61| 0|16|SN |       |     |   | |  0|VC|Simbad
 41032|19 39 55.21|+40 09 11.7|15.23| 0.72| 4| 0|  12.09| 0.07|  0.32| 0| 5|SN |       |     |   | |  0|VC|Simbad
 41034|19 41 56.22|+39 56 48.5|15.25| 0.79| 4| 0|  -7.61| 0.39|  1.70| 0|58|SN |       |     |   | |  0|VC|Simbad
 41035|19 41 10.57|+40 28 46.6|15.35| 0.87| 3| 0| -15.27| 0.12|  0.42| 0| 4|SN |       |     |   | |  0|VC|Simbad
 41036|19 40 57.72|+40 28 55.3|15.11| 0.79| 4| 0|  12.44| 0.42|  1.80| 0|56|SN |       |     |   | |  0|VC|Simbad
 41037|19 40 29.58|+40 27 32.1|15.26| 0.97| 3| 0| -22.59| 0.13|  0.48| 0|28|SN |       |     |   | |  0|VC|Simbad
 41039|19 41 57.70|+40 29 10.7|15.11| 0.77| 3| 0|   2.16| 0.10|  0.37|94|58|SM |       |     |   | |  0|VC|Simbad
 41040|19 42 58.80|+40 16 52.9|15.08| 1.40| 3| 0| -42.04| 0.76|  2.67| 0|30|SN |       |     |   | |  0|VC|Simbad
 41041|19 41 11.85|+39 51 45.8|15.12| 1.55| 3| 0|  -9.13| 0.50|  1.75| 0|  |SN |       |     |   | |  0|VC|Simbad
 41042|19 42 52.94|+40 22 02.5|14.75| 0.84| 1| 0|   7.71| 0.40| -1.00|  | 0|   |       |     |   | |  0|VC|Simbad
 41044|19 41 54.03|+40 32 37.2|14.86| 0.71| 3| 0| -10.47| 0.15|  0.53| 0|41|SN |       |     |   | |  0|VC|Simbad
 41045|19 41 15.61|+40 33 47.1|14.86| 0.87| 3| 0| -20.47| 0.53|  1.88| 0|  |SN |       |     |   | |  0|VC|Simbad
 41046|19 42 39.37|+40 28 09.3|14.95| 0.88| 3| 0|  -5.58| 0.33|  1.15| 0|17|SN |       |     |   | |  0|VC|Simbad
 41047|19 42 52.80|+39 57 41.1|14.95| 0.90| 3| 0| -69.98| 0.34|  1.19| 0| 0|SN |       |     |   | |  1|VC|Simbad
 41051|19 41 51.54|+40 36 17.1|14.66| 0.88| 3| 0|  -7.22| 0.21|  0.73| 0|  |SN |       |     |   | |  0|VC|Simbad
 41052|19 43 18.59|+40 23 24.3|14.53| 1.17| 3| 0| -58.71| 0.39|  1.39| 0|  |SN |       |     |   | |  0|VC|Simbad
 41053|19 41 54.71|+40 37 01.1|14.75| 0.78| 2| 0|  15.79| 0.13|  0.34|  |  |   |       |     |   | |  0|VC|Simbad
 41056|19 42 31.90|+40 35 32.6|14.51| 0.79| 3| 0|   9.34| 0.25|  0.87| 0|  |SN |       |     |   | |  0|VC|Simbad
 41057|19 43 31.67|+40 24 07.1|14.53| 0.89| 2| 0| -14.52| 0.11|  0.28|  |  |   |       |     |   | |  0|VC|Simbad
 41058|19 42 44.54|+39 48 39.1|14.37| 1.59| 2| 0| -48.01| 0.53|  1.32|  |  |   |       |     |   | |  0|VC|Simbad
 42002|19 41 18.65|+40 12 18.6|15.84| 0.80|14| 0|   4.07| 2.54| 22.94|93|99|BM |   3.07| 0.29|SB2|O|  1|VC|Simbad
 42003|19 41 12.01|+40 12 15.0|15.96| 0.77| 1| 0|   0.96| 0.40| -1.00|  |93|   |       |     |   | |  0|VC|Simbad
 42004|19 41 17.01|+40 10 12.1|15.51| 0.75| 3| 0|   2.88| 0.04|  0.13|94|99|SM |       |     |   | |  0|VC|Simbad
 42006|19 41 05.70|+40 13 17.5|15.59| 0.78| 3| 0|   0.96| 0.21|  0.76|84|99|SM |       |     |   | |  1|VC|Simbad
 42007|19 41 16.07|+40 08 31.6|15.69| 0.81|36| 0|  -3.90| 2.28| 33.78|94|99|BM |   2.04| 0.24|SB2|O|  1|VC|Simbad
 42009|19 40 57.03|+40 10 33.2|15.85| 0.81| 3| 0|   3.48| 0.69|  2.44|91|99|SM |       |     |   | |  0|VC|Simbad
 42010|19 40 54.15|+40 12 32.1|15.93| 0.78| 3| 0|   1.53| 0.07|  0.25|91|99|SM |       |     |   | |  0|VC|Simbad
 42013|19 41 01.14|+40 17 19.7|15.84| 0.72| 3| 0|   2.28| 0.51|  1.80|94|99|SM |       |     |   | |  1|VC|Simbad
 42015|19 41 18.72|+40 04 42.1|15.83| 0.75| 3| 0|   2.01| 0.25|  0.89|94|99|SM |       |     |   | |  1|VC|Simbad
 42016|19 40 45.53|+40 06 43.9|15.79| 0.74| 3| 0|   3.33| 0.59|  2.08|92|74|SM |       |     |   | |  0|VC|Simbad
 42017|19 40 37.79|+40 08 00.1|15.63| 0.72| 6| 0|  -1.30| 0.65|  3.64| 2|99|SN |       |     |   | |  0|VC|Simbad
 42018|19 41 46.09|+40 04 42.8|16.06| 0.86| 2| 0| -33.09| 0.18|  0.45|  | 0|   |       |     |   | |  1|VC|Simbad
 42019|19 41 25.57|+40 20 58.7|15.75| 0.77| 5| 0|   6.18| 0.27|  1.36| 2| 0|SN |       |     |   | |  1|VC|Simbad
 42020|19 41 42.16|+40 20 28.1|15.97| 0.89| 3| 0|  21.11| 0.46|  1.63| 0| 0|SN |       |     |   | |  1|VC|Simbad
 42023|19 40 28.52|+40 05 13.4|15.66| 0.69| 8| 0| -37.08| 2.41| 15.97| 0| 0|BLN|       |     |   | |  1|VC|Simbad
