#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-21T18:41:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5dadfbb914a6	
#INFO	-out.max=unlimited	
#INFO	queryParameters=35	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/133/1409&tab:{J/AJ/133/1409/table4}&key:source=J/AJ/133/1409&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/133/1409/table4
#-order=I
#-out=FTS
#-out=WEBDA
#-out=RAJ2000
#-out=DEJ2000
#-out=f_u'mag
#-out=u'mag
#-out=e_u'mag
#-out=f_g'mag
#-out=g'mag
#-out=e_g'mag
#-out.all=2
#-out=f_r'mag
#-out=r'mag
#-out=e_r'mag
#-out=f_i'mag
#-out=i'mag
#-out=e_i'mag
#-out=f_z'mag
#-out=z'mag
#-out=e_z'mag
#-out=Mm
#-out=Comm
#-out=PKM
#PKM=PKM
#-out.all=2
#

#RESOURCE=yCat_51331409
#Name: J/AJ/133/1409
#Title: u'g'r'i'z' photometry in NGC 188 (Fornal+, 2007)
#Table	J_AJ_133_1409_table4:
#Name: J/AJ/133/1409/table4
#Title: Available Data from the USNO 1.0m Telescope for NGC 188
#Column	FTS	(I3)	Star identification number, Cl* NGC 188 FTS NNN in Simbad (1)	[ucd=meta.id;meta.main]
#Column	WEBDA	(I4)	? The webda identification number (2) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	f_u'mag	(I1)	[0,1] Flag on u'mag (4)	[ucd=meta.code]
#Column	u'mag	(F6.3)	? The u' band magnitude (3)	[ucd=phot.mag;em.opt.U]
#Column	e_u'mag	(F6.3)	? Error (photon noise) in u'mag	[ucd=stat.error;phot.mag]
#Column	f_g'mag	(I1)	[0,1] Flag on g'mag (4)	[ucd=meta.code]
#Column	g'mag	(F6.3)	? The g' band magnitude (3)	[ucd=phot.mag;em.opt.B]
#Column	e_g'mag	(F6.3)	? Error (photon noise) in g'mag	[ucd=stat.error;phot.mag;em.opt.B]
#Column	f_r'mag	(I1)	[0,1] Flag on r'mag (4)	[ucd=meta.code]
#Column	r'mag	(F6.3)	? The r' band magnitude (3)	[ucd=phot.mag;em.opt.R]
#Column	e_r'mag	(F6.3)	? Error (photon noise) in r'mag	[ucd=stat.error;phot.mag;em.opt.R]
#Column	f_i'mag	(I1)	[0,1] Flag on i'mag (4)	[ucd=meta.code]
#Column	i'mag	(F6.3)	? The i' band magnitude (3)	[ucd=phot.mag;em.opt.I]
#Column	e_i'mag	(F6.3)	? Error (photon noise) in i'mag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	f_z'mag	(I1)	[0,1] Flag on z'mag (4)	[ucd=meta.code]
#Column	z'mag	(F6.3)	? The z' band magnitude (3)	[ucd=phot.mag;em.opt.I]
#Column	e_z'mag	(F6.3)	? Error (photon noise) in z'mag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	Mm	(I2)	Membership probability from Platais et al. (2003, Cat. J/AJ/126/2922)	[ucd=stat]
#Column	Comm	(A3)	Comments (5)	[ucd=meta.note]
#Column	PKM	(A3)	Data from Platais et al. 2003, Cat. J/AJ/126/2922	[ucd=meta.ref.url]
FTS|WEBDA|RAJ2000|DEJ2000|f_u'mag|u'mag|e_u'mag|f_g'mag|g'mag|e_g'mag|f_r'mag|r'mag|e_r'mag|f_i'mag|i'mag|e_i'mag|f_z'mag|z'mag|e_z'mag|Mm|Comm|PKM
266|2154|00 49 06.19|+85 12 05|0|17.823| 0.011|0|16.394| 0.005|0|15.907| 0.005|0|15.716| 0.007|0|15.829| 0.019|96|   |PKM
267|    |00 45 11.58|+85 16 56|0|17.962| 0.013|0|16.427| 0.005|0|15.911| 0.005|0|15.722| 0.007|0|15.589| 0.018|98|   |PKM
268|2085|00 47 24.58|+85 17 45|0|18.057| 0.014|0|16.484| 0.005|0|15.920| 0.005|0|15.706| 0.007|0|15.695| 0.018| 0|   |PKM
269|1039|00 46 28.43|+85 15 58|0|17.888| 0.012|0|16.426| 0.005|0|15.922| 0.005|0|15.756| 0.007|0|15.881| 0.020|97|   |PKM
270|1095|00 48 22.52|+85 13 02|0|17.925| 0.012|0|16.438| 0.005|0|15.930| 0.005|0|15.786| 0.007|0|15.727| 0.019|96|   |PKM
271|2140|00 50 56.31|+85 12 58|0|17.861| 0.012|0|16.446| 0.005|0|15.931| 0.005|0|15.777| 0.007|0|15.749| 0.019|98|   |PKM
272|2110|00 48 45.53|+85 16 11|0|17.915| 0.012|0|16.426| 0.005|0|15.932| 0.005|0|15.764| 0.007|0|15.824| 0.019|98|   |PKM
273|2180|00 46 57.07|+85 11 49|0|17.907| 0.012|0|16.444| 0.005|0|15.934| 0.005|0|15.767| 0.007|0|15.713| 0.019|98|   |PKM
274|1035|00 46 46.17|+85 16 37|0|18.416| 0.019|0|16.635| 0.006|0|15.957| 0.005|0|15.693| 0.007|0|15.538| 0.017| 0|   |PKM
275|2112|00 50 18.36|+85 16 08|0|17.966| 0.013|0|16.476| 0.005|0|15.958| 0.005|0|15.817| 0.007|0|15.654| 0.018|98|   |PKM
276|2149|00 49 24.35|+85 12 52|0|18.108| 0.014|0|16.544| 0.005|0|15.964| 0.005|0|15.673| 0.007|0|15.412| 0.017|96|   |PKM
277|    |00 43 58.22|+85 13 50|0|17.997| 0.013|0|16.479| 0.005|0|15.971| 0.005|0|15.833| 0.007|0|15.744| 0.019|95|   |PKM
278|    |00 44 30.85|+85 12 44|0|17.983| 0.013|0|16.528| 0.005|0|15.976| 0.005|0|15.768| 0.007|0|15.709| 0.019|98|   |PKM
279|    |00 48 33.56|+85 10 18|0|17.931| 0.012|0|16.499| 0.005|0|15.981| 0.005|0|15.792| 0.007|0|15.742| 0.019|98|   |PKM
280|    |00 48 06.98|+85 14 49|0|18.068| 0.014|0|16.545| 0.005|0|15.991| 0.005|0|15.679| 0.007|0|15.266| 0.016|95|   |PKM
281|2007|00 45 53.84|+85 12 05|0|18.036| 0.014|0|16.529| 0.005|0|15.998| 0.005|0|15.809| 0.007|0|15.780| 0.019|98|   |PKM
282|    |00 51 38.38|+85 15 55|0|17.971| 0.013|0|16.511| 0.005|0|15.999| 0.005|0|15.860| 0.007|0|15.836| 0.020|98|   |PKM
283|    |00 47 46.36|+85 14 38|0|18.199| 0.016|0|16.573| 0.006|0|15.999| 0.005|0|15.794| 0.007|0|15.640| 0.018| 0|   |PKM
284|2121|00 49 25.34|+85 14 53|0|18.174| 0.015|0|16.579| 0.006|0|16.012| 0.005|0|15.858| 0.007|0|15.809| 0.019|96|   |PKM
285|    |00 52 39.71|+85 14 21|0|17.954| 0.013|0|16.536| 0.005|0|16.012| 0.005|0|15.842| 0.007|0|15.732| 0.019|97|   |PKM
286|    |00 45 16.40|+85 17 00|0|18.300| 0.017|0|16.619| 0.006|0|16.033| 0.005|0|15.772| 0.007|0|15.772| 0.019|97|   |PKM
287|    |00 51 06.03|+85 17 19|1|      |      |0|17.357| 0.009|0|16.035| 0.005|0|15.068| 0.005|0|14.637| 0.015| 0|a  |PKM
288|    |00 51 00.22|+85 19 35|0|18.019| 0.013|0|16.545| 0.005|0|16.043| 0.005|0|15.878| 0.007|0|15.953| 0.021|87|   |PKM
289|1109|00 46 27.10|+85 12 53|0|18.177| 0.015|0|16.636| 0.006|0|16.075| 0.005|0|15.859| 0.007|0|15.743| 0.019|98|   |PKM
290|2148|00 50 14.80|+85 12 08|0|18.429| 0.019|0|16.727| 0.006|0|16.082| 0.005|0|15.860| 0.007|0|15.794| 0.019|98|   |PKM
291|2183|00 47 45.62|+85 12 15|0|18.098| 0.014|0|16.609| 0.006|0|16.083| 0.005|0|15.912| 0.007|0|15.768| 0.019|98|   |PKM
292|    |00 44 32.24|+85 13 20|0|18.011| 0.013|0|16.644| 0.006|0|16.097| 0.005|0|15.873| 0.007|0|15.863| 0.020| 0|   |PKM
293|2131|00 50 25.29|+85 14 05|0|18.260| 0.016|0|16.678| 0.006|0|16.101| 0.005|0|15.853| 0.007|0|15.949| 0.021|95|   |PKM
294|    |00 48 26.48|+85 10 35|0|18.153| 0.015|0|16.652| 0.006|0|16.114| 0.005|0|15.951| 0.008|0|15.782| 0.019|98|   |PKM
295|1031|00 47 26.18|+85 16 55|0|18.165| 0.015|0|16.646| 0.006|0|16.119| 0.005|0|15.956| 0.008|0|15.878| 0.020|98|   |PKM
296|4279|00 49 14.53|+85 15 14|1|      |      |0|16.865| 0.006|0|16.134| 0.005|0|15.858| 0.007|0|15.906| 0.020|96|   |PKM
297|1087|00 48 43.57|+85 13 36|0|18.434| 0.019|0|16.758| 0.006|0|16.138| 0.005|0|15.932| 0.007|0|15.788| 0.019|95|   |PKM
298|4498|00 49 37.19|+85 15 23|0|18.551| 0.021|0|16.874| 0.006|0|16.154| 0.006|0|15.785| 0.007|0|15.485| 0.017|94|   |PKM
299|2144|00 49 08.77|+85 13 26|0|18.232| 0.016|0|16.702| 0.006|0|16.157| 0.006|0|15.991| 0.008|0|15.953| 0.021|96|   |PKM
300|    |00 47 12.22|+85 10 39|0|18.209| 0.016|0|16.703| 0.006|0|16.164| 0.006|0|15.972| 0.008|0|15.882| 0.020|98|   |PKM
301|4637|00 47 54.84|+85 12 24|0|18.232| 0.016|0|16.718| 0.006|0|16.167| 0.006|0|15.922| 0.007|0|15.911| 0.020|97|   |PKM
302|2109|00 48 58.55|+85 15 59|0|18.299| 0.017|0|16.713| 0.006|0|16.173| 0.006|0|16.045| 0.008|0|15.930| 0.020|97|   |PKM
303|    |00 44 13.99|+85 16 33|1|      |      |0|16.919| 0.007|0|16.176| 0.006|0|15.875| 0.007|0|15.789| 0.019|91|   |PKM
304|4219|00 49 18.49|+85 16 52|0|17.900| 0.012|0|16.681| 0.006|0|16.201| 0.006|0|16.006| 0.008|0|15.910| 0.020| 0|   |PKM
305|1044|00 46 08.61|+85 17 16|0|18.305| 0.017|0|16.751| 0.006|0|16.213| 0.006|0|16.072| 0.008|0|16.059| 0.022|98|   |PKM
306|4703|00 49 39.02|+85 15 06|0|18.718| 0.024|0|16.878| 0.007|0|16.214| 0.006|0|15.906| 0.007|0|15.945| 0.021| 0|   |PKM
307|    |00 45 02.87|+85 09 46|0|18.291| 0.017|0|16.781| 0.006|0|16.215| 0.006|0|16.021| 0.008|0|16.148| 0.023|96|   |PKM
308|1044|00 46 08.75|+85 17 16|0|18.230| 0.031|0|16.786| 0.011|0|16.217| 0.010|0|16.069| 0.014|0|16.054| 0.037|98|   |PKM
309|    |00 45 35.59|+85 17 22|0|17.840| 0.012|0|16.688| 0.006|0|16.222| 0.006|0|16.019| 0.008|0|16.003| 0.021| 0|   |PKM
310|    |00 47 58.57|+85 09 27|0|18.344| 0.018|0|16.782| 0.006|0|16.231| 0.006|0|16.025| 0.008|0|15.853| 0.020|96|   |PKM
311|2113|00 50 33.99|+85 16 10|0|18.540| 0.021|0|16.865| 0.006|0|16.241| 0.006|0|15.985| 0.008|0|16.045| 0.022|96|   |PKM
312|4454|00 46 40.13|+85 16 34|0|17.973| 0.013|0|16.702| 0.006|0|16.243| 0.006|0|16.011| 0.008|0|15.916| 0.020| 0|   |PKM
313|1094|00 48 02.78|+85 13 14|0|18.470| 0.020|0|16.808| 0.006|0|16.259| 0.006|0|16.067| 0.008|0|16.282| 0.025|98|   |PKM
314|    |00 45 18.16|+85 15 13|0|18.454| 0.019|0|16.826| 0.006|0|16.261| 0.006|0|16.083| 0.008|0|16.181| 0.023|98|   |PKM
315|1305|00 47 33.32|+85 16 24|0|18.887| 0.028|0|16.963| 0.007|0|16.261| 0.006|0|16.054| 0.008|0|16.011| 0.021|82|   |PKM
316|4352|00 50 16.77|+85 15 35|1|      |      |1|      |      |0|16.264| 0.006|0|16.148| 0.008|1|      |      |86|b  |PKM
317|    |00 44 01.89|+85 13 03|0|17.997| 0.013|0|16.721| 0.006|0|16.273| 0.006|0|16.087| 0.008|0|16.157| 0.023| 0|   |PKM
318|    |00 48 02.02|+85 19 24|0|18.473| 0.020|0|16.844| 0.006|0|16.278| 0.006|0|16.034| 0.008|0|16.139| 0.023|98|   |PKM
319|2128|00 49 42.69|+85 14 36|0|18.145| 0.015|0|16.768| 0.006|0|16.283| 0.006|0|16.120| 0.008|0|16.008| 0.021| 0|   |PKM
320|    |00 51 08.62|+85 16 41|0|18.739| 0.025|0|16.996| 0.007|0|16.288| 0.006|0|16.026| 0.008|0|15.989| 0.021|99|   |PKM
321|2365|00 49 27.79|+85 12 06|1|      |      |0|16.840| 0.006|0|16.302| 0.006|0|16.140| 0.008|0|15.930| 0.020| 0|   |PKM
322|4538|00 47 41.49|+85 17 41|0|18.847| 0.027|0|16.980| 0.007|0|16.308| 0.006|0|16.036| 0.008|0|16.044| 0.022| 0|   |PKM
323|    |00 48 55.11|+85 10 15|0|18.499| 0.020|0|16.871| 0.006|0|16.315| 0.006|0|16.127| 0.008|0|16.222| 0.024|96|   |PKM
324|1008|00 48 35.30|+85 15 17|0|18.469| 0.020|0|16.864| 0.006|0|16.319| 0.006|0|16.148| 0.009|0|16.267| 0.025|97|   |PKM
325|    |00 52 30.26|+85 13 38|0|18.665| 0.023|0|17.023| 0.007|0|16.320| 0.006|0|16.016| 0.008|0|15.794| 0.019| 0|   |PKM
326|2099|00 48 18.55|+85 17 33|0|18.333| 0.017|0|16.821| 0.006|0|16.320| 0.006|0|16.152| 0.008|0|16.066| 0.022|93|   |PKM
327|    |00 44 47.01|+85 12 35|0|18.657| 0.023|0|16.923| 0.007|0|16.331| 0.006|0|16.118| 0.008|0|16.017| 0.021|97|   |PKM
328|4502|00 45 56.86|+85 12 15|1|      |      |0|16.899| 0.007|0|16.368| 0.006|0|16.048| 0.008|0|16.086| 0.038|98|   |PKM
329|    |00 44 33.12|+85 18 02|0|18.520| 0.020|0|16.940| 0.007|0|16.370| 0.006|0|16.193| 0.009|0|15.925| 0.020|91|   |PKM
330|1046|00 46 06.47|+85 16 32|0|18.731| 0.024|0|17.053| 0.007|0|16.387| 0.006|0|16.097| 0.008|0|15.982| 0.021| 0|   |PKM
331|    |00 51 03.73|+85 13 39|0|18.644| 0.023|0|16.996| 0.007|0|16.389| 0.006|0|16.206| 0.009|0|16.116| 0.022|98|   |PKM
332|2147|00 50 21.82|+85 12 32|0|18.297| 0.017|0|16.908| 0.007|0|16.396| 0.006|0|16.242| 0.009|0|16.261| 0.024| 0|   |PKM
333|1096|00 48 06.62|+85 12 56|0|18.767| 0.025|0|17.042| 0.007|0|16.420| 0.007|0|16.192| 0.009|0|16.148| 0.023|98|   |PKM
334|    |00 48 11.11|+85 10 12|0|18.592| 0.022|0|16.992| 0.007|0|16.420| 0.007|0|16.208| 0.009|0|16.328| 0.025|98|   |PKM
335|4532|00 46 13.64|+85 18 10|1|      |      |0|17.271| 0.008|0|16.427| 0.007|0|16.135| 0.008|0|15.748| 0.019| 0|   |PKM
336|    |00 45 18.50|+85 18 36|0|18.747| 0.025|0|17.111| 0.008|0|16.439| 0.007|0|16.183| 0.009|0|16.309| 0.025|97|   |PKM
337|    |00 51 04.79|+85 16 27|1|      |      |0|17.044| 0.007|0|16.439| 0.007|0|16.166| 0.009|1|      |      | 0|b  |PKM
338|    |00 51 51.22|+85 11 11|1|      |      |0|17.157| 0.008|0|16.439| 0.007|0|15.950| 0.008|1|      |      | 0|a,b|PKM
339|4639|00 48 25.91|+85 12 23|1|      |      |0|17.677| 0.011|0|16.466| 0.007|0|15.966| 0.008|0|15.830| 0.019| 0|   |PKM
340|2087|00 46 53.91|+85 18 17|0|19.303| 0.041|0|17.231| 0.008|0|16.467| 0.007|0|16.256| 0.009|0|16.024| 0.021|93|   |PKM
341|    |00 51 34.59|+85 12 44|0|18.967| 0.030|0|17.188| 0.008|0|16.472| 0.007|0|16.187| 0.009|0|16.107| 0.022|98|   |PKM
342|    |00 47 03.72|+85 10 49|0|18.684| 0.024|0|17.053| 0.007|0|16.472| 0.007|0|16.283| 0.009|0|16.421| 0.027|97|   |PKM
343|2101|00 48 54.90|+85 17 12|0|18.770| 0.025|0|17.104| 0.008|0|16.486| 0.007|0|16.333| 0.010|0|16.153| 0.023|91|   |PKM
344|    |00 47 52.06|+85 19 08|0|15.962| 0.003|0|16.122| 0.005|0|16.491| 0.007|0|16.830| 0.014|1|      |      |90|b  |PKM
345|2130|00 49 44.87|+85 13 58|0|18.712| 0.024|0|17.071| 0.007|0|16.506| 0.007|0|16.364| 0.010|0|16.220| 0.024|88|   |PKM
346|1110|00 46 18.99|+85 12 47|0|19.008| 0.031|0|17.143| 0.008|0|16.510| 0.007|0|16.251| 0.009|0|16.424| 0.027| 0|   |PKM
347|1161|00 48 25.41|+85 14 35|1|      |      |0|17.490| 0.010|0|16.512| 0.007|0|16.101| 0.008|0|15.917| 0.020|73|   |PKM
348|2182|00 47 53.20|+85 11 49|0|18.717| 0.024|0|17.103| 0.008|0|16.520| 0.007|0|16.336| 0.010|0|16.020| 0.021|95|   |PKM
349|1022|00 46 55.72|+85 15 48|0|18.783| 0.026|0|17.111| 0.008|0|16.521| 0.007|0|16.321| 0.010|0|16.442| 0.028|97|   |PKM
350|    |00 49 43.37|+85 19 20|0|18.431| 0.019|0|17.057| 0.007|0|16.524| 0.007|0|16.272| 0.009|0|16.386| 0.027| 0|   |PKM
351|    |00 52 18.46|+85 18 30|0|18.784| 0.026|0|17.136| 0.008|0|16.528| 0.007|0|16.308| 0.009|0|16.195| 0.023|96|   |PKM
352|1023|00 47 06.47|+85 15 46|0|18.913| 0.029|0|17.115| 0.008|0|16.532| 0.007|0|16.316| 0.010|0|16.315| 0.025|91|   |PKM
353|2142|00 50 55.45|+85 12 42|0|18.866| 0.028|0|17.155| 0.008|0|16.535| 0.007|0|16.341| 0.010|0|16.374| 0.026|98|   |PKM
354|    |00 46 30.95|+85 11 07|1|      |      |0|17.155| 0.008|0|16.538| 0.007|0|16.163| 0.009|0|16.119| 0.023|93|   |PKM
355|2135|00 51 04.67|+85 13 47|0|18.790| 0.026|0|17.141| 0.008|0|16.541| 0.007|0|16.271| 0.009|0|16.175| 0.023|96|   |PKM
356|    |00 45 29.35|+85 15 11|1|      |      |0|17.691| 0.011|0|16.547| 0.007|0|15.952| 0.008|0|15.664| 0.018| 0|   |PKM
357|2355|00 48 19.21|+85 11 49|1|      |      |0|17.320| 0.009|0|16.553| 0.007|0|16.226| 0.009|0|16.234| 0.024|90|   |PKM
358|1083|00 47 32.75|+85 14 41|0|19.006| 0.031|0|17.223| 0.008|0|16.569| 0.007|0|16.378| 0.010|0|16.257| 0.025|97|   |PKM
359|2141|00 50 50.46|+85 13 04|0|18.851| 0.027|0|17.175| 0.008|0|16.573| 0.007|0|16.352| 0.010|0|16.314| 0.025|97|   |PKM
360|    |00 45 30.58|+85 09 40|1|      |      |0|17.310| 0.009|0|16.574| 0.007|0|16.268| 0.009|0|16.416| 0.027| 0|   |PKM
361|1007|00 48 40.19|+85 14 55|0|18.664| 0.023|0|17.137| 0.008|0|16.575| 0.007|0|16.360| 0.010|0|16.414| 0.027| 0|   |PKM
362|2143|00 50 10.57|+85 13 34|1|      |      |0|17.341| 0.009|0|16.585| 0.007|0|16.323| 0.010|0|16.206| 0.024|95|   |PKM
363|    |00 51 21.52|+85 09 22|0|18.964| 0.030|0|17.198| 0.008|0|16.592| 0.007|0|16.387| 0.010|0|16.143| 0.023|98|   |PKM
364|1119|00 48 45.24|+85 14 11|1|      |      |0|17.449| 0.010|0|16.598| 0.008|0|16.239| 0.009|0|16.049| 0.022|93|   |PKM
365|2094|00 48 44.16|+85 18 37|0|18.789| 0.026|0|17.259| 0.008|0|16.606| 0.008|0|16.403| 0.010|0|16.159| 0.023| 2|   |PKM
366|    |00 48 09.95|+85 19 18|0|18.897| 0.028|0|17.231| 0.008|0|16.608| 0.008|0|16.323| 0.010|0|16.485| 0.028| 0|   |PKM
367|    |00 49 08.17|+85 11 09|0|18.770| 0.025|0|17.200| 0.008|0|16.611| 0.008|0|16.401| 0.010|0|16.249| 0.024| 0|   |PKM
368|4445|00 47 19.22|+85 14 37|0|18.992| 0.031|0|17.238| 0.008|0|16.640| 0.008|0|16.493| 0.011|0|16.532| 0.029|98|   |PKM
369|    |00 51 16.74|+85 18 23|0|19.274| 0.040|0|17.382| 0.009|0|16.649| 0.008|0|16.429| 0.010|0|16.294| 0.025|94|   |PKM
370|    |00 49 22.15|+85 19 35|0|18.949| 0.030|0|17.292| 0.008|0|16.659| 0.008|0|16.501| 0.011|0|16.199| 0.024|97|   |PKM
371|    |00 44 51.73|+85 17 57|0|19.113| 0.034|0|17.327| 0.009|0|16.673| 0.008|0|16.480| 0.011|0|16.462| 0.028| 0|   |PKM
372|    |00 44 11.43|+85 14 30|0|18.615| 0.022|0|17.197| 0.008|0|16.684| 0.008|0|16.527| 0.011|0|16.346| 0.026| 0|   |PKM
373|2359|00 48 50.14|+85 12 15|1|      |      |0|17.168| 0.008|0|16.696| 0.008|0|16.348| 0.010|1|      |      |73|b  |PKM
374|4539|00 49 10.43|+85 16 57|0|19.214| 0.038|0|17.385| 0.009|0|16.719| 0.008|0|16.428| 0.010|0|16.428| 0.027|98|   |PKM
375|    |00 45 26.52|+85 09 36|1|      |      |0|17.468| 0.010|0|16.725| 0.008|0|16.413| 0.010|0|16.410| 0.027|98|   |PKM
376|    |00 51 27.14|+85 19 44|0|18.720| 0.024|0|17.276| 0.008|0|16.728| 0.008|0|16.512| 0.011|0|16.400| 0.027| 0|   |PKM
377|1058|00 45 55.10|+85 15 03|0|18.416| 0.019|0|17.209| 0.008|0|16.743| 0.008|0|16.591| 0.012|0|16.434| 0.027| 0|   |PKM
378|    |00 49 41.02|+85 09 43|0|18.284| 0.017|0|17.408| 0.009|0|16.744| 0.008|0|16.605| 0.012|0|16.484| 0.028|96|   |PKM
379|1118|00 46 16.57|+85 14 55|1|      |      |0|17.584| 0.011|0|16.745| 0.008|0|16.475| 0.011|0|16.718| 0.034|93|   |PKM
380|4593|00 46 16.79|+85 17 29|0|19.368| 0.043|0|17.422| 0.009|0|16.769| 0.009|0|16.562| 0.011|0|16.583| 0.030|97|   |PKM
381|    |00 49 34.31|+85 11 28|0|18.280| 0.017|0|17.332| 0.009|0|16.782| 0.009|0|16.461| 0.010|0|16.030| 0.021|95|   |PKM
382|1168|00 46 23.53|+85 12 45|1|      |      |0|17.467| 0.010|0|16.787| 0.009|0|16.488| 0.011|0|16.586| 0.058|98|   |PKM
383|    |00 46 49.17|+85 11 33|0|19.258| 0.039|0|17.418| 0.009|0|16.789| 0.009|0|16.541| 0.011|0|16.449| 0.028|93|   |PKM
384|    |00 51 07.40|+85 12 24|0|18.435| 0.019|0|17.219| 0.008|0|16.792| 0.009|0|16.622| 0.012|0|16.691| 0.033| 0|   |PKM
385|    |00 44 37.20|+85 09 49|0|19.253| 0.039|0|17.438| 0.009|0|16.794| 0.009|0|16.528| 0.011|0|16.520| 0.029|98|   |PKM
386|4263|00 48 47.15|+85 14 04|1|      |      |0|17.904| 0.013|0|16.804| 0.009|0|16.202| 0.009|0|15.928| 0.020| 0|   |PKM
387|    |00 45 41.85|+85 15 35|0|19.459| 0.047|0|17.519| 0.010|0|16.807| 0.009|0|16.655| 0.012|0|16.956| 0.041|96|   |PKM
388|4630|00 46 41.96|+85 18 13|0|19.040| 0.032|0|17.463| 0.010|0|16.812| 0.009|0|16.585| 0.012|0|16.573| 0.030|98|   |PKM
389|    |00 50 47.91|+85 10 32|1|      |      |0|17.751| 0.012|0|16.821| 0.009|0|16.474| 0.011|0|16.567| 0.030| 0|   |PKM
390|    |00 46 25.58|+85 11 33|1|      |      |0|17.536| 0.010|0|16.830| 0.009|0|16.544| 0.011|0|16.519| 0.029|98|   |PKM
391|    |00 50 38.84|+85 10 08|1|      |      |0|17.604| 0.011|0|16.832| 0.009|0|16.497| 0.011|0|16.390| 0.027| 0|   |PKM
392|1124|00 47 04.29|+85 15 01|1|      |      |0|17.620| 0.011|0|16.839| 0.009|0|16.528| 0.011|0|16.128| 0.023|93|   |PKM
393|    |00 48 38.59|+85 10 07|1|      |      |0|17.567| 0.010|0|16.854| 0.009|0|16.539| 0.011|0|16.261| 0.024|83|   |PKM
394|2379|00 50 37.49|+85 12 14|0|19.165| 0.036|0|17.526| 0.010|0|16.873| 0.009|0|16.628| 0.012|0|16.789| 0.035|97|   |PKM
395|1121|00 47 37.76|+85 16 10|1|      |      |0|17.572| 0.010|0|16.877| 0.009|0|16.731| 0.013|0|16.516| 0.029|95|   |PKM
396|    |00 47 25.04|+85 09 21|1|      |      |0|17.618| 0.011|0|16.879| 0.009|0|16.628| 0.012|0|16.365| 0.026| 0|   |PKM
397|    |00 47 15.46|+85 09 27|0|20.000| 0.076|0|17.994| 0.014|0|16.901| 0.009|0|16.451| 0.010|0|16.163| 0.023| 0|   |PKM
398|1135|00 46 49.49|+85 13 59|0|19.521| 0.049|0|17.560| 0.010|0|16.913| 0.010|0|16.714| 0.013|0|16.677| 0.033|98|   |PKM
399|4740|00 50 08.85|+85 14 10|1|      |      |0|18.442| 0.021|0|16.916| 0.010|0|15.413| 0.006|0|14.757| 0.015| 0|a  |PKM
400|    |00 51 10.90|+85 15 19|1|      |      |0|17.634| 0.011|0|16.931| 0.010|0|16.805| 0.014|0|16.665| 0.032|96|   |PKM
401|1145|00 47 07.88|+85 17 00|0|20.472| 0.118|0|17.729| 0.012|0|16.939| 0.010|0|16.753| 0.013|0|16.776| 0.035|97|   |PKM
402|    |00 48 48.21|+85 09 09|1|      |      |0|17.580| 0.010|0|16.942| 0.010|0|16.717| 0.013|0|16.735| 0.034|62|   |PKM
403|    |00 52 36.12|+85 16 40|0|19.161| 0.036|0|17.677| 0.011|0|16.966| 0.010|0|16.632| 0.012|1|      |      | 0|b  |PKM
404|    |00 45 35.99|+85 11 59|1|      |      |0|17.692| 0.011|0|16.972| 0.010|0|16.690| 0.013|0|16.918| 0.039|98|   |PKM
405|4245|00 49 25.87|+85 13 45|1|      |      |0|17.694| 0.011|0|16.975| 0.010|0|16.712| 0.013|0|16.479| 0.028|98|   |PKM
406|4315|00 49 31.99|+85 14 21|1|      |      |0|17.728| 0.012|0|16.985| 0.010|0|16.757| 0.013|0|16.819| 0.036|97|   |PKM
407|1120|00 46 55.98|+85 16 04|0|19.839| 0.066|0|17.667| 0.011|0|16.987| 0.010|0|16.853| 0.014|0|16.934| 0.040|97|   |PKM
408|4431|00 47 44.09|+85 14 08|0|18.583| 0.022|0|17.397| 0.009|0|16.987| 0.010|0|16.851| 0.014|0|17.470| 0.062|26|   |PKM
409|    |00 52 36.31|+85 16 41|1|      |      |0|17.627| 0.021|0|16.990| 0.019|0|16.634| 0.023|1|      |      | 0|b  |PKM
410|    |00 51 33.70|+85 11 14|0|18.944| 0.030|0|17.538| 0.010|0|17.004| 0.010|0|16.781| 0.013|0|16.602| 0.031| 0|   |PKM
411|4322|00 50 01.21|+85 12 51|1|      |      |0|17.698| 0.011|0|17.008| 0.010|0|16.706| 0.013|0|16.448| 0.028|94|   |PKM
412|    |00 46 07.21|+85 18 43|0|18.323| 0.017|0|17.384| 0.009|0|17.014| 0.010|0|16.990| 0.016|0|17.452| 0.062| 0|   |PKM
413|    |00 49 31.00|+85 10 12|1|      |      |0|17.726| 0.012|0|17.055| 0.011|0|16.804| 0.014|0|16.866| 0.038|94|   |PKM
