#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-07T20:11:45 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d9b9ae08e03	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/138/159&tab:{J/AJ/138/159/table1}&key:source=J/AJ/138/159/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/138/159/table1
#-order=I
#-out=WOCS
#-out=Vmag
#-out=B-V
#-out=V-R
#-out=V-I
#-out=Vmag1
#-out=B-V1
#-out=Vmag2
#-out=B-V2
#-out=Vmag3
#-out=B-V3
#-out=Jmag
#-out=J-Ks
#-out=A74
#-out=S72
#-out=_RA
#-out=_DE
#-out.all=2
#

#RESOURCE=yCat_51380159
#Name: J/AJ/138/159
#Title: NGC 6819 stellar radial-velocity and photometry (Hole+, 2009)
#Table	J_AJ_138_159_table1:
#Name: J/AJ/138/159/table1
#Title: The NGC 6819 WOCS photometry database
#Column	WOCS	(A6)	[1001/115030] WIYN Open Cluster Study identification (G1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F6.3)	? Phot98 project V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Phot98 project (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-R	(F6.3)	? Phot98 project (V-R) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-I	(F6.3)	? Phot98 project (V-I) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	Vmag1	(F6.3)	? Phot03 project V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V1	(F6.3)	? Phot03 project (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Vmag2	(F6.3)	? Rosvick & Vandenberg (1998AJ....115.1516R) V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V2	(F6.3)	? Rosvick & Vandenberg (1998AJ....115.1516R) (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Vmag3	(F6.3)	? Kalirai et al. (2001AJ....122..266K) V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V3	(F6.3)	? Kalirai et al. (2001AJ....122..266K) (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Jmag	(F6.3)	? 2MASS J band magnitude	[ucd=phot.mag;em.IR.J]
#Column	J-Ks	(F6.3)	? 2MASS (J-Ks) color index	[ucd=phot.color;em.IR.J;em.IR.K]
#Column	A74	(I4)	? Auner (1974A&AS...13..143A) identification, <NGC 6819 NNN> in Simbad [NULL integer written as an empty string]	[ucd=meta.id]
#Column	S72	(I3)	? Sanders (1972A&A....19..155S) identification, <[S72b] NGC 6819 NNN> in Simbad [NULL integer written as an empty string]	[ucd=meta.id]
#Column	_RA	(F9.5)	Position for stars having a radial velocity (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position for stars having a radial velocity (declination part)	[ucd=pos.eq.dec;meta.main]
WOCS|Vmag|B-V|V-R|V-I|Vmag1|B-V1|Vmag2|B-V2|Vmag3|B-V3|Jmag|J-Ks|A74|S72|_RA|_DE
026009|15.194| 0.598| 0.342| 0.737|15.204| 0.594|15.222| 0.587|15.222| 0.613|13.964| 0.316| 107|   |295.24467|+40.23819
028009|15.245| 0.593| 0.347| 0.722|15.255| 0.603|15.270| 0.599|15.287| 0.590|14.009| 0.222| 846|   |295.28775|+40.12719
030009|15.322| 0.617| 0.337| 0.735|15.323| 0.611|15.327| 0.604|15.335| 0.618|14.092| 0.217|   8|   |295.34629|+40.26692
034009|15.591| 0.595| 0.322| 0.726|15.607| 0.594|15.619| 0.609|15.635| 0.596|14.430| 0.249| 756|   |295.25100|+40.14544
037009|15.615| 0.654| 0.369| 0.784|15.632| 0.641|15.620| 0.657|15.658| 0.646|14.140| 0.384| 810|   |295.35108|+40.12992
038009|15.746| 0.609| 0.329| 0.735|15.744| 0.607|15.756| 0.597|15.778| 0.598|14.493| 0.358|  63|   |295.36725|+40.26006
039009|15.782| 0.626| 0.355| 0.745|15.772| 0.618|15.762| 0.632|15.804| 0.618|14.513| 0.311| 454|   |295.40850|+40.18056
040009|15.757| 0.669| 0.387| 0.818|15.774| 0.667|15.796| 0.666|15.795| 0.681|14.393| 0.412| 641|   |295.23787|+40.15986
041009|15.787| 0.517| 0.281| 0.658|15.808| 0.502|      |      |15.827| 0.516|14.721| 0.230| 219|   |295.23371|+40.21128
043009|15.847| 0.651| 0.330| 0.716|15.893| 0.634|15.865| 0.624|15.910| 0.603|14.626| 0.367| 771|   |295.27296|+40.14122
044009|15.897| 0.785| 0.429| 0.870|15.911| 0.769|15.939| 0.743|15.943| 0.770|14.380| 0.645| 140|   |295.24129|+40.23375
048009|15.913| 0.625| 0.362| 0.750|15.932| 0.629|15.934| 0.636|      |      |14.683| 0.384| 852|   |295.32696|+40.12444
049009|15.940| 0.679| 0.369| 0.817|15.950| 0.669|15.943| 0.687|15.981| 0.674|14.553| 0.356|  83|   |295.37458|+40.25131
051009|16.081| 0.639| 0.338| 0.804|16.078| 0.616|16.028| 0.647|      |      |      |      | 579|   |295.40946|+40.16311
054009|16.109| 0.670| 0.345| 0.755|16.150| 0.642|16.156| 0.653|16.176| 0.642|14.846| 0.485| 848|   |295.29729|+40.12600
055009|16.175| 0.661| 0.370| 0.788|16.165| 0.664|16.161| 0.657|16.210| 0.640|14.808| 0.372| 362|   |295.40975|+40.20883
057009|16.231| 0.658| 0.368| 0.757|16.255| 0.642|16.278| 0.635|16.284| 0.661|15.079| 0.279| 511|   |295.23625|+40.17111
058009|16.285| 0.640| 0.370| 0.766|16.288| 0.643|16.302| 0.653|16.321| 0.621|15.059| 0.438|    |   |295.32979|+40.27067
059009|16.332| 0.657| 0.417| 0.878|16.313| 0.685|16.295| 0.711|16.346| 0.686|14.944| 0.446| 806|   |295.36733|+40.13094
060009|16.305| 0.775| 0.379| 0.738|16.340| 0.745|16.370| 0.758|16.413| 0.727|14.889| 0.214|  41|   |295.27900|+40.25775
063009|16.467| 0.648| 0.383| 0.786|16.455| 0.682|16.475| 0.691|16.502| 0.661|15.148| 0.415| 105|   |295.24887|+40.24267
064009|16.467| 0.668| 0.381| 0.782|16.460| 0.680|16.450| 0.686|16.506| 0.665|15.159| 0.374| 363|   |295.41054|+40.20675
090009|16.696| 0.720| 0.396| 0.816|16.715| 0.678|      |      |      |      |14.753| 0.481|    |   |         |
001010|12.815| 0.226| 0.079| 0.203|12.811| 0.217|12.795| 0.205|      |      |12.308| 0.083| 980|168|         |
002010|      |      |      |      |13.030| 1.664|13.005| 1.681|      |      | 9.975| 1.054| 986|167|295.42067|+40.22389
003010|13.065| 0.499| 0.287| 0.591|13.085| 0.491|      |      |      |      |12.047| 0.244| 300| 32|295.21571|+40.20442
004010|13.220| 1.279| 0.646| 1.200|13.228| 1.241|13.224| 1.244|      |      |10.998| 0.742| 700|163|295.40346|+40.15086
005010|      |      |      |      |13.241| 1.587|13.228| 1.595|      |      |10.334| 0.992| 574|172|295.42854|+40.17669
006010|13.477| 1.427| 0.726| 1.430|13.479| 1.383|13.459| 1.399|      |      |10.977| 0.831| 993|166|295.42046|+40.18672
007010|13.817| 0.918| 0.484| 0.969|13.839| 0.912|13.872| 0.924|      |      |12.179| 0.502| 663| 40|295.23325|+40.15169
008010|13.952| 1.161| 0.610| 1.168|13.964| 1.147|      |      |      |      |11.912| 0.663| 506| 36|295.22308|+40.16733
009010|14.057| 1.105| 0.591| 1.154|14.071| 1.107|      |      |14.098| 1.097|12.072| 0.646| 138| 39|295.23337|+40.22767
010010|14.199| 0.587| 0.327| 0.715|14.207| 0.570|14.228| 0.569|14.228| 0.594|13.017| 0.273|  37| 53|295.25662|+40.25750
011010|14.539| 0.636| 0.378| 0.785|14.542| 0.652|14.546| 0.656|14.561| 0.662|13.207| 0.361| 847|   |295.29150|+40.12456
012010|14.591| 1.428| 0.737| 1.435|14.592| 1.392|14.581| 1.415|14.617| 1.394|12.093| 0.825| 701|164|295.40946|+40.15483
013010|14.707| 0.598| 0.344| 0.721|14.724| 0.601|      |      |14.750| 0.614|13.503| 0.295| 315|   |295.22433|+40.19761
014010|14.819| 0.613| 0.340| 0.718|14.836| 0.606|14.852| 0.601|14.861| 0.621|13.618| 0.348|  36|   |295.25792|+40.25947
015010|14.967| 0.622| 0.364| 0.770|14.954| 0.632|14.950| 0.629|14.993| 0.614|13.664| 0.395| 173|   |295.40454|+40.23942
016010|14.984| 0.712| 0.388| 0.791|14.987| 0.719|14.992| 0.718|15.015| 0.705|13.650| 0.427|  64|   |295.37967|+40.26139
017010|14.959| 0.653| 0.385| 0.780|14.989| 0.655|14.984| 0.671|      |      |13.703| 0.395| 872|   |295.32617|+40.11783
019010|      |      |      |      |      |      |15.062| 0.633|15.097| 0.653|13.826| 0.308| 416|   |295.22300|+40.18364
020010|15.091| 0.597| 0.334| 0.712|15.103| 0.588|      |      |15.135| 0.597|13.896| 0.354| 136|   |295.22817|+40.23483
021010|15.105| 0.811| 0.413| 0.848|15.123| 0.811|      |      |15.146| 0.812|13.693| 0.392| 196|   |295.22762|+40.21817
022010|15.200| 0.647| 0.355| 0.760|15.198| 0.649|15.208| 0.646|15.226| 0.633|13.948| 0.343|    |   |295.33154|+40.27114
024010|15.200| 0.616| 0.325| 0.719|15.224| 0.605|15.242| 0.630|15.254| 0.598|14.013| 0.313| 825|   |295.26375|+40.12661
025010|15.252| 0.612| 0.357| 0.754|15.250| 0.608|15.238| 0.617|15.276| 0.621|13.941| 0.405| 172|   |295.40700|+40.24239
026010|15.243| 0.727| 0.381| 0.811|15.253| 0.712|15.271| 0.712|15.269| 0.725|13.838| 0.280|    |   |295.29896|+40.27733
027010|15.393| 0.752| 0.414| 0.851|15.392| 0.750|15.417| 0.731|15.412| 0.755|13.950| 0.432|    |   |295.32146|+40.27750
028010|15.407| 1.356| 0.677| 1.353|15.420| 1.343|15.440| 1.356|15.443| 1.343|13.107| 0.815| 828|   |295.25687|+40.13103
030010|15.459| 0.587| 0.326| 0.694|15.483| 0.578|15.502| 0.582|15.510| 0.585|14.347| 0.230| 508|   |295.22792|+40.16914
032010|15.530| 0.692| 0.409| 0.835|15.524| 0.692|15.539| 0.679|      |      |      |      | 714|   |295.39787|+40.14297
034010|15.555| 0.566| 0.331| 0.723|15.564| 0.605|15.492| 0.628|15.570| 0.585|14.272| 0.351| 873|   |295.31571|+40.11856
035010|15.590| 0.571| 0.350| 0.731|15.601| 0.594|15.580| 0.626|15.626| 0.596|14.278| 0.236| 871|   |295.33417|+40.11750
036010|15.710| 0.696| 0.376| 0.787|15.718| 0.691|15.741| 0.699|15.750| 0.691|14.450| 0.317| 109|   |295.23571|+40.24533
037010|15.782| 0.610| 0.338| 0.719|15.775| 0.611|15.798| 0.600|15.809| 0.599|14.516| 0.296|    |   |295.35996|+40.27197
039010|15.830| 0.616| 0.322| 0.727|15.836| 0.598|15.855| 0.613|15.859| 0.616|14.649| 0.268|  17|   |295.27358|+40.26706
040010|15.899| 0.649| 0.349| 0.775|15.901| 0.621|15.896| 0.620|15.940| 0.624|14.602| 0.175| 702|   |295.41221|+40.15456
041010|15.917| 0.780| 0.385| 0.881|15.913| 0.717|15.861| 0.738|15.973| 0.720|14.408| 0.508| 804|   |295.37104|+40.12661
043010|15.931| 0.665| 0.352| 0.770|15.936| 0.620|15.917| 0.641|15.964| 0.635|14.707| 0.325| 801|   |295.38162|+40.12903
047010|16.072| 0.647| 0.341| 0.748|16.104| 0.629|16.112| 0.643|16.115| 0.650|14.850| 0.196| 879| 80|295.29133|+40.11936
051010|16.133| 0.613| 0.348| 0.730|16.131| 0.621|      |      |16.174| 0.625|14.869| 0.378| 216|   |295.22083|+40.21172
052010|16.161| 0.768| 0.405| 0.840|16.162| 0.761|16.160| 0.767|16.193| 0.745|14.717| 0.496|   6|   |295.35742|+40.26867
053010|16.146| 0.738| 0.400| 0.820|16.163| 0.735|      |      |16.192| 0.726|14.812| 0.331| 314|   |295.21692|+40.19928
056010|16.259| 0.669| 0.368| 0.783|16.241| 0.669|16.238| 0.677|16.287| 0.659|14.884| 0.311| 802|   |295.37896|+40.12744
059010|15.929| 0.798| 0.414| 0.925|      |      |      |      |15.695| 0.767|13.574| 0.412| 824|   |295.27683|+40.12997
060010|16.306| 0.627| 0.393| 0.787|16.282| 0.639|16.278| 0.644|16.329| 0.637|14.931| 0.286| 370|   |295.42783|+40.19869
062010|16.370| 0.704| 0.380| 0.822|16.380| 0.692|      |      |16.422| 0.682|14.971| 0.198| 197|   |295.22283|+40.21858
063010|16.417| 0.695| 0.404| 0.873|16.412| 0.703|16.412| 0.694|      |      |14.906| 0.455|    |   |295.32771|+40.27492
064010|16.436| 0.718| 0.407| 0.878|16.425| 0.727|16.451| 0.711|16.448| 0.733|15.002| 0.529|    |   |295.30179|+40.27575
001011|      |      |      |      |11.884| 0.457|11.870| 0.448|      |      |10.984| 0.222| 971|179|295.43742|+40.21397
002011|12.837| 0.527| 0.282| 0.602|12.870| 0.512|12.926| 0.491|      |      |11.800| 0.321| 882| 66|295.27312|+40.11392
003011|      |      |      |      |12.936| 1.176|12.971| 1.180|      |      |10.844| 0.678| 769| 45|295.24154|+40.13819
004011|13.085| 1.185| 0.596| 1.207|13.104| 1.178|      |      |      |      |11.009| 0.663| 200| 30|295.20917|+40.21972
005011|13.287| 1.246| 0.652| 1.307|13.269| 1.241|13.283| 1.251|      |      |11.024| 0.712|    |127|295.34262|+40.27894
006011|13.400| 1.204| 0.599| 1.150|13.431| 1.152|13.443| 1.173|      |      |11.374| 0.682| 875|   |295.30492|+40.11161
007011|14.116| 0.931| 0.512| 0.999|14.143| 0.914|14.148| 0.932|14.170| 0.913|12.454| 0.555| 878|   |295.29337|+40.11483
008011|14.189| 0.867| 0.429| 0.853|14.229| 0.865|14.245| 0.873|14.250| 0.860|12.774| 0.419| 843| 52|295.25617|+40.12050
009011|14.545| 0.624| 0.332| 0.721|14.542| 0.605|14.531| 0.593|14.581| 0.608|13.310| 0.341| 575|   |295.42983|+40.17794
010011|14.784| 0.646| 0.379| 0.782|14.777| 0.650|14.815| 0.638|14.799| 0.674|13.484| 0.362|    |   |295.31150|+40.28375
011011|14.896| 0.668| 0.375| 0.837|14.888| 0.660|14.860| 0.673|14.916| 0.672|13.540| 0.383| 576|   |295.43608|+40.16733
012011|14.952| 0.639| 0.366| 0.750|14.950| 0.625|14.942| 0.620|14.975| 0.615|13.657| 0.374|   4|   |295.39246|+40.26597
013011|15.158| 0.571| 0.336| 0.699|15.158| 0.587|      |      |15.179| 0.601|14.014| 0.314| 110|   |295.22317|+40.24108
018011|15.327| 0.597| 0.355| 0.752|15.304| 0.607|15.317| 0.602|15.326| 0.600|14.092| 0.322|    |   |295.36471|+40.27522
019011|15.364| 0.789| 0.433| 0.865|15.354| 0.810|15.358| 0.807|15.376| 0.796|13.940| 0.500|  67|   |295.40046|+40.26064
020011|15.392| 0.752| 0.427| 0.894|15.384| 0.764|15.364| 0.779|15.411| 0.773|13.878| 0.459| 713|   |295.40996|+40.14289
021011|15.401| 0.568| 0.312| 0.671|15.410| 0.575|15.440| 0.554|15.435| 0.583|14.290| 0.250|  20|   |295.23762|+40.26067
022011|15.450| 1.183| 0.636| 1.240|15.430| 1.170|15.433| 1.191|15.459| 1.154|13.251| 0.685| 252|   |295.42450|+40.23381
023011|15.426| 0.542| 0.313| 0.659|15.435| 0.533|      |      |15.458| 0.542|14.302| 0.242| 757|   |295.22812|+40.14319
024011|15.420| 0.732| 0.430| 0.872|15.442| 0.737|15.457| 0.754|15.459| 0.744|13.970| 0.458| 877|   |295.29471|+40.11269
025011|15.438| 0.616| 0.316| 0.732|15.442| 0.594|15.427| 0.591|15.466| 0.599|14.241| 0.365| 704|   |295.42092|+40.15322
026011|15.518| 0.572| 0.337| 0.730|15.495| 0.586|15.497| 0.584|15.519| 0.589|14.297| 0.327|  69|   |295.40717|+40.26125
027011|15.482| 0.598| 0.352| 0.741|15.499| 0.607|15.515| 0.628|15.526| 0.617|14.250| 0.283| 826|   |295.25908|+40.12858
028011|15.472| 0.917| 0.466| 0.949|15.505| 0.876|15.486| 0.896|15.512| 0.881|13.927| 0.527| 870|   |295.34696|+40.11275
029011|15.509| 0.594| 0.322| 0.715|15.530| 0.583|15.561| 0.579|15.549| 0.595|14.257| 0.156|    |   |295.28454|+40.27575
031011|15.688| 0.605| 0.358| 0.756|15.657| 0.605|15.647| 0.603|      |      |14.429| 0.317| 451|   |295.43867|+40.18167
032011|15.745| 0.614| 0.327| 0.717|15.771| 0.589|15.785| 0.613|15.796| 0.614|14.566| 0.199| 927|   |295.31883|+40.10850
036011|16.002| 0.592| 0.317| 0.721|16.006| 0.590|      |      |16.032| 0.613|14.875| 0.256| 199|   |295.21237|+40.22281
038011|16.030| 0.593| 0.340| 0.703|16.036| 0.589|      |      |16.061| 0.608|14.851| 0.291| 198|   |295.21387|+40.21717
040011|16.092| 0.627| 0.358| 0.773|16.067| 0.645|16.117| 0.611|16.094| 0.646|14.796| 0.399|    |   |295.32408|+40.28619
041011|16.132| 0.759| 0.416| 0.913|16.121| 0.750|16.128| 0.769|16.148| 0.747|14.600| 0.373|  68|   |295.40346|+40.26358
043011|16.155| 0.638| 0.373| 0.774|16.145| 0.627|16.121| 0.644|16.183| 0.638|14.776| 0.040| 367|   |295.43717|+40.21028
044011|16.154| 0.811| 0.480| 0.968|16.155| 0.808|      |      |16.193| 0.821|14.515| 0.462| 644|   |         |
045011|16.281| 0.668| 0.348| 0.792|16.282| 0.637|16.246| 0.636|      |      |      |      | 366|   |295.43400|+40.21247
047011|16.316| 0.661| 0.356| 0.790|16.329| 0.657|      |      |16.369| 0.644|15.048| 0.485| 662|   |295.22650|+40.15214
048011|16.367| 0.653| 0.375| 0.785|16.353| 0.643|16.329| 0.660|16.383| 0.658|15.161| 0.517| 709|   |295.42629|+40.15206
049011|16.404| 0.738| 0.393| 0.850|16.420| 0.715|      |      |16.447| 0.727|14.999| 0.450| 299|   |295.21304|+40.20669
050011|16.437| 0.693| 0.376| 0.805|16.442| 0.689|16.460| 0.696|16.476| 0.688|15.112| 0.539| 881|   |295.29062|+40.11239
055011|16.511| 0.660| 0.385| 0.806|16.539| 0.649|      |      |16.518| 0.665|14.956| 0.431|    |   |         |
001012|      |      |      |      |12.408| 0.501|12.394| 0.499|      |      |11.301| 0.276|    |181|295.44483|+40.16731
002012|13.059| 1.214| 0.599| 1.202|13.125| 1.166|13.140| 1.206|      |      |10.974| 0.642| 928|103|295.31800|+40.09747
003012|      |      |      |      |13.209| 0.188|      |      |      |      |11.186| 0.415|    | 99|         |
004012|13.248| 0.523| 0.268| 0.587|13.285| 0.494|      |      |      |      |12.232| 0.253| 504| 25|295.20154|+40.17900
005012|13.369| 1.186| 0.658| 1.243|13.363| 1.202|      |      |      |      |11.227| 0.698| 112| 28|295.20687|+40.24203
006012|13.653| 0.582| 0.403| 0.795|13.618| 0.654|13.639| 0.661|      |      |12.412| 0.330| 842| 49|295.24771|+40.11825
007012|13.778| 0.539| 0.231| 0.565|13.821| 0.493|13.833| 0.508|      |      |12.777| 0.211| 926|104|295.31804|+40.10469
008012|14.499| 0.640| 0.382| 0.791|14.509| 0.641|      |      |14.534| 0.654|13.196| 0.334| 758|   |295.21958|+40.14511
009012|14.553| 0.644| 0.375| 0.762|14.537| 0.656|14.538| 0.653|14.563| 0.646|13.296| 0.388|  76|   |295.42542|+40.25492
010012|14.555| 0.494| 0.264| 0.601|14.548| 0.484|14.552| 0.474|14.585| 0.469|13.551| 0.286|  77|   |295.42396|+40.25664
011012|14.703| 0.757| 0.426| 0.863|14.692| 0.788|14.708| 0.763|14.704| 0.771|13.185| 0.374|    |   |295.33146|+40.28869
012012|14.715| 0.528| 0.274| 0.640|14.710| 0.530|14.719| 0.517|14.741| 0.519|13.647| 0.342|    |   |295.39783|+40.27214
013012|14.810| 1.308| 0.693| 1.330|14.789| 1.283|14.794| 1.298|14.820| 1.294|12.489| 0.748| 705|   |295.43046|+40.15344
014012|14.807| 0.486| 0.186| 0.568|14.834| 0.462|14.842| 0.481|14.871| 0.454|13.920| 0.237| 929|   |295.32087|+40.10111
015012|15.030| 0.636| 0.354| 0.767|15.027| 0.642|15.056| 0.620|15.051| 0.631|13.759| 0.371|    |   |295.34342|+40.28764
016012|15.111| 1.351| 0.700| 1.363|15.114| 1.304|15.090| 1.319|15.142| 1.299|12.754| 0.780| 578|   |295.43812|+40.16392
017012|15.122| 0.557| 0.325| 0.678|15.119| 0.572|15.155| 0.538|15.143| 0.580|14.689| 0.863|  21|   |295.23246|+40.25936
018012|15.161| 0.597| 0.333| 0.731|15.172| 0.594|      |      |15.196| 0.599|13.970| 0.347|    |   |295.25892|+40.28203
020012|15.202| 0.644| 0.350| 0.788|15.204| 0.629|15.184| 0.627|15.237| 0.624|13.877| 0.344|    |   |295.45071|+40.20864
021012|15.220| 0.654| 0.367| 0.767|15.216| 0.631|15.201| 0.625|15.248| 0.627|13.958| 0.325|    |   |295.44979|+40.19828
022012|15.238| 0.684| 0.373| 0.799|15.235| 0.672|15.200| 0.665|15.264| 0.668|13.931| 0.425| 577|   |295.43908|+40.16606
024012|15.269| 0.571| 0.333| 0.693|15.275| 0.576|      |      |15.296| 0.583|14.108| 0.333| 661|   |295.20558|+40.15194
025012|15.329| 0.759| 0.432| 0.896|15.338| 0.757|      |      |15.357| 0.764|13.833| 0.485| 111|   |295.21396|+40.24478
026012|15.355| 1.150| 0.623| 1.233|15.349| 1.141|      |      |15.370| 1.133|13.185| 0.631|    |   |295.29712|+40.28658
027012|15.376| 0.598| 0.313| 0.735|15.375| 0.594|15.423| 0.568|15.382| 0.601|14.205| 0.354|    |   |295.33821|+40.28981
028012|15.401| 0.598| 0.326| 0.676|15.404| 0.607|      |      |15.442| 0.600|14.138| 0.249| 830|   |295.23521|+40.12800
029012|15.409| 0.802| 0.453| 0.928|15.410| 0.799|      |      |15.429| 0.817|13.837| 0.474| 409|   |295.19408|+40.19192
031012|15.636| 0.650| 0.391| 0.835|15.638| 0.664|15.636| 0.677|15.664| 0.672|14.301| 0.321| 935|   |295.35933|+40.10211
032012|15.651| 0.648| 0.341| 0.765|15.666| 0.612|15.665| 0.641|15.688| 0.628|14.373| 0.233| 934|   |295.34062|+40.10233
033012|15.698| 0.593| 0.313| 0.711|15.699| 0.591|      |      |15.743| 0.586|14.574| 0.357| 201|   |295.20658|+40.22475
034012|15.732| 0.656| 0.383| 0.810|15.744| 0.626|15.727| 0.656|15.774| 0.635|14.434| 0.499| 856|   |295.38908|+40.11669
036012|15.821| 0.644| 0.362| 0.822|15.789| 0.685|      |      |      |      |14.088| 0.284|    |   |295.28312|+40.28714
039012|15.920| 0.637| 0.340| 0.731|15.942| 0.609|      |      |15.957| 0.628|14.769| 0.292| 768|   |295.23196|+40.13553
041012|15.987| 0.632| 0.384| 0.760|15.978| 0.646|15.982| 0.645|16.005| 0.644|14.644| 0.481| 707|   |295.43833|+40.15369
044012|16.026| 0.581| 0.346| 0.729|16.038| 0.574|16.066| 0.586|16.058| 0.590|14.830| 0.382| 883|   |295.26450|+40.11383
045012|16.051| 0.589| 0.342| 0.742|16.041| 0.577|      |      |16.032| 0.609|14.675| 0.348|    |   |295.25929|+40.27950
046012|16.076| 0.769| 0.425| 0.889|16.084| 0.763|16.091| 0.780|16.121| 0.761|14.585| 0.361| 932|   |295.33062|+40.10361
047012|16.096| 0.601| 0.362| 0.732|16.091| 0.613|      |      |16.126| 0.616|14.863| 0.408| 312|   |295.19562|+40.19908
050012|16.160| 0.607| 0.357| 0.722|16.158| 0.592|      |      |16.187| 0.619|14.922| 0.369| 301|   |295.19729|+40.20231
051012|16.211| 0.611| 0.391| 0.789|16.178| 0.645|16.155| 0.626|16.219| 0.625|14.902| 0.342| 171|   |295.44075|+40.23950
054012|16.248| 0.792| 0.457| 0.934|16.241| 0.785|      |      |16.273| 0.796|14.669| 0.440| 767|   |295.22175|+40.13444
056012|16.299| 0.627| 0.378| 0.791|16.298| 0.635|16.307| 0.659|16.318| 0.653|15.073| 0.465| 924|   |295.31375|+40.10481
058012|16.324| 0.715| 0.376| 0.824|16.339| 0.679|16.329| 0.703|16.361| 0.689|14.986| 0.450| 869|   |295.38071|+40.10869
059012|16.361| 0.650| 0.384| 0.765|16.364| 0.651|16.367| 0.662|      |      |15.070| 0.035| 930|   |295.32471|+40.10297
060012|16.435| 0.630| 0.348| 0.766|16.421| 0.654|      |      |16.455| 0.640|15.235| 0.173|    |   |295.26092|+40.27553
061012|16.446| 0.691| 0.361| 0.782|16.454| 0.651|16.383| 0.826|16.485| 0.666|15.076| 0.507| 794|   |295.42242|+40.13550
062012|16.478| 0.773| 0.471| 0.940|16.467| 0.773|16.440| 0.806|16.490| 0.779|      |      |    |   |295.39637|+40.11850
001013|      |      |      |      |11.978| 0.464|12.597| 0.024|      |      |11.046| 0.237| 797|175|         |
002013|      |      |      |      |12.323| 0.459|      |      |      |      |11.371| 0.280| 113| 29|295.20550|+40.24436
003013|      |      |      |      |12.422| 1.034|12.416| 1.029|      |      |10.566| 0.620| 796|170|295.43108|+40.13608
004013|      |      |      |      |12.535| 0.577|12.519| 0.558|      |      |11.372| 0.359| 798|177|295.43933|+40.13608
005013|      |      |      |      |12.883| 0.558|      |      |      |      |11.780| 0.272|    |122|295.33683|+40.29592
006013|13.065| 0.565| 0.284| 0.667|13.089| 0.550|      |      |      |      |11.933| 0.324| 410| 21|295.19167|+40.18914
007013|13.109| 0.452| 0.242| 0.564|13.118| 0.461|      |      |      |      |12.129| 0.242| 215| 20|295.18575|+40.20936
008013|      |      |      |      |13.124| 1.132|13.157| 1.151|      |      |11.043| 0.693| 911| 58|295.25846|+40.10781
009013|13.343| 0.545| 0.240| 0.584|13.369| 0.499|13.352| 0.495|      |      |12.369| 0.286| 708|178|295.43937|+40.14744
010013|13.396| 0.617| 0.392| 0.762|13.376| 0.633|13.358| 0.630|      |      |12.120| 0.396|    |183|295.45108|+40.17564
011013|13.469| 1.319| 0.658| 1.323|13.475| 1.274|13.476| 1.303|      |      |11.195| 0.758| 857|160|295.39467|+40.11181
012013|13.629| 0.570| 0.358| 0.700|13.602| 0.588|13.596| 0.596|      |      |      |      | 858|162|295.39829|+40.11264
013013|13.966| 1.269| 0.665| 1.290|13.983| 1.255|14.001| 1.285|14.000| 1.263|11.762| 0.690| 920| 81|295.29842|+40.09011
014013|14.109| 0.493| 0.284| 0.607|14.102| 0.516|      |      |14.133| 0.525|13.096| 0.260| 133| 22|295.19158|+40.23589
015013|14.419| 0.683| 0.398| 0.839|14.426| 0.702|14.445| 0.715|14.444| 0.702|13.048| 0.372| 913|   |295.26550|+40.10064
016013|14.599| 0.694| 0.389| 0.779|14.596| 0.701|      |      |14.622| 0.715|13.315| 0.332| 832|   |295.21946|+40.12692
017013|14.712| 0.623| 0.363| 0.766|14.716| 0.631|      |      |14.739| 0.659|13.449| 0.336| 214|   |295.18592|+40.21447
018013|14.741| 0.638| 0.323| 0.765|14.754| 0.639|      |      |14.768| 0.649|13.476| 0.337|    |   |295.23883|+40.27431
019013|14.769| 0.867| 0.504| 1.067|14.774| 0.850|      |      |14.790| 0.860|12.980| 0.529| 840|   |295.22783|+40.12036
020013|14.784| 1.089| 0.609| 1.180|14.776| 1.095|14.771| 1.109|14.796| 1.102|12.762| 0.603| 938|   |295.37917|+40.10036
