#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-11T18:32:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5df136376f63	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/138/159&tab:{J/AJ/138/159/table2}&key:source=J/AJ/138/159/table2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/138/159/table2
#-order=I
#-out=WOCS
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=B-V
#-out=N1
#-out=N2
#-out=RV
#-out=e_RV
#-out=e/i
#-out=Mmb
#-out=bin
#-out=gamma
#-out=Com
#-out.all=2
#

#RESOURCE=yCat_51380159
#Name: J/AJ/138/159
#Title: NGC 6819 stellar radial-velocity and photometry (Hole+, 2009)
#Table	J_AJ_138_159_table2:
#Name: J/AJ/138/159/table2
#Title: The NGC 6819 WOCS radial-velocity database
#Column	WOCS	(A6)	WIYN Open Cluster Study identification (G1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	Averaged V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	Averaged B-V color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	N1	(I2)	Number of WIYN RV measurements	[ucd=meta.number]
#Column	N2	(I2)	Number of CfA RV measurements	[ucd=meta.number]
#Column	RV	(F7.2)	Mean radial velocity	[ucd=spect.dopplerVeloc;stat.mean]
#Column	e_RV	(F5.2)	Standard error of RV (1)	[ucd=stat.error]
#Column	e/i	(F6.2)	? external/internal error ratio (2)	[ucd=stat.error]
#Column	Mmb	(I2)	? Calculated RV membership probability [NULL integer written as an empty string]	[ucd=meta.code.member]
#Column	bin	(A3)	Binarity classification (3)	[ucd=meta.code.multip]
#Column	gamma	(F7.3)	? Center-of-mass radial velocity {gamma}	[ucd=phys.veloc;pos.barycenter]
#Column	Com	(a19)	Additional comment	[ucd=meta.note]
WOCS|RAJ2000|DEJ2000|Vmag|B-V|N1|N2|RV|e_RV|e/i|Mmb|bin|gamma|Com
037010|19 41 26.39|+40 16 19.1|15.79| 0.60| 3| 0|   2.05| 0.28|  1.00|95|SM |       |
039010|19 41 05.66|+40 16 01.4|15.85| 0.61| 3| 0|   0.91| 0.46|  1.64|88|SM |       |
040010|19 41 38.93|+40 09 16.4|15.91| 0.63| 3| 0|   2.74| 0.33|  1.17|95|SM |       |
041010|19 41 29.05|+40 07 35.8|15.92| 0.74|23| 0|   4.91| 7.09|      |  |BU |       |Rapid rotator
043010|19 41 31.59|+40 07 44.5|15.94| 0.64| 2| 0|   1.52| 0.14|      |  |U  |       |
047010|19 41 09.92|+40 07 09.7|16.10| 0.64| 3| 0|   1.66| 0.67|  2.37|94|SM |       |
051010|19 40 53.00|+40 12 42.2|16.15| 0.62| 3| 0|   3.06| 0.64|  2.25|94|SM |       |
052010|19 41 25.78|+40 16 07.2|16.17| 0.76| 3| 0| -24.28| 0.75|  2.67| 0|SN |       |
053010|19 40 52.06|+40 11 57.4|16.17| 0.73| 2| 0| -52.09| 0.04|      |  |U  |       |
056010|19 41 30.95|+40 07 38.8|16.26| 0.67| 6| 0|   0.42| 2.65| 14.84|  |BLM|       |
059010|19 41 06.44|+40 07 47.9|15.81| 0.78| 3| 0| -12.35| 0.68|  2.42| 0|SN |       |
060010|19 41 42.68|+40 11 55.3|16.30| 0.64| 3| 0|   1.91| 0.41|  1.47|95|SM |       |
062010|19 40 53.48|+40 13 06.9|16.39| 0.69|15| 0|   3.39| 1.42| 13.29|  |BLM|       |
063010|19 41 18.65|+40 16 29.7|16.41| 0.70| 2| 0| -49.82| 0.03|      |  |U  |       |
064010|19 41 12.43|+40 16 32.7|16.44| 0.72| 3| 0| -21.22| 0.44|  1.55| 0|SN |       |
065010|19 41 23.26|+40 16 11.3|16.50| 0.67| 3| 0|   2.80| 0.60|  2.12|95|SM |       |
001011|19 41 44.98|+40 12 50.3|11.88| 0.45| 2| 6| -22.50| 0.27|  1.13| 0|SN |       |
002011|19 41 05.55|+40 06 50.1|12.88| 0.51| 0| 4| -24.43| 0.38|  0.95| 0|SN |       |
003011|19 40 57.97|+40 08 17.5|12.95| 1.18|10| 7|   3.97| 0.63|  4.67|  |BLM|       |
004011|19 40 50.20|+40 13 11.0|13.09| 1.18| 1| 3|   3.26| 0.32|  0.86|93|SM |       |
005011|19 41 22.23|+40 16 44.2|13.28| 1.25| 1| 2|   2.34| 0.24|  0.55|95|SM |       |
006011|19 41 13.18|+40 06 41.8|13.42| 1.18| 1| 3|  11.14| 0.16|  0.44| 0|SN |       |
007011|19 41 10.41|+40 06 53.4|14.14| 0.92| 3| 2|   8.00| 0.30|  1.09| 0|SN |       |
008011|19 41 01.48|+40 07 13.8|14.23| 0.87| 4| 2| -13.24| 0.11|  0.46| 0|SN |       |
009011|19 41 43.16|+40 10 40.6|14.55| 0.61| 3| 0| -11.82| 0.07|  0.24| 0|SN |       |
010011|19 41 14.76|+40 17 01.5|14.79| 0.65| 3| 0|  12.99| 0.16|  0.58| 0|SN |       |
011011|19 41 44.66|+40 10 02.4|14.89| 0.67| 3| 0| -19.58| 0.22|  0.77| 0|SN |       |
012011|19 41 34.19|+40 15 57.5|14.95| 0.62| 3| 0|   2.71| 0.13|  0.47|95|SM |       |
013011|19 40 53.56|+40 14 27.9|15.16| 0.59| 3| 0|   2.58| 0.11|  0.37|95|SM |       |
014011|19 41 31.80|+40 07 34.1|15.17| 0.63| 1| 0|   2.71| 0.40|      |  |U  |       |
015011|19 41 45.24|+40 12 06.4|15.18| 0.64| 1| 0|   1.57| 0.40|      |  |U  |       |
016011|19 41 41.81|+40 09 25.9|15.21| 0.63| 1| 0| -11.55| 0.40|      |  |U  |       |
017011|19 41 22.41|+40 16 52.2|15.31| 0.78| 2| 0| -48.42| 0.26|      |  |U  |       |
018011|19 41 27.53|+40 16 30.8|15.32| 0.60| 3| 0|  -0.25| 0.34|  1.19|42|SN |       |
019011|19 41 36.11|+40 15 38.3|15.36| 0.80| 4| 0| -33.20| 0.12|  0.53| 0|SN |       |
020011|19 41 38.39|+40 08 34.4|15.39| 0.77|10| 0|  14.28| 1.38| 10.36|  |BLN|       |
021011|19 40 57.03|+40 15 38.4|15.42| 0.57| 3| 0|   3.08| 0.44|  1.56|94|SM |       |
022011|19 41 41.88|+40 14 01.7|15.44| 1.17| 3| 0| -54.15| 0.17|  0.60| 0|SN |       |
023011|19 40 54.75|+40 08 35.5|15.44| 0.54| 6| 0|   2.45| 0.12|  0.66|95|SM |       |
024011|19 41 10.73|+40 06 45.7|15.44| 0.74| 3| 0|-157.10| 0.84|  2.95| 0|SN |       |
025011|19 41 41.02|+40 09 11.6|15.44| 0.60|20| 0|   4.51| 5.22| 56.90|  |BLM|       |
026011|19 41 37.72|+40 15 40.5|15.51| 0.58| 3| 0|   2.72| 0.15|  0.53|95|SM |       |
027011|19 41 02.18|+40 07 42.9|15.51| 0.61|20| 0|   2.62| 1.14| 12.47|  |BLM|       |
028011|19 41 23.27|+40 06 45.9|15.49| 0.89| 3| 0|  -5.70| 0.37|  1.30| 0|SN |       |
029011|19 41 08.29|+40 16 32.7|15.54| 0.59| 6| 0|   2.20| 0.82|  4.58|  |BLM|       |
031011|19 41 45.28|+40 10 54.0|15.66| 0.60| 4| 0|   3.44| 0.30|  1.30|92|SM |       |
032011|19 41 16.52|+40 06 30.6|15.77| 0.61|10| 0|   3.05| 0.18|  1.39|94|SM |       |
036011|19 40 50.97|+40 13 22.1|16.01| 0.60| 3| 0|   0.71| 0.29|  1.03|84|SM |       |
038011|19 40 51.33|+40 13 01.8|16.04| 0.60| 3| 0|   1.24| 0.75|  2.65|91|SM |       |
040011|19 41 17.78|+40 17 10.3|16.09| 0.63| 3| 0|   7.58| 7.49| 26.47|  |BU |       |
041011|19 41 36.83|+40 15 48.9|16.13| 0.76| 3| 0| -13.55| 0.81|  2.88| 0|SN |       |
043011|19 41 44.92|+40 12 37.0|16.15| 0.64| 3| 0|   1.41| 0.46|  1.62|93|SM |       |
045011|19 41 44.16|+40 12 44.9|16.27| 0.65| 3| 0|   1.27| 0.41|  1.44|92|SM |       |
047011|19 40 54.36|+40 09 07.7|16.34| 0.65| 3| 0|   2.79| 0.72|  2.55|95|SM |       |
048011|19 41 42.31|+40 09 07.4|16.36| 0.65| 3| 0|   1.02| 0.12|  0.43|89|SM |       |
049011|19 40 51.13|+40 12 24.1|16.42| 0.73| 3| 0|   3.55| 0.57|  2.02|91|SM |       |
050011|19 41 09.75|+40 06 44.6|16.45| 0.69| 3| 0|   0.83| 0.70|  2.48|87|SM |       |
001012|19 41 46.76|+40 10 02.3|12.40| 0.50|10| 2|  11.80|10.13| 72.45|  |BU |       |
002012|19 41 16.32|+40 05 50.9|13.11| 1.20|13| 6|   3.73| 0.04|  6.20|95|BM |  2.718|SB1
004012|19 40 48.37|+40 10 44.4|13.27| 0.51| 0| 4|  13.24| 0.50|  1.23| 0|SN |       |
005012|19 40 49.65|+40 14 31.3|13.37| 1.19| 3| 3|   2.87| 0.19|  0.73|94|SM |       |
006012|19 40 59.45|+40 07 05.7|13.64| 0.63| 0| 3| -26.53| 0.16|  0.33| 0|SN |       |
007012|19 41 16.33|+40 06 16.9|13.81| 0.51| 4| 2|  -3.03| 0.29|  1.26| 0|SN |       |
008012|19 40 52.70|+40 08 42.4|14.51| 0.65|18| 0|  -1.57| 0.03| 24.95|92|BM |  1.261|SB1
009012|19 41 42.10|+40 15 17.7|14.55| 0.65|19| 0|   5.49| 0.63|  6.72|  |BU |       |
010012|19 41 41.75|+40 15 23.9|14.56| 0.48| 3| 0|   5.13| 0.47|  1.66|33|SN |       |
011012|19 41 19.55|+40 17 19.3|14.70| 0.77| 3| 0| -48.89| 0.14|  0.49| 0|SN |       |
012012|19 41 35.48|+40 16 19.7|14.72| 0.52|19| 0|  -3.38| 0.54|      |  |BU |       |Rapid rotator
013012|19 41 43.31|+40 09 12.4|14.80| 1.30| 3| 0| -62.45| 0.23|  0.82| 0|SN |       |
014012|19 41 17.01|+40 06 04.0|14.84| 0.47|10| 0|   1.52| 1.87|      |  |BLM|       |Rapid rotator
015012|19 41 22.42|+40 17 15.5|15.04| 0.63| 2| 0|   3.30| 0.14|      |  |U  |       |
016012|19 41 45.15|+40 09 50.1|15.11| 1.32| 3| 0| -27.57| 0.31|  1.10| 0|SN |       |
017012|19 40 55.79|+40 15 33.7|15.13| 0.56| 4| 0|   1.31| 0.25|  1.07|92|SM |       |
018012|19 41 02.14|+40 16 55.3|15.18| 0.60| 3| 0| -26.66| 0.31|  1.10| 0|SN |       |
019012|19 41 43.88|+40 09 09.8|15.18| 0.84| 3| 0| -56.44| 0.23|  0.81| 0|SN |       |
020012|19 41 48.17|+40 12 31.1|15.21| 0.63| 7| 0|   2.35| 0.46|  2.79|95|SM |       |
021012|19 41 47.95|+40 11 53.8|15.22| 0.63| 3| 0|   1.18| 0.14|  0.48|91|SM |       |
022012|19 41 45.38|+40 09 57.8|15.23| 0.67| 3| 0| -13.61| 0.24|  0.84| 0|SN |       |
023012|19 41 42.49|+40 09 00.4|15.25| 0.63| 1| 0|   2.54| 0.40|      |  |U  |       |
024012|19 40 49.34|+40 09 07.0|15.28| 0.58|18| 0|   4.75| 0.03| 30.59|94|BM |  1.750|SB1
025012|19 40 51.35|+40 14 41.2|15.34| 0.76| 7| 0| -28.70| 4.28| 26.18|  |BLN|       |
026012|19 41 11.31|+40 17 11.7|15.36| 1.14| 8| 0| -43.48| 2.83| 18.74|  |BLN|       |
027012|19 41 21.17|+40 17 23.3|15.39| 0.59| 5| 0|   2.95| 0.45|  2.26|94|SM |       |
028012|19 40 56.45|+40 07 40.8|15.42| 0.60| 3| 0|   3.26| 0.36|  1.29|93|SM |       |
029012|19 40 46.58|+40 11 30.9|15.42| 0.81| 3| 0| -53.55| 0.27|  0.95| 0|SN |       |
031012|19 41 26.24|+40 06 07.6|15.64| 0.67| 4| 0|   2.30| 0.63|  2.74|95|SM |       |
032012|19 41 21.75|+40 06 08.4|15.67| 0.63| 3| 0|  -0.92| 0.13|  0.45| 9|SN |       |
033012|19 40 49.58|+40 13 29.1|15.71| 0.59| 3| 0|   2.71| 0.14|  0.51|95|SM |       |
034012|19 41 33.38|+40 07 00.1|15.74| 0.64| 4| 0|  15.84| 0.52|  2.24| 0|SN |       |
036012|19 41 07.95|+40 17 13.7|15.81| 0.66|13| 0|   3.20| 0.70|  6.09|  |BLM|       |
038012|19 41 11.12|+40 17 14.8|15.89| 0.80| 1| 0| -16.36| 0.40|      |  |U  |       |
039012|19 40 55.67|+40 08 07.9|15.94| 0.62| 4| 0|   2.29| 0.50|  2.18|95|SM |       |
041012|19 41 45.20|+40 09 13.3|15.99| 0.64| 3| 0|   1.85| 0.34|  1.22|94|SM |       |
044012|19 41 03.48|+40 06 49.8|16.05| 0.58| 7| 0|  42.22| 1.47|  9.02|  |BLN|       |
045012|19 41 02.23|+40 16 46.2|16.04| 0.59| 4| 0|   1.08| 0.19|  0.82|90|SM |       |
046012|19 41 19.35|+40 06 13.0|16.09| 0.77| 3| 0| -67.31| 0.17|  0.59| 0|SN |       |
047012|19 40 46.95|+40 11 56.7|16.10| 0.61| 3| 0|   2.09| 0.75|  2.64|95|SM |       |
048012|19 41 41.43|+40 08 35.8|16.13| 0.71| 1| 0|   4.49| 0.40|      |  |U  |       |
050012|19 40 47.35|+40 12 08.3|16.17| 0.61| 3| 0|   1.74| 0.28|  0.98|94|SM |       |
051012|19 41 45.78|+40 14 22.2|16.19| 0.63| 3| 0|   1.25| 0.19|  0.68|92|SM |       |
054012|19 40 53.22|+40 08 04.0|16.25| 0.79| 4| 0|  -6.94| 0.77|  3.32| 0|SN |       |
056012|19 41 15.30|+40 06 17.3|16.31| 0.64| 3| 0|  -5.17| 0.12|  0.41| 0|SN |       |
058012|19 41 31.37|+40 06 31.3|16.34| 0.70| 4| 0|   2.93| 0.29|  1.26|94|SM |       |
059012|19 41 17.93|+40 06 10.7|16.36| 0.65| 3| 0|   2.91| 0.70|  2.49|94|SM |       |
060012|19 41 02.62|+40 16 31.9|16.44| 0.64| 3| 0|   2.21| 0.74|  2.61|95|SM |       |
061012|19 41 41.38|+40 08 07.8|16.44| 0.71| 3| 0|   1.85| 0.22|  0.78|94|SM |       |
062012|19 41 35.13|+40 07 06.6|16.47| 0.78| 3| 0| -90.93| 0.33|  1.18| 0|SN |       |
002013|19 40 49.32|+40 14 39.7|12.32| 0.46| 6| 4| -13.70| 0.36|      |  |SN |       |Rapid rotator
003013|19 41 43.46|+40 08 09.9|12.42| 1.03| 0| 4| -37.89| 0.25|  0.61| 0|SN |       |
004013|19 41 45.44|+40 08 09.9|12.53| 0.57| 2| 7| -26.84| 0.32|  1.39| 0|SN |       |
005013|19 41 20.84|+40 17 45.3|12.88| 0.56| 2| 3| -26.04| 0.40|      |  |SN |       |Rapid rotator
006013|19 40 46.00|+40 11 20.9|13.08| 0.56| 0| 4| -21.87| 0.48|  1.19| 0|SN |       |
007013|19 40 44.58|+40 12 33.7|13.11| 0.46| 6|12|   0.95| 0.15|  1.03|88|SM |       |
008013|19 41 02.03|+40 06 28.1|13.14| 1.14| 3| 4|   2.56| 0.09|  0.39|95|SM |       |
009013|19 41 45.45|+40 08 50.8|13.35| 0.51| 5| 4|  13.31| 0.41|  2.07| 0|SN |       |
010013|19 41 48.26|+40 10 32.3|13.38| 0.63|11| 0|  -5.99| 0.51|      |  |BN | -8.074|SB2
011013|19 41 34.72|+40 06 42.5|13.47| 1.30| 1| 2| -28.50| 0.12|  0.27| 0|SN |       |
012013|19 41 35.59|+40 06 45.5|13.61| 0.58| 1| 2|  11.90| 0.12|  0.28| 0|SN |       |
013013|19 41 11.62|+40 05 24.4|13.99| 1.27| 3| 2|  -6.47| 0.17|  0.64| 0|SN |       |
014013|19 40 45.98|+40 14 09.2|14.11| 0.51| 6| 3|  -9.17| 0.52|      |  |SN |       |Rapid rotator
015013|19 41 03.72|+40 06 02.3|14.43| 0.70| 7| 1| -61.41| 6.53| 38.51|  |BLN|       |
016013|19 40 52.67|+40 07 36.9|14.61| 0.70| 3| 0| -49.69| 0.11|  0.39| 0|SN |       |
017013|19 40 44.62|+40 12 52.1|14.72| 0.64| 3| 0|   2.69| 0.44|  1.56|95|SM |       |
018013|19 40 57.32|+40 16 27.5|14.75| 0.64| 4| 0|   2.13| 0.25|  1.09|95|SM |       |
019013|19 40 54.68|+40 07 13.3|14.78| 0.86| 3| 0| -67.76| 0.19|  0.67| 0|SN |       |
020013|19 41 31.00|+40 06 01.3|14.78| 1.10|15| 0|   5.48| 0.06| 15.26|95|BM |  2.308|SB1
021013|19 41 36.03|+40 06 20.5|14.98| 1.27| 3| 0| -53.67| 0.21|  0.76| 0|SN |       |
022013|19 41 42.36|+40 15 39.6|15.01| 0.88| 4| 0|   3.27| 0.30|  1.30|93|SM |       |
023013|19 40 53.48|+40 07 43.0|15.16| 0.65| 3| 0|   9.72| 0.73|  2.57| 0|SN |       |
024013|19 40 54.18|+40 07 18.8|15.18| 0.60| 3| 0|   3.33| 0.23|  0.81|93|SM |       |
025013|19 41 48.30|+40 10 15.0|15.25| 0.63| 3| 0|   3.71| 0.24|  0.86|89|SM |       |
026013|19 41 24.32|+40 17 48.2|15.26| 0.61| 3| 0|   2.72| 0.15|  0.54|95|SM |       |
027013|19 40 57.52|+40 06 34.9|15.33| 0.56| 2| 0|   3.01| 0.99|      |  |U  |       |
028013|19 41 10.50|+40 05 36.6|15.38| 0.63| 9| 0| -29.55| 3.56| 25.16|  |BLN|       |
029013|19 40 51.97|+40 15 36.2|15.38| 1.32| 3| 0|  30.32| 0.37|  1.31| 0|SN |       |
030013|19 41 17.54|+40 18 00.0|15.40| 0.58| 4| 0|  -9.43| 0.32|  1.37| 0|SN |       |
031013|19 40 43.51|+40 11 45.6|15.39| 0.73| 3| 0| -29.43| 0.04|  0.14| 0|SN |       |
032013|19 41 43.81|+40 15 24.4|15.42| 0.55| 3| 0|   3.98| 0.98|  3.47|85|SM |       |
034013|19 40 44.48|+40 13 19.5|15.46| 0.68|11| 0|   8.94| 8.96| 70.86|  |BU |       |
035013|19 40 55.66|+40 06 49.3|15.46| 0.66| 3| 0| -47.91| 0.35|  1.23| 0|SN |       |
036013|19 41 34.90|+40 16 48.5|15.48| 0.56| 4| 0|   1.96| 0.50|  2.16|95|SM |       |
037013|19 40 51.64|+40 15 18.1|15.47| 0.62|11| 0|   1.38| 0.78|  6.17|  |BLM|       |
038013|19 40 59.61|+40 16 50.0|15.54| 0.64| 2| 0|   2.39| 0.24|      |  |U  |       |
039013|19 41 49.45|+40 11 53.4|15.61| 0.53| 8| 0|  -6.36| 5.39|      |  |BU |       |Rapid rotator
040013|19 41 01.49|+40 06 27.1|15.62| 0.66| 8| 0| -29.57| 4.72| 31.24|  |BLN|       |
042013|19 41 01.14|+40 17 19.7|15.84| 0.58| 3| 0|   2.28| 0.51|  1.80|95|SM |       |
043013|19 41 51.36|+40 11 11.6|15.91| 0.63| 4| 0|   2.43| 0.19|  0.81|95|SM |       |
044013|19 41 07.61|+40 17 41.8|15.90| 0.80| 3| 0| -39.00| 0.32|  1.11| 0|SN |       |
045013|19 40 48.65|+40 14 45.0|15.93| 0.60| 3| 0|   1.97| 0.05|  0.19|95|SM |       |
046013|19 41 43.12|+40 15 36.0|15.95| 0.58|25| 0|   3.84| 0.03|      |95|BM |  1.947|SB2
049013|19 40 59.22|+40 06 19.9|15.99| 0.77| 2| 0| -67.40| 0.16|      |  |U  |       |
054013|19 41 48.32|+40 10 04.6|16.07| 0.77| 1| 0|  -4.14| 0.40|      |  |U  |       |
055013|19 41 32.46|+40 06 25.9|16.08| 0.77| 2| 0| -12.15| 1.11|      |  |U  |       |
058013|19 40 46.97|+40 13 18.1|16.27| 0.78| 3| 0|  -9.37| 0.27|  0.95| 0|SN |       |
059013|19 40 54.43|+40 16 32.3|16.29| 0.75| 2| 0| -16.73| 0.57|      |  |U  |       |
001014|19 41 34.39|+40 17 48.2|11.65| 1.56| 3| 3|   2.41| 0.17|  0.67|95|SM |       |
002014|19 40 51.72|+40 06 55.4|11.68| 0.65| 1| 9| -20.96| 0.55|  2.44| 0|SN |       |
003014|19 41 45.05|+40 07 15.6|11.85| 0.54| 5| 3|  -3.09| 1.90|  9.42|  |BU |       |
004014|19 40 55.60|+40 06 29.3|12.36| 1.24| 2| 4|   1.91| 0.11|  0.39|95|SM |       |
005014|19 40 48.03|+40 08 08.5|12.85| 1.28| 3| 6|   1.84| 0.20|  0.91|94|SM |       |
006014|19 41 47.88|+40 14 44.1|13.81| 0.60| 3| 0| -21.53| 0.11|  0.40| 0|SN |       |
007014|19 41 47.01|+40 07 48.0|13.76| 1.85| 3| 0| -51.89| 1.03|  3.65| 0|SN |       |
008014|19 41 19.30|+40 18 42.7|13.95| 0.57| 3| 1|  20.11| 0.17|  0.58| 0|SN |       |
009014|19 40 46.79|+40 14 58.7|14.02| 0.71| 7| 9| -25.57| 5.48| 36.10|  |BU |       |
010014|19 40 58.93|+40 06 12.9|14.10| 0.64| 2| 1|  14.45| 0.25|  0.68| 0|SN |       |
011014|19 41 37.79|+40 05 58.1|14.65| 0.65| 3| 0|   3.30| 0.03|  0.09|93|SM |       |
012014|19 41 13.35|+40 04 49.9|14.64| 0.64| 3| 0| -16.37| 0.25|  0.90| 0|SN |       |
013014|19 41 03.19|+40 05 22.7|14.80| 0.54| 3| 0| -28.72| 0.06|  0.21| 0|SN |       |
014014|19 41 04.34|+40 17 54.3|14.85| 0.56| 3| 0|  17.56| 0.04|  0.15| 0|SN |       |
015014|19 41 36.19|+40 05 49.5|14.88| 1.30| 3| 0| -25.84| 0.44|  1.55| 0|SN |       |
016014|19 40 52.79|+40 06 44.6|14.99| 0.85| 3| 0| -11.70| 0.16|  0.57| 0|SN |       |
017014|19 41 50.18|+40 14 45.1|15.05| 0.61| 4| 0|   4.59| 0.14|  0.59|65|SM |       |
018014|19 41 19.39|+40 05 08.3|15.06| 1.07| 4| 0|  -0.27| 0.62|  2.70|41|SN |       |
019014|19 41 43.36|+40 16 28.6|15.16| 0.68| 3| 0| -39.93| 0.20|  0.69| 0|SN |       |
020014|19 40 45.29|+40 14 17.5|15.22| 1.11| 3| 0|-103.67| 0.17|  0.61| 0|SN |       |
021014|19 41 04.83|+40 18 20.9|15.30| 0.57| 4| 0|   3.49| 0.26|  1.12|92|SM |       |
022014|19 41 36.09|+40 17 25.6|15.49| 0.62| 8| 0| -13.70| 4.17| 27.57|  |BU |       |
024014|19 41 23.12|+40 05 21.2|15.65| 0.60| 3| 0|   3.17| 0.40|  1.40|93|SM |       |
025014|19 41 45.62|+40 07 42.3|15.66| 0.61| 3| 0|   0.55| 0.34|  1.19|80|SM |       |
029014|19 41 00.56|+40 05 55.3|15.76| 0.60| 3| 0|   3.04| 0.18|  0.65|94|SM |       |
030014|19 40 45.52|+40 09 28.3|15.77| 0.57| 4| 0|   1.63| 0.49|  2.12|94|SM |       |
031014|19 41 39.59|+40 17 05.7|15.82| 0.78| 3| 0|  -3.14| 0.26|  0.93| 0|SN |       |
034014|19 40 41.93|+40 12 16.1|15.89| 0.61| 3| 0|   2.78| 0.60|  2.13|95|SM |       |
038014|19 41 38.52|+40 06 22.6|16.06| 0.65| 3| 0|   3.70| 0.33|  1.15|89|SM |       |
040014|19 41 50.24|+40 13 50.1|16.15| 0.64| 2| 0|  12.59|16.33|      |  |U  |       |
043014|19 41 51.32|+40 10 20.3|16.19| 0.59| 3| 0|   6.12| 0.15|  0.54| 2|SN |       |
044014|19 41 34.73|+40 06 02.1|16.22| 0.66| 3| 0|   1.68| 0.29|  1.04|94|SM |       |
045014|19 40 53.23|+40 16 28.6|16.23| 0.60| 3| 0|  20.30| 0.94|  3.31| 0|SN |       |
046014|19 40 43.86|+40 10 00.0|16.23| 0.66| 4| 0| -31.55| 0.65|  2.79| 0|SN |       |
049014|19 40 47.01|+40 07 58.3|16.31| 0.63| 4| 0|   2.06| 0.44|  1.89|95|SM |       |
054014|19 40 44.46|+40 09 16.9|16.46| 0.66| 4| 0|   2.83| 0.17|  0.76|95|SM |       |
001015|19 41 23.64|+40 19 07.3|12.18| 1.56| 1| 5| -19.63| 0.32|  1.08| 0|SN |       |
002015|19 41 12.15|+40 18 56.0|12.27| 1.31| 0| 6| -22.62| 0.18|  0.58| 0|SN |       |
003015|19 41 01.06|+40 05 26.9|12.54| 0.72| 4| 4|  -3.06| 0.09|  0.42| 0|SN |       |
004015|19 41 18.01|+40 18 56.6|12.82| 0.78| 2| 4| -59.07| 0.45|  1.63| 0|SN |       |
006015|19 41 04.58|+40 04 50.9|13.54| 1.34| 1| 2|  11.10| 0.29|  0.66| 0|SN |       |
007015|19 40 39.75|+40 12 35.8|13.60| 0.62| 7| 2| -17.15| 0.57|  3.34| 0|SN |       |
008015|19 40 39.23|+40 12 43.1|14.78| 1.13| 6| 2|-121.36| 1.76|  9.44|  |BLN|       |
009015|19 41 27.30|+40 04 54.8|14.22| 1.29| 3| 2|   0.93| 0.23|  0.84|88|SM |       |
010015|19 41 49.24|+40 08 07.1|14.47| 0.44| 6| 0| -22.63| 4.79|      |  |BLN|       |Rapid rotator
011015|19 41 55.17|+40 11 04.8|14.57| 0.69| 6| 0|  -4.81| 0.24|  1.34| 0|SN |       |
012015|19 41 27.51|+40 18 58.6|14.66| 1.46| 3| 0|-116.48| 0.13|  0.45| 0|SN |       |
013015|19 40 43.05|+40 15 07.6|14.63| 1.02| 4| 0|   2.01| 0.31|  1.35|95|SM |       |
015015|19 41 07.98|+40 04 42.8|14.72| 0.64| 4| 0|   3.29| 0.12|  0.53|93|SM |       |
016015|19 41 00.04|+40 05 10.9|14.80| 0.65| 5| 0|   1.31| 0.18|  0.92|92|SM |       |
017015|19 41 55.00|+40 13 33.2|14.86| 0.62| 3| 0| -28.80| 0.32|  1.14| 0|SN |       |
018015|19 41 47.23|+40 15 56.8|14.89| 1.31| 3| 0| -55.83| 0.16|  0.56| 0|SN |       |
019015|19 41 11.59|+40 04 49.5|14.90| 0.78| 3| 0|  21.12| 0.15|  0.53| 0|SN |       |
020015|19 40 57.01|+40 05 54.2|15.05| 0.61| 3| 0|   2.12| 0.17|  0.61|95|SM |       |
021015|19 41 55.99|+40 12 18.0|15.07| 0.84| 3| 0|  -3.60| 0.35|  1.22| 0|SN |       |
022015|19 41 54.63|+40 12 35.1|15.12| 1.18| 4| 0|  11.48| 0.16|  0.69| 0|SN |       |
023015|19 40 43.97|+40 15 34.7|15.12| 0.72| 7| 0| -12.94| 0.74|  4.55|  |BLN|       |
024015|19 40 41.92|+40 09 31.1|15.16| 1.22| 4| 0| -23.02| 0.13|  0.55| 0|SN |       |
025015|19 41 41.62|+40 17 12.8|15.18| 1.34| 3| 0| -28.01| 0.79|  2.79| 0|SN |       |
026015|19 40 39.06|+40 12 09.1|15.22| 0.56| 3| 0|   2.93| 0.12|  0.43|94|SM |       |
027015|19 40 44.31|+40 14 58.0|15.25| 0.59| 3| 0|   1.71| 0.32|  1.15|94|SM |       |
028015|19 41 18.71|+40 19 01.7|15.29| 0.55| 5| 0|   4.91| 0.68|  3.38|46|SN |       |
